| estimator   |   covariate_shift |   target_shift |   concept_drift |   subspace | Office31Decaf   | OfficeHomeResnet   | mnist_usps_pca   |   20NewsGroups | AmazonReview   | Mushrooms   | Phishing   | bci_projected   |   rank |
|:------------|------------------:|---------------:|----------------:|-----------:|:----------------|:-------------------|:-----------------|---------------:|:---------------|:------------|:-----------|:----------------|-------:|
| Train Src   |              0.88 |           0.85 |            0.66 |       0.19 | 0.67            | 0.57               | 0.52             |           0.72 | 0.7            | 0.74        | 0.92       | 0.56            |   8.94 |
| Train Tgt   |              0.92 |           0.93 |            0.82 |       0.98 | 0.9             | 0.79               | 0.96             |           0.99 | 0.73           | 1.0         | 0.97       | 0.64            |   1.63 |
| Dens. RW    |              0.89 |           0.87 |            0.67 |       0.2  | 0.64            | 0.57               | 0.52             |           0.72 | 0.7            | 0.75        | 0.92       | 0.56            |  11.48 |
| Disc. RW    |              0.86 |           0.84 |            0.73 |       0.23 | 0.65            | 0.53               | 0.49             |           0.85 | 0.69           | 0.79        | 0.92       | 0.57            |   8.2  |
| Gauss. RW   |              0.89 |           0.86 |            0.65 |       0.21 | 0.33            | 0.37               | 0.16             |           0.59 | 0.61           | 0.51        | 0.55       | 0.25            |  16.16 |
| KLIEP       |              0.89 |           0.88 |            0.66 |       0.2  | 0.67            | 0.56               | 0.52             |           0.72 | 0.7            | 0.77        | 0.92       | 0.56            |  10.06 |
| KMM         |              0.89 |           0.87 |            0.67 |       0.19 | 0.65            | 0.56               | 0.54             |           0.77 | 0.67           | 0.86        | 0.91       | 0.53            |  12.24 |
| NN RW       |              0.89 |           0.86 |            0.67 |       0.15 | 0.67            | 0.56               | 0.54             |           0.72 | 0.69           | 0.86        | 0.91       | 0.53            |   7.79 |
| MMDTarS     |              0.88 |           0.93 |            0.66 |       0.27 | 0.67            | 0.53               | 0.52             |           0.74 | 0.7            | 0.75        | 0.92       | 0.56            |  10.01 |
| CORAL       |              0.74 |           0.84 |            0.82 |       0.19 | 0.69            | 0.58               | 0.67             |           0.77 | 0.7            | 0.73        | 0.92       | 0.61            |   5.65 |
| MapOT       |              0.87 |           0.63 |            0.82 |       0.14 | 0.66            | 0.55               | 0.68             |           0.89 | 0.69           | 0.64        | 0.87       | 0.49            |   8.38 |
| EntOT       |              0.89 |           0.61 |            0.82 |       0.47 | 0.65            | 0.58               | 0.62             |           0.98 | 0.7            | 0.85        | 0.9        | 0.51            |  10.91 |
| ClassRegOT  |              0.91 |           0.59 |            0.82 |       0.15 | 0.67            | 0.65               | 0.68             |           0.98 | 0.69           | 0.89        | NA         | 0.51            |   9.62 |
| LinOT       |              0.89 |           0.81 |            0.81 |       0.19 | 0.68            | 0.58               | 0.66             |           0.89 | 0.71           | 0.85        | 0.92       | 0.6             |   4.55 |
| MMD-LS      |              0.88 |           0.85 |            0.81 |       0.73 | 0.67            | 0.56               | 0.57             |           0.98 | 0.69           | NA          | NA         | 0.58            |   8.49 |
| JPCA        |              0.88 |           0.85 |            0.66 |       0.19 | 0.67            | 0.56               | 0.55             |           0.87 | 0.7            | 0.81        | 0.91       | 0.54            |   8.54 |
| SA          |              0.74 |           0.81 |            0.8  |       0.13 | 0.68            | 0.58               | 0.53             |           0.98 | 0.69           | 0.91        | 0.9        | 0.58            |   7.82 |
| TCA         |              0.4  |           0.46 |            0.5  |       0.58 | 0.04            | 0.02               | 0.1              |           0.5  | 0.61           | 0.5         | 0.54       | 0.25            |  16.97 |
| TSL         |              0.88 |           0.85 |            0.66 |       0.86 | 0.64            | 0.47               | 0.47             |           0.78 | 0.68           | 0.65        | 0.91       | 0.27            |  14.47 |
| JDOT        |              0.72 |           0.57 |            0.82 |       0.13 | 0.6             | 0.4                | 0.68             |           0.88 | 0.68           | 0.63        | 0.87       | 0.47            |   9.36 |
| OTLabelProp |              0.9  |           0.76 |            0.81 |       0.14 | 0.67            | 0.55               | 0.69             |           0.95 | 0.68           | 0.71        | 0.87       | 0.51            |   9.38 |
| DASVM       |              0.89 |           0.86 |            0.64 |       0.12 | NA              | NA                 | NA               |           0.81 | NA             | 0.76        | 0.89       | NA              |   6.97 |
