| estimator   |   covariate_shift |   target_shift |   concept_drift |   subspace | Office31Decaf   | OfficeHomeResnet   | mnist_usps_pca   |   20NewsGroups | AmazonReview   | Mushrooms   | Phishing   | bci_projected   | scorer_best         |   rank |
|:------------|------------------:|---------------:|----------------:|-----------:|:----------------|:-------------------|:-----------------|---------------:|:---------------|:------------|:-----------|:----------------|:--------------------|-------:|
| Train Src   |              0.88 |           0.85 |            0.66 |       0.19 | 0.67            | 0.57               | 0.52             |           0.72 | 0.7            | 0.74        | 0.92       | 0.56            | NA                  |   8.94 |
| Train Tgt   |              0.92 |           0.93 |            0.82 |       0.98 | 0.9             | 0.79               | 0.96             |           0.99 | 0.73           | 1.0         | 0.97       | 0.64            | NA                  |   1.63 |
| Dens. RW    |              0.88 |           0.86 |            0.66 |       0.17 | 0.63            | 0.54               | 0.49             |           0.62 | 0.67           | 0.71        | 0.89       | 0.52            | circular_validation |  11.48 |
| Disc. RW    |              0.85 |           0.83 |            0.71 |       0.18 | 0.63            | 0.53               | 0.44             |           0.7  | 0.66           | 0.75        | 0.89       | 0.56            | circular_validation |   8.2  |
| Gauss. RW   |              0.89 |           0.86 |            0.65 |       0.21 | 0.31            | 0.36               | 0.12             |           0.6  | 0.61           | 0.51        | 0.47       | 0.25            | importance_weighted |  16.16 |
| KLIEP       |              0.88 |           0.86 |            0.65 |       0.18 | 0.64            | 0.53               | 0.48             |           0.72 | 0.7            | 0.72        | 0.88       | 0.56            | mix_val_intra       |  10.06 |
| KMM         |              0.89 |           0.86 |            0.66 |       0.17 | 0.62            | 0.52               | 0.5              |           0.67 | 0.66           | 0.69        | 0.9        | 0.51            | importance_weighted |  12.24 |
| NN RW       |              0.89 |           0.86 |            0.67 |       0.15 | 0.64            | 0.53               | 0.48             |           0.65 | 0.67           | 0.83        | 0.92       | 0.45            | prediction_entropy  |   7.79 |
| MMDTarS     |              0.88 |           0.86 |            0.64 |       0.2  | 0.6             | 0.51               | 0.46             |           0.61 | 0.69           | 0.74        | 0.92       | 0.55            | importance_weighted |  10.01 |
| CORAL       |              0.74 |           0.62 |            0.81 |       0.11 | 0.65            | 0.57               | 0.65             |           0.65 | 0.69           | 0.73        | 0.92       | 0.59            | importance_weighted |   5.65 |
| MapOT       |              0.72 |           0.58 |            0.81 |       0.1  | 0.58            | 0.54               | 0.68             |           0.87 | 0.66           | 0.64        | 0.86       | 0.48            | circular_validation |   8.38 |
| EntOT       |              0.71 |           0.6  |            0.82 |       0.12 | 0.63            | 0.57               | 0.55             |           0.97 | 0.58           | 0.68        | 0.9        | 0.5             | circular_validation |  10.91 |
| ClassRegOT  |              0.74 |           0.58 |            0.81 |       0.11 | 0.61            | 0.59               | 0.5              |           0.94 | 0.69           | 0.68        | NA         | 0.52            | importance_weighted |   9.62 |
| LinOT       |              0.73 |           0.73 |            0.76 |       0.18 | 0.63            | 0.54               | 0.5              |           0.83 | 0.68           | 0.76        | 0.9        | 0.6             | circular_validation |   4.55 |
| MMD-LS      |              0.88 |           0.78 |            0.72 |       0.19 | 0.64            | 0.56               | 0.49             |           0.95 | 0.65           | NA          | NA         | 0.53            | circular_validation |   8.49 |
| JPCA        |              0.88 |           0.85 |            0.66 |       0.19 | 0.63            | 0.53               | 0.48             |           0.74 | 0.67           | 0.72        | 0.9        | 0.49            | circular_validation |   8.54 |
| SA          |              0.74 |           0.68 |            0.8  |       0.11 | 0.61            | 0.54               | 0.52             |           0.9  | 0.65           | 0.87        | 0.89       | 0.54            | circular_validation |   7.82 |
| TCA         |              0.55 |           0.5  |            0.51 |       0.58 | 0.03            | 0.02               | 0.08             |           0.51 | 0.61           | 0.48        | 0.53       | 0.25            | importance_weighted |  16.97 |
| TSL         |              0.88 |           0.85 |            0.66 |       0.2  | 0.63            | 0.46               | 0.38             |           0.64 | 0.68           | 0.48        | 0.88       | 0.26            | importance_weighted |  14.47 |
| JDOT        |              0.72 |           0.58 |            0.82 |       0.13 | 0.6             | 0.4                | 0.7              |           0.89 | 0.67           | 0.65        | 0.87       | 0.48            | importance_weighted |   9.36 |
| OTLabelProp |              0.72 |           0.59 |            0.8  |       0.07 | 0.65            | 0.52               | 0.68             |           0.86 | 0.66           | 0.63        | 0.86       | 0.49            | circular_validation |   9.38 |
| DASVM       |              0.89 |           0.86 |            0.65 |       0.13 | NA              | NA                 | NA               |           0.86 | NA             | 0.87        | 0.88       | NA              | mix_val_both        |   6.97 |
