dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params,cv_score
deep_bci,1,deep_can,deep_embedded_validation,Unknown,0.396551724137931,,[0.396551724137931],0.3928571428571429,,[0.3928571428571429],0.3710130981021117,,[0.3710130981021117],0.8244293272864701,,[0.8244293272864701],default,[6272.85493]
deep_bci,1,deep_coral,deep_embedded_validation,Unknown,0.5862068965517241,,[0.5862068965517241],0.5797619047619047,,[0.5797619047619047],0.5598167349891487,,[0.5598167349891487],0.895160619803477,,[0.895160619803477],default,[61707.0269]
deep_bci,1,deep_dan,deep_embedded_validation,Unknown,0.5862068965517241,,[0.5862068965517241],0.5797619047619047,,[0.5797619047619047],0.5598167349891487,,[0.5598167349891487],0.8947637944066517,,[0.8947637944066517],default,[61608.9001]
deep_bci,1,deep_dann,deep_embedded_validation,Unknown,0.4310344827586206,,[0.4310344827586206],0.4285714285714286,,[0.4285714285714286],0.4103582355163881,,[0.4103582355163881],0.8355536659108088,,[0.8355536659108088],default,[15532.60781251]
deep_bci,1,deep_jdot,deep_embedded_validation,Unknown,0.6379310344827587,,[0.6379310344827587],0.6369047619047619,,[0.6369047619047619],0.6168459573631987,,[0.6168459573631987],0.8933484504913077,,[0.8933484504913077],default,[14276.0452]
deep_bci,1,deep_mcc,deep_embedded_validation,Unknown,0.5862068965517241,,[0.5862068965517241],0.5797619047619047,,[0.5797619047619047],0.5598167349891487,,[0.5598167349891487],0.8967762660619804,,[0.8967762660619804],default,[65842.2543]
deep_bci,1,deep_mdd,deep_embedded_validation,Unknown,0.4137931034482758,,[0.4137931034482758],0.4107142857142857,,[0.4107142857142857],0.3922137363374061,,[0.3922137363374061],0.8335430839002269,,[0.8335430839002269],default,[22182.6509]
deep_bci,1,deep_no_da_source_only,deep_embedded_validation,Unknown,,,[NaN],,,[NaN],,,[NaN],,,[NaN],default,[NaN]
deep_bci,1,deep_no_da_target_only,deep_embedded_validation,Unknown,,,[NaN],,,[NaN],,,[NaN],,,[NaN],default,[NaN]
deep_bci,1,deep_spa,deep_embedded_validation,Unknown,0.4655172413793103,,[0.4655172413793103],0.4630952380952381,,[0.4630952380952381],0.4496448016593207,,[0.4496448016593207],0.8366307634164779,,[0.8366307634164779],default,[16905.4865799]
