dataset,shift,estimator,scorer,type,source_accuracy-test-mean,source_accuracy-test-std,source_accuracy-test-identity,source_balanced_accuracy-test-mean,source_balanced_accuracy-test-std,source_balanced_accuracy-test-identity,source_f1_score-test-mean,source_f1_score-test-std,source_f1_score-test-identity,source_roc_auc_score-test-mean,source_roc_auc_score-test-std,source_roc_auc_score-test-identity,params,cv_score
deep_bci,1,deep_can,deep_embedded_validation,Unknown,0.5689655172413793,,[0.5689655172413793],0.569047619047619,,[0.569047619047619],0.5682758620689655,,[0.5682758620689655],0.8954383975812547,,[0.8954383975812547],default,[6272.85493]
deep_bci,1,deep_coral,deep_embedded_validation,Unknown,0.7241379310344828,,[0.7241379310344828],0.7226190476190477,,[0.7226190476190477],0.7195188877709687,,[0.7195188877709687],0.9386696900982616,,[0.9386696900982616],default,[61707.0269]
deep_bci,1,deep_dan,deep_embedded_validation,Unknown,0.7241379310344828,,[0.7241379310344828],0.7226190476190477,,[0.7226190476190477],0.7195188877709687,,[0.7195188877709687],0.9386696900982616,,[0.9386696900982616],default,[61608.9001]
deep_bci,1,deep_dann,deep_embedded_validation,Unknown,0.5862068965517241,,[0.5862068965517241],0.5845238095238094,,[0.5845238095238094],0.5858168200967391,,[0.5858168200967391],0.907739984882842,,[0.907739984882842],default,[15532.60781251]
deep_bci,1,deep_jdot,deep_embedded_validation,Unknown,0.7241379310344828,,[0.7241379310344828],0.7226190476190477,,[0.7226190476190477],0.7220680627339368,,[0.7220680627339368],0.9180479969765684,,[0.9180479969765684],default,[14276.0452]
deep_bci,1,deep_mcc,deep_embedded_validation,Unknown,0.7241379310344828,,[0.7241379310344828],0.7226190476190477,,[0.7226190476190477],0.7195188877709687,,[0.7195188877709687],0.940657596371882,,[0.940657596371882],default,[65842.2543]
deep_bci,1,deep_mdd,deep_embedded_validation,Unknown,0.6551724137931034,,[0.6551724137931034],0.6511904761904762,,[0.6511904761904762],0.6479696257348,,[0.6479696257348],0.9153439153439152,,[0.9153439153439152],default,[22182.6509]
deep_bci,1,deep_no_da_source_only,deep_embedded_validation,Unknown,,,[NaN],,,[NaN],,,[NaN],,,[NaN],default,[NaN]
deep_bci,1,deep_no_da_target_only,deep_embedded_validation,Unknown,,,[NaN],,,[NaN],,,[NaN],,,[NaN],default,[NaN]
deep_bci,1,deep_spa,deep_embedded_validation,Unknown,0.6379310344827587,,[0.6379310344827587],0.6333333333333333,,[0.6333333333333333],0.6308316430020284,,[0.6308316430020284],0.9108238851095994,,[0.9108238851095994],default,[16905.4865799]
deep_bci,2,deep_can,deep_embedded_validation,Unknown,0.2413793103448276,,[0.2413793103448276],0.2392857142857142,,[0.2392857142857142],0.2384897828863346,,[0.2384897828863346],0.4968669690098261,,[0.4968669690098261],default,[423.84561964]
deep_bci,2,deep_coral,deep_embedded_validation,Unknown,0.3275862068965517,,[0.3275862068965517],0.3285714285714285,,[0.3285714285714285],0.325820539613643,,[0.325820539613643],0.6466780045351473,,[0.6466780045351473],default,[113.55698204]
deep_bci,2,deep_dan,deep_embedded_validation,Unknown,0.2758620689655172,,[0.2758620689655172],0.2797619047619047,,[0.2797619047619047],0.2702395107864787,,[0.2702395107864787],0.5576058201058202,,[0.5576058201058202],default,[311.84625322]
deep_bci,2,deep_dann,deep_embedded_validation,Unknown,0.3275862068965517,,[0.3275862068965517],0.3285714285714285,,[0.3285714285714285],0.3176760978485116,,[0.3176760978485116],0.545374149659864,,[0.545374149659864],default,[62.98669787]
deep_bci,2,deep_jdot,deep_embedded_validation,Unknown,0.3103448275862069,,[0.3103448275862069],0.3154761904761904,,[0.3154761904761904],0.3039403999045882,,[0.3039403999045882],0.5753571428571429,,[0.5753571428571429],default,[42.33316903]
deep_bci,2,deep_mcc,deep_embedded_validation,Unknown,0.3275862068965517,,[0.3275862068965517],0.3285714285714285,,[0.3285714285714285],0.325820539613643,,[0.325820539613643],0.646281179138322,,[0.646281179138322],default,[112.77177044]
deep_bci,2,deep_mdd,deep_embedded_validation,Unknown,0.3620689655172414,,[0.3620689655172414],0.3642857142857142,,[0.3642857142857142],0.353702252409149,,[0.353702252409149],0.5677910052910053,,[0.5677910052910053],default,[521.64485694]
deep_bci,2,deep_no_da_source_only,deep_embedded_validation,Unknown,,,[NaN],,,[NaN],,,[NaN],,,[NaN],default,[NaN]
deep_bci,2,deep_no_da_target_only,deep_embedded_validation,Unknown,,,[NaN],,,[NaN],,,[NaN],,,[NaN],default,[NaN]
deep_bci,2,deep_spa,deep_embedded_validation,Unknown,0.2586206896551724,,[0.2586206896551724],0.2595238095238095,,[0.2595238095238095],0.2621406439340271,,[0.2621406439340271],0.5679780801209372,,[0.5679780801209372],default,[43.53300593]
deep_bci,3,deep_can,deep_embedded_validation,Unknown,0.6551724137931034,,[0.6551724137931034],0.6535714285714286,,[0.6535714285714286],0.6508743491502113,,[0.6508743491502113],0.8696220710506425,,[0.8696220710506425],default,[4262.43334]
deep_bci,3,deep_coral,deep_embedded_validation,Unknown,0.8448275862068966,,[0.8448275862068966],0.8440476190476192,,[0.8440476190476192],0.8434094640991192,,[0.8434094640991192],0.9649754346182918,,[0.9649754346182918],default,[430.397638]
deep_bci,3,deep_dan,deep_embedded_validation,Unknown,0.8620689655172413,,[0.8620689655172413],0.8607142857142858,,[0.8607142857142858],0.8604587792310742,,[0.8604587792310742],0.9661413454270598,,[0.9661413454270598],default,[577.217865]
deep_bci,3,deep_dann,deep_embedded_validation,Unknown,0.6724137931034483,,[0.6724137931034483],0.669047619047619,,[0.669047619047619],0.6548766386835102,,[0.6548766386835102],0.9458106575963718,,[0.9458106575963718],default,[1563.39761452]
deep_bci,3,deep_jdot,deep_embedded_validation,Unknown,0.4655172413793103,,[0.4655172413793103],0.4666666666666666,,[0.4666666666666666],0.4600829054724187,,[0.4600829054724187],0.71859410430839,,[0.71859410430839],default,[13.8414041]
deep_bci,3,deep_mcc,deep_embedded_validation,Unknown,0.8793103448275862,,[0.8793103448275862],0.8773809523809524,,[0.8773809523809524],0.8772710418984057,,[0.8772710418984057],0.9690325018896448,,[0.9690325018896448],default,[199.691563]
deep_bci,3,deep_mdd,deep_embedded_validation,Unknown,0.6551724137931034,,[0.6551724137931034],0.6523809523809524,,[0.6523809523809524],0.6380573449538967,,[0.6380573449538967],0.9258786848072562,,[0.9258786848072562],default,[20932.1107]
deep_bci,3,deep_no_da_source_only,deep_embedded_validation,Unknown,,,[NaN],,,[NaN],,,[NaN],,,[NaN],default,[NaN]
deep_bci,3,deep_no_da_target_only,deep_embedded_validation,Unknown,,,[NaN],,,[NaN],,,[NaN],,,[NaN],default,[NaN]
deep_bci,3,deep_spa,deep_embedded_validation,Unknown,0.6551724137931034,,[0.6551724137931034],0.6523809523809524,,[0.6523809523809524],0.6369909651717024,,[0.6369909651717024],0.9388019652305368,,[0.9388019652305368],default,[432.54012225]
deep_bci,4,deep_can,deep_embedded_validation,Unknown,0.396551724137931,,[0.396551724137931],0.3976190476190476,,[0.3976190476190476],0.3857774409498547,,[0.3857774409498547],0.6782615268329555,,[0.6782615268329555],default,[205.01068398]
deep_bci,4,deep_coral,deep_embedded_validation,Unknown,0.5172413793103449,,[0.5172413793103449],0.5190476190476191,,[0.5190476190476191],0.5096698351703913,,[0.5096698351703913],0.8114569160997732,,[0.8114569160997732],default,[162.84268124]
deep_bci,4,deep_dan,deep_embedded_validation,Unknown,0.5172413793103449,,[0.5172413793103449],0.5190476190476191,,[0.5190476190476191],0.5096698351703913,,[0.5096698351703913],0.8114021164021162,,[0.8114021164021162],default,[158.32976531]
deep_bci,4,deep_dann,deep_embedded_validation,Unknown,0.396551724137931,,[0.396551724137931],0.3976190476190476,,[0.3976190476190476],0.3935834983167268,,[0.3935834983167268],0.7076568405139834,,[0.7076568405139834],default,[4.38648862]
deep_bci,4,deep_jdot,deep_embedded_validation,Unknown,0.5689655172413793,,[0.5689655172413793],0.5702380952380952,,[0.5702380952380952],0.5714714625445898,,[0.5714714625445898],0.7978817082388511,,[0.7978817082388511],default,[972.30961627]
deep_bci,4,deep_mcc,deep_embedded_validation,Unknown,0.5172413793103449,,[0.5172413793103449],0.5190476190476191,,[0.5190476190476191],0.5096698351703913,,[0.5096698351703913],0.8102928949357521,,[0.8102928949357521],default,[166.27766722]
deep_bci,4,deep_mdd,deep_embedded_validation,Unknown,0.396551724137931,,[0.396551724137931],0.3976190476190476,,[0.3976190476190476],0.3934247929798541,,[0.3934247929798541],0.7085827664399093,,[0.7085827664399093],default,[111.47829085]
deep_bci,4,deep_no_da_source_only,deep_embedded_validation,Unknown,,,[NaN],,,[NaN],,,[NaN],,,[NaN],default,[NaN]
