dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params,cv_score
Simulated,concept_drift,CORAL,circular_validation,Mapping,0.757,0.08451608574703397,"[0.63125, 0.64375, 0.8375, 0.79375, 0.6625, 0.69375, 0.69375, 0.71875, 0.63125, 0.825, 0.8375, 0.78125, 0.65, 0.9, 0.8375, 0.80625, 0.79375, 0.65625, 0.79375, 0.80625, 0.8375, 0.75625, 0.65, 0.84375, 0.84375]",0.757,0.08451608574703395,"[0.63125, 0.64375, 0.8375, 0.79375, 0.6625000000000001, 0.69375, 0.69375, 0.71875, 0.63125, 0.825, 0.8374999999999999, 0.78125, 0.65, 0.9, 0.8375, 0.80625, 0.79375, 0.65625, 0.79375, 0.8062499999999999, 0.8374999999999999, 0.7562500000000001, 0.65, 0.84375, 0.84375]",0.7412994635620587,0.10394856220360149,"[0.5818383167220377, 0.5960132890365448, 0.8372711625723674, 0.7933544675355172, 0.6226415094339622, 0.6620543988965041, 0.6699086354258769, 0.6968548692686625, 0.5818383167220377, 0.8249726519768714, 0.8374746054070948, 0.7810361681329423, 0.6050079351084465, 0.8999374609130708, 0.83739837398374, 0.8056350170461226, 0.7937419430446502, 0.6173746684638463, 0.7937419430446502, 0.8061818608104412, 0.8374746054070948, 0.7546301757697298, 0.6086652690426275, 0.843743896245947, 0.8436950490406783]",0.757,0.08451608574703398,"[0.63125, 0.64375, 0.8375, 0.79375, 0.6625, 0.69375, 0.69375, 0.71875, 0.63125, 0.8250000000000001, 0.8374999999999999, 0.78125, 0.65, 0.9, 0.8375000000000001, 0.80625, 0.79375, 0.65625, 0.79375, 0.8062499999999999, 0.8374999999999999, 0.75625, 0.6499999999999999, 0.84375, 0.8437500000000001]","{'coraladapter__assume_centered': [False, True], 'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['SVC']}","[0.8796875, 0.8765625, 0.8859375, 0.8578125, 0.859375, 0.846875, 0.89375, 0.865625, 0.86875, 0.8625, 0.828125, 0.85625, 0.86875, 0.8359375, 0.8625, 0.8765625, 0.86875, 0.878125, 0.8796875, 0.8734375, 0.85, 0.884375, 0.8890625, 0.8796875, 0.8671875]"
Simulated,concept_drift,DASVM,circular_validation,Other,0.65575,0.036439876280433964,"[0.65625, 0.6375, 0.70625, 0.60625, 0.6375, 0.66875, 0.70625, 0.7125, 0.69375, 0.68125, 0.6125, 0.61875, 0.66875, 0.74375, 0.675, 0.64375, 0.6125, 0.63125, 0.63125, 0.61875, 0.675, 0.63125, 0.65625, 0.625, 0.64375]",0.65575,0.036439876280433964,"[0.65625, 0.6375, 0.70625, 0.60625, 0.6375, 0.66875, 0.70625, 0.7125, 0.69375, 0.68125, 0.6125, 0.61875, 0.66875, 0.74375, 0.675, 0.64375, 0.6125, 0.63125, 0.63125, 0.61875, 0.675, 0.63125, 0.65625, 0.625, 0.64375]",0.6142582695097683,0.050105703198061735,"[0.6206733048838312, 0.5909010756480338, 0.6810180275715801, 0.5340021265775969, 0.586894586894587, 0.6279233030582247, 0.6876946717056356, 0.6889790398918187, 0.6699086354258769, 0.6511478773887391, 0.5626873567272086, 0.563330499753926, 0.6344670028880556, 0.7275634370198099, 0.6428571428571429, 0.5998420429116756, 0.5538765965101637, 0.5818383167220377, 0.5818383167220377, 0.563330499753926, 0.6428571428571429, 0.5858014128384011, 0.6173746684638463, 0.5636363636363637, 0.5960132890365448]",0.65575,0.036439876280433964,"[0.6562500000000001, 0.6375000000000001, 0.70625, 0.60625, 0.6375000000000001, 0.66875, 0.7062499999999999, 0.7125, 0.69375, 0.68125, 0.6124999999999999, 0.61875, 0.66875, 0.7437500000000001, 0.6749999999999999, 0.6437499999999999, 0.6125, 0.63125, 0.63125, 0.61875, 0.6749999999999999, 0.63125, 0.65625, 0.625, 0.64375]","{'dasvmclassifier__base_estimator__estimator_name': ['SVC'], 'dasvmclassifier__max_iter': [200]}","[0.7765625, 0.796875, 0.7640625, 0.7234375, 0.78125, 0.8625, 0.8484375, 0.85, 0.8640625, 0.8625, 0.7234375, 0.7609375, 0.81875, 0.6953125, 0.7640625, 0.7421875, 0.7625, 0.8, 0.803125, 0.821875, 0.78125, 0.8234375, 0.7765625, 0.7390625, 0.7390625]"
Simulated,concept_drift,JDOT,circular_validation,Other,0.8172499999999999,0.03573448089730701,"[0.76875, 0.775, 0.8375, 0.8, 0.83125, 0.8375, 0.80625, 0.85625, 0.8375, 0.83125, 0.8375, 0.78125, 0.8375, 0.925, 0.84375, 0.80625, 0.7875, 0.79375, 0.79375, 0.8, 0.84375, 0.75625, 0.78125, 0.83125, 0.83125]",0.8172499999999999,0.03573448089730702,"[0.76875, 0.7749999999999999, 0.8375, 0.8, 0.83125, 0.8374999999999999, 0.8062499999999999, 0.85625, 0.8375, 0.83125, 0.8375, 0.78125, 0.8374999999999999, 0.925, 0.84375, 0.80625, 0.7875000000000001, 0.79375, 0.79375, 0.8, 0.84375, 0.75625, 0.78125, 0.83125, 0.83125]",0.8170519778057131,0.03587338179573661,"[0.7687409664440018, 0.7749648382559775, 0.8372711625723674, 0.7994987468671679, 0.8312434079456228, 0.8374746054070948, 0.8061818608104412, 0.8562443845462713, 0.8375, 0.8312434079456228, 0.83739837398374, 0.7808304958710031, 0.8374746054070948, 0.9249882794186592, 0.8435972629521016, 0.805329879508615, 0.7874667916862009, 0.7927705168962675, 0.7937419430446502, 0.7998749218261413, 0.8436950490406783, 0.7550924290592252, 0.7812414547443259, 0.8311906529639327, 0.8312434079456228]",0.8172499999999999,0.035734480897307,"[0.76875, 0.775, 0.8375, 0.8, 0.8312499999999999, 0.8374999999999999, 0.8062499999999999, 0.85625, 0.8374999999999999, 0.8312499999999999, 0.8375000000000001, 0.78125, 0.8375, 0.925, 0.84375, 0.80625, 0.7875, 0.7937500000000001, 0.79375, 0.7999999999999999, 0.84375, 0.75625, 0.78125, 0.83125, 0.8312499999999999]","{'jdotclassifier__alpha': [0.1, 0.3, 0.5, 0.7, 0.9], 'jdotclassifier__base_estimator__estimator_name': ['SVC'], 'jdotclassifier__n_iter_max': [100], 'jdotclassifier__thr_weights': [1e-07], 'jdotclassifier__tol': [1e-06]}","[0.8703125, 0.8609375, 0.86875, 0.8640625, 0.834375, 0.828125, 0.8890625, 0.871875, 0.859375, 0.859375, 0.840625, 0.846875, 0.875, 0.8375, 0.8640625, 0.871875, 0.8671875, 0.8796875, 0.8828125, 0.8765625, 0.8484375, 0.89375, 0.8734375, 0.8859375, 0.8703125]"
Simulated,concept_drift,KLIEP,circular_validation,Reweighting,0.65875,0.0240712916839403,"[0.6625, 0.65625, 0.7, 0.64375, 0.66875, 0.65625, 0.68125, 0.69375, 0.65, 0.66875, 0.6125, 0.64375, 0.63125, 0.68125, 0.66875, 0.69375, 0.65, 0.65625, 0.68125, 0.675, 0.64375, 0.6, 0.64375, 0.6625, 0.64375]",0.65875,0.024071291683940295,"[0.6625, 0.65625, 0.7, 0.64375, 0.66875, 0.65625, 0.6812499999999999, 0.6937500000000001, 0.65, 0.66875, 0.6125, 0.64375, 0.6312500000000001, 0.68125, 0.66875, 0.69375, 0.65, 0.65625, 0.68125, 0.675, 0.64375, 0.6, 0.64375, 0.6625, 0.64375]",0.6190079853612792,0.03372563767632428,"[0.625974025974026, 0.6138826729849501, 0.6754563894523326, 0.5960132890365448, 0.6312883168833427, 0.6101882613510521, 0.656435518504484, 0.6648283527852593, 0.6121212121212121, 0.6312883168833427, 0.5584045584045583, 0.6034610200443498, 0.5776475325488792, 0.6482607008922798, 0.6344670028880556, 0.6699086354258769, 0.6086652690426275, 0.6173746684638463, 0.6511478773887391, 0.6428571428571429, 0.5998420429116756, 0.5345454545454545, 0.5960132890365448, 0.6191147945688591, 0.5960132890365448]",0.65875,0.024071291683940316,"[0.6625000000000001, 0.65625, 0.7000000000000001, 0.64375, 0.6687500000000001, 0.65625, 0.6812499999999999, 0.69375, 0.65, 0.6687500000000001, 0.6124999999999999, 0.64375, 0.63125, 0.68125, 0.66875, 0.69375, 0.6499999999999999, 0.65625, 0.68125, 0.6749999999999999, 0.6437499999999999, 0.6, 0.64375, 0.6625, 0.64375]","{'finalestimator__estimator_name': ['SVC'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}","[0.8859375, 0.8765625, 0.8765625, 0.86875, 0.8515625, 0.875, 0.896875, 0.8953125, 0.8734375, 0.85625, 0.825, 0.85625, 0.865625, 0.8125, 0.821875, 0.8875, 0.8734375, 0.89375, 0.8828125, 0.875, 0.840625, 0.8890625, 0.8796875, 0.8765625, 0.8671875]"
Simulated,concept_drift,KMM,circular_validation,Reweighting,0.6445000000000001,0.040396794942998464,"[0.6625, 0.625, 0.7125, 0.63125, 0.625, 0.6375, 0.6875, 0.6875, 0.625, 0.6875, 0.625, 0.6, 0.6375, 0.7625, 0.68125, 0.64375, 0.59375, 0.63125, 0.65625, 0.6375, 0.6, 0.6125, 0.625, 0.5875, 0.6375]",0.6445000000000001,0.04039679494299846,"[0.6625, 0.625, 0.7124999999999999, 0.6312500000000001, 0.625, 0.6375, 0.6875, 0.6875, 0.625, 0.6875, 0.625, 0.6, 0.6375, 0.7625, 0.68125, 0.64375, 0.59375, 0.6312500000000001, 0.65625, 0.6375, 0.6, 0.6125, 0.625, 0.5875, 0.6375]",0.5984246619082131,0.056806312104682344,"[0.625974025974026, 0.5726495726495726, 0.6953137936744495, 0.5776475325488792, 0.5682676740420939, 0.586894586894587, 0.6643732169827152, 0.6593425310849941, 0.5726495726495726, 0.6593425310849941, 0.5844155844155845, 0.5441595441595442, 0.5909010756480338, 0.749835418038183, 0.6511478773887391, 0.6034610200443498, 0.5192085432943461, 0.5776475325488792, 0.6206733048838312, 0.5909010756480338, 0.5293252436109579, 0.5584045584045583, 0.5682676740420939, 0.5029184710977217, 0.586894586894587]",0.6445000000000001,0.0403967949429985,"[0.6625000000000001, 0.6249999999999999, 0.7125, 0.63125, 0.625, 0.6375000000000001, 0.6875, 0.6875, 0.6249999999999999, 0.6875, 0.625, 0.6, 0.6375000000000001, 0.7625000000000002, 0.68125, 0.64375, 0.59375, 0.63125, 0.6562500000000001, 0.6375000000000001, 0.6, 0.6124999999999999, 0.625, 0.5875, 0.6375000000000001]","{'finalestimator__estimator_name': ['SVC'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}","[0.8765625, 0.878125, 0.8703125, 0.8609375, 0.85625, 0.8765625, 0.8890625, 0.8921875, 0.875, 0.8625, 0.834375, 0.865625, 0.8515625, 0.821875, 0.834375, 0.871875, 0.8671875, 0.8671875, 0.878125, 0.8796875, 0.8328125, 0.878125, 0.8484375, 0.8859375, 0.8453125]"
Simulated,concept_drift,MMD-LS,circular_validation,Mapping,0.7232500000000001,0.07589569322431941,"[0.65625, 0.8, 0.71875, 0.65, 0.6875, 0.8125, 0.7, 0.75, 0.6875, 0.6625, 0.66875, 0.7875, 0.625, 0.9, 0.80625, 0.7, 0.65, 0.65625, 0.78125, 0.81875, 0.84375, 0.75, 0.6375, 0.66875, 0.6625]",0.7232500000000001,0.0758956932243194,"[0.65625, 0.8, 0.71875, 0.65, 0.6875, 0.8125, 0.7, 0.75, 0.6875, 0.6625000000000001, 0.66875, 0.7875, 0.625, 0.9, 0.8062499999999999, 0.7, 0.65, 0.65625, 0.78125, 0.8187500000000001, 0.84375, 0.75, 0.6375, 0.66875, 0.6625]",0.7021894329270105,0.09315302280332063,"[0.6173746684638463, 0.7994987468671679, 0.694591728525981, 0.6050079351084465, 0.6565934065934066, 0.8122359568142701, 0.6799999999999999, 0.7421018697614443, 0.6619337390128466, 0.6226415094339622, 0.6500350790309934, 0.7873671044402751, 0.5682676740420939, 0.8998591769676108, 0.8061818608104412, 0.6777982883034066, 0.6086652690426275, 0.6206733048838312, 0.7812414547443259, 0.818686256887187, 0.843743896245947, 0.7480711698945047, 0.5982683982683983, 0.6279233030582247, 0.625974025974026]",0.7232500000000001,0.07589569322431938,"[0.65625, 0.8, 0.71875, 0.65, 0.6875, 0.8124999999999999, 0.7, 0.75, 0.6875, 0.6625, 0.66875, 0.7874999999999999, 0.625, 0.9, 0.8062499999999999, 0.7, 0.6499999999999999, 0.6562500000000001, 0.78125, 0.81875, 0.8437500000000001, 0.7500000000000001, 0.6375, 0.66875, 0.6625000000000001]","{'finalestimator__estimator_name': ['SVC'], 'mmdlsconsmappingadapter__gamma': [0.01, 0.1, 1, 10, 100], 'mmdlsconsmappingadapter__max_iter': [20], 'mmdlsconsmappingadapter__reg_k': [1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}","[0.8859375, 0.8640625, 0.8609375, 0.8625, 0.85, 0.85625, 0.8984375, 0.8875, 0.875, 0.8546875, 0.828125, 0.8515625, 0.865625, 0.815625, 0.8375, 0.8890625, 0.8734375, 0.884375, 0.878125, 0.88125, 0.85625, 0.8765625, 0.8859375, 0.871875, 0.86875]"
Simulated,concept_drift,Train Src,circular_validation,NO DA,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['SVC']},"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
Simulated,concept_drift,Train Tgt,circular_validation,NO DA,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['SVC']},"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
Simulated,concept_drift,OTLabelProp,circular_validation,Other,0.8027500000000001,0.04642422140793892,"[0.76875, 0.78125, 0.8375, 0.7, 0.7625, 0.825, 0.80625, 0.85, 0.7375, 0.8375, 0.83125, 0.71875, 0.8375, 0.9125, 0.83125, 0.79375, 0.79375, 0.79375, 0.78125, 0.8, 0.85, 0.76875, 0.78125, 0.8375, 0.83125]",0.8027500000000001,0.046424221407938907,"[0.76875, 0.78125, 0.8375, 0.7, 0.7625, 0.825, 0.80625, 0.85, 0.7375, 0.8374999999999999, 0.83125, 0.71875, 0.8375, 0.9125, 0.83125, 0.79375, 0.79375, 0.79375, 0.78125, 0.8, 0.85, 0.76875, 0.78125, 0.8375, 0.83125]",0.8021888179489554,0.04706214009188542,"[0.7687409664440018, 0.7810361681329423, 0.8372711625723674, 0.6992481203007519, 0.7621655452980753, 0.8249726519768714, 0.8062424313449743, 0.85, 0.7303803562831006, 0.8374746054070948, 0.8311906529639327, 0.717414341222183, 0.8375, 0.9125, 0.8309263825290595, 0.7923793794974637, 0.7937419430446502, 0.7927705168962675, 0.7812414547443259, 0.7997183539352214, 0.849906191369606, 0.7680159880873074, 0.7812414547443259, 0.83739837398374, 0.8312434079456228]",0.8027500000000001,0.04642422140793889,"[0.76875, 0.78125, 0.8375, 0.7, 0.7625000000000001, 0.8250000000000001, 0.8062500000000001, 0.85, 0.7375, 0.8374999999999999, 0.83125, 0.71875, 0.8374999999999999, 0.9125, 0.83125, 0.79375, 0.79375, 0.7937500000000001, 0.78125, 0.7999999999999999, 0.85, 0.7687499999999999, 0.78125, 0.8375000000000001, 0.8312499999999999]","[{'finalestimator__estimator_name': ['SVC'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__n_iter_max': [10000], 'otlabelpropadapter__reg': [None]}, {'finalestimator__estimator_name': ['SVC'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__n_iter_max': [100], 'otlabelpropadapter__reg': [0.1, 1]}]","[0.8703125, 0.8578125, 0.8765625, 0.865625, 0.840625, 0.840625, 0.884375, 0.871875, 0.8625, 0.8578125, 0.8359375, 0.859375, 0.871875, 0.834375, 0.8515625, 0.86875, 0.8671875, 0.884375, 0.8890625, 0.8796875, 0.853125, 0.890625, 0.865625, 0.8828125, 0.871875]"
Simulated,concept_drift,JPCA,circular_validation,Subspace,0.66175,0.0238211653087473,"[0.6625, 0.65625, 0.7, 0.65, 0.66875, 0.6625, 0.7, 0.69375, 0.65625, 0.66875, 0.6125, 0.64375, 0.63125, 0.68125, 0.675, 0.69375, 0.65, 0.65625, 0.66875, 0.68125, 0.6625, 0.6125, 0.6375, 0.675, 0.64375]",0.66175,0.023821165308747297,"[0.6625, 0.65625, 0.7, 0.65, 0.66875, 0.6625000000000001, 0.7, 0.6937500000000001, 0.65625, 0.66875, 0.6125, 0.64375, 0.6312500000000001, 0.68125, 0.675, 0.69375, 0.65, 0.65625, 0.66875, 0.68125, 0.6625, 0.6125, 0.6375, 0.675, 0.64375]",0.624267149182694,0.0325497333707863,"[0.625974025974026, 0.6173746684638463, 0.6777982883034066, 0.6050079351084465, 0.6312883168833427, 0.6226415094339622, 0.6799999999999999, 0.6648283527852593, 0.6206733048838312, 0.6312883168833427, 0.5626873567272086, 0.6101064511991792, 0.5776475325488792, 0.6482607008922798, 0.6428571428571429, 0.6699086354258769, 0.6086652690426275, 0.6206733048838312, 0.6344670028880556, 0.6511478773887391, 0.625974025974026, 0.5538765965101637, 0.5909010756480338, 0.636617749825297, 0.5960132890365448]",0.66175,0.023821165308747314,"[0.6625000000000001, 0.65625, 0.7, 0.65, 0.6687500000000001, 0.6625, 0.7, 0.69375, 0.6562500000000001, 0.6687500000000001, 0.6124999999999999, 0.64375, 0.63125, 0.68125, 0.6749999999999999, 0.69375, 0.6499999999999999, 0.6562500000000001, 0.66875, 0.68125, 0.6625000000000001, 0.6125, 0.6375000000000001, 0.675, 0.64375]","{'finalestimator__estimator_name': ['SVC'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}","[0.8859375, 0.8640625, 0.85625, 0.8609375, 0.8484375, 0.84375, 0.8953125, 0.8875, 0.86875, 0.8515625, 0.8234375, 0.8375, 0.865625, 0.8125, 0.821875, 0.8875, 0.871875, 0.884375, 0.865625, 0.871875, 0.8296875, 0.875, 0.8484375, 0.8703125, 0.8578125]"
