dataset,shift,estimator,scorer,type,accuracy-mean,accuracy-std,balanced_accuracy-mean,balanced_accuracy-std,f1_score-mean,f1_score-std,roc_auc_score-mean,roc_auc_score-std
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR']}],supervised,Unknown,0.5785353535353536,0.011991626333922943,0.5786570162293148,0.012003850023467117,0.5774816143507178,0.011829572651740023,0.5786570162293148,0.012003850023467074
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.001']}],supervised,Unknown,0.5795454545454545,0.012499362293701577,0.5796632975161814,0.012517520622240236,0.5785700448235501,0.01223863485974372,0.5796632975161815,0.012517520622240185
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.002']}],supervised,Unknown,0.5792929292929292,0.012543923441434107,0.5794126837356119,0.012552104349471549,0.5782925739116497,0.01243456664274071,0.579412683735612,0.012552104349471554
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.005']}],supervised,Unknown,0.5787878787878789,0.012261134733646642,0.5789038038452954,0.012278953569351946,0.5778403660115676,0.01200242060193085,0.5789038038452954,0.012278953569351943
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.01']}],supervised,Unknown,0.5787878787878787,0.011931651166593343,0.5789050792334918,0.011945345651328364,0.5778128581408889,0.01173630884528593,0.5789050792334918,0.01194534565132836
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.02']}],supervised,Unknown,0.580050505050505,0.012195950142467911,0.5801658004655167,0.01221356026096081,0.5791237398817279,0.011937196729897103,0.5801658004655167,0.012213560260960772
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.05']}],supervised,Unknown,0.5792929292929292,0.011482265196353172,0.5794088575710232,0.011494061323876238,0.5783518977115235,0.011308454424115964,0.5794088575710232,0.011494061323876224
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.1']}],supervised,Unknown,0.5797979797979798,0.011377656895019005,0.5799164620731435,0.011386971945458568,0.5788269080869438,0.011242243531074139,0.5799164620731435,0.011386971945458624
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.2']}],supervised,Unknown,0.579040404040404,0.012195950142467904,0.5791569684022575,0.012211979965302752,0.5780888251160874,0.011957858493804598,0.5791569684022575,0.012211979965302737
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.5']}],supervised,Unknown,0.5775252525252526,0.012956538921581112,0.5776443580014667,0.012967049787442796,0.5765207908875076,0.012811947082627463,0.5776443580014667,0.012967049787442786
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C1.0']}],supervised,Unknown,0.5785353535353536,0.011991626333922943,0.5786570162293148,0.012003850023467117,0.5774816143507178,0.011829572651740023,0.5786570162293148,0.012003850023467074
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C10.0']}],supervised,Unknown,0.5787878787878789,0.012261134733646642,0.5789050792334917,0.01227642566444639,0.5778240263049341,0.01203484595256993,0.5789050792334918,0.012276425664446365
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C100.0']}],supervised,Unknown,0.5785353535353536,0.011991626333922943,0.5786519146765297,0.012005309014807574,0.5775840379229563,0.011793969249812275,0.5786519146765297,0.01200530901480752
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C1000.0']}],supervised,Unknown,0.579040404040404,0.011864656526094433,0.5791582437904538,0.011878138020588638,0.5780791351129011,0.01166694697360421,0.5791582437904538,0.011878138020588588
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C2.0']}],supervised,Unknown,0.5795454545454545,0.011945005005318449,0.5796632975161814,0.011959446053251097,0.5785785851055307,0.011736592680337124,0.5796632975161815,0.011959446053251045
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C20.0']}],supervised,Unknown,0.579040404040404,0.012195950142467904,0.5791569684022575,0.012211979965302752,0.5780888251160874,0.011957858493804598,0.5791569684022575,0.012211979965302737
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C200.0']}],supervised,Unknown,0.5787878787878789,0.012832904997244331,0.5789025284570991,0.012848433001379,0.5778610661755254,0.012602729866890434,0.5789025284570991,0.01284843300137892
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C5.0']}],supervised,Unknown,0.5792929292929292,0.011891499674718257,0.5794101329592194,0.011906988314775314,0.5783321204370941,0.011667727945427775,0.5794101329592195,0.011906988314775309
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C50.0']}],supervised,Unknown,0.5792929292929292,0.012254631877324153,0.5794088575710232,0.012269309022422296,0.5783475686054472,0.012035600163869951,0.5794088575710232,0.01226930902242228
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C500.0']}],supervised,Unknown,0.5792929292929292,0.011482265196353172,0.5794075821828268,0.011498938144839833,0.5783611543941338,0.011248899273007195,0.5794075821828268,0.011498938144839807
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC']}],supervised,Unknown,0.5969696969696969,0.008441674065882202,0.5969569237636706,0.008452386479903429,0.5968910599938048,0.008518173710191989,0.5969569237636706,0.008452386479903406
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.001_Gamma0.001']}],supervised,Unknown,0.5012626262626263,0.0,0.5,0.0,0.33473719533433577,0.0,0.5,0.0
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.001_Gamma0.01']}],supervised,Unknown,0.5012626262626263,0.0,0.5,0.0,0.33473719533433577,0.0,0.5,0.0
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.001_Gamma0.1']}],supervised,Unknown,0.5012626262626263,0.0,0.5,0.0,0.33473719533433577,0.0,0.5,0.0
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.001_Gamma1.0']}],supervised,Unknown,0.5012626262626263,0.0,0.5,0.0,0.33473719533433577,0.0,0.5,0.0
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.001_Gamma10.0']}],supervised,Unknown,0.5012626262626263,0.0,0.5,0.0,0.33473719533433577,0.0,0.5,0.0
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.001_Gamma100.0']}],supervised,Unknown,0.5012626262626263,0.0,0.5,0.0,0.33473719533433577,0.0,0.5,0.0
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.001_Gamma1000.0']}],supervised,Unknown,0.5012626262626263,0.0,0.5,0.0,0.33473719533433577,0.0,0.5,0.0
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.01_Gamma0.001']}],supervised,Unknown,0.5012626262626263,0.0,0.5,0.0,0.33473719533433577,0.0,0.5,0.0
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.01_Gamma0.01']}],supervised,Unknown,0.5012626262626263,0.0,0.5,0.0,0.33473719533433577,0.0,0.5,0.0
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.01_Gamma0.1']}],supervised,Unknown,0.5012626262626263,0.0,0.5,0.0,0.33473719533433577,0.0,0.5,0.0
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.01_Gamma1.0']}],supervised,Unknown,0.5012626262626263,0.0,0.5,0.0,0.33473719533433577,0.0,0.5,0.0
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.01_Gamma10.0']}],supervised,Unknown,0.5012626262626263,0.0,0.5,0.0,0.33473719533433577,0.0,0.5,0.0
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.01_Gamma100.0']}],supervised,Unknown,0.5012626262626263,0.0,0.5,0.0,0.33473719533433577,0.0,0.5,0.0
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.01_Gamma1000.0']}],supervised,Unknown,0.5012626262626263,0.0,0.5,0.0,0.33473719533433577,0.0,0.5,0.0
