dataset,shift,estimator,scorer,type,accuracy-mean,accuracy-std,accuracy-identity,balanced_accuracy-mean,balanced_accuracy-std,balanced_accuracy-identity,f1_score-mean,f1_score-std,f1_score-identity,roc_auc_score-mean,roc_auc_score-std,roc_auc_score-identity,params
Simulated,concept_drift,NO_DA_SOURCE_ONLY_BASE_ESTIM,supervised,Unknown,0.8384999999999999,0.029956565780031173,"[0.79375, 0.8375, 0.79375, 0.875, 0.8625, 0.81875, 0.8, 0.81875, 0.8375, 0.85625, 0.88125, 0.8625, 0.8125, 0.9, 0.8375, 0.81875, 0.8, 0.85, 0.86875, 0.83125, 0.85, 0.825, 0.84375, 0.80625, 0.88125]",0.8384999999999999,0.02995656578003116,"[0.79375, 0.8374999999999999, 0.79375, 0.875, 0.8625, 0.81875, 0.8, 0.81875, 0.8375, 0.85625, 0.88125, 0.8625, 0.8125, 0.9, 0.8375, 0.8187500000000001, 0.8, 0.8500000000000001, 0.86875, 0.83125, 0.8500000000000001, 0.825, 0.84375, 0.80625, 0.88125]",0.838178694292403,0.030092642486467484,"[0.7935483870967742, 0.837092731829574, 0.7936774647336954, 0.8749218261413384, 0.8624785122675418, 0.818572825024438, 0.7984569359156038, 0.8181746933657275, 0.8375, 0.8552947190436868, 0.8812453611469199, 0.8623063683304647, 0.8114393463230674, 0.8999374609130708, 0.83739837398374, 0.8184024108645452, 0.7998749218261413, 0.8499765588373183, 0.8687448728465956, 0.8311906529639327, 0.8491514770584537, 0.8240100565681961, 0.8436950490406783, 0.8062424313449743, 0.8811339198435973]",0.8384999999999999,0.029956565780031166,"[0.79375, 0.8374999999999999, 0.7937500000000001, 0.875, 0.8625, 0.81875, 0.8, 0.81875, 0.8374999999999999, 0.8562500000000001, 0.88125, 0.8624999999999999, 0.8125, 0.9, 0.8375000000000001, 0.8187500000000001, 0.7999999999999998, 0.8500000000000001, 0.86875, 0.83125, 0.8500000000000001, 0.825, 0.84375, 0.8062500000000001, 0.8812500000000001]",{'finalestimator__estimator_name': ['LR']}
Simulated,concept_drift,NO_DA_SOURCE_ONLY_BASE_ESTIM,supervised,Unknown,0.83825,0.02955397604384222,"[0.7875, 0.8375, 0.8125, 0.88125, 0.85625, 0.8375, 0.79375, 0.825, 0.825, 0.85, 0.8625, 0.85, 0.79375, 0.90625, 0.825, 0.83125, 0.8125, 0.8625, 0.8625, 0.85, 0.84375, 0.81875, 0.83125, 0.8125, 0.8875]",0.83825,0.029553976043842217,"[0.7875, 0.8375, 0.8125, 0.88125, 0.85625, 0.8375, 0.79375, 0.825, 0.825, 0.85, 0.8625, 0.85, 0.79375, 0.90625, 0.825, 0.83125, 0.8125, 0.8625, 0.8625, 0.85, 0.84375, 0.8187500000000001, 0.83125, 0.8125, 0.8875]",0.8378045680963844,0.02973620692679229,"[0.7872007510561728, 0.836862745098039, 0.8122359568142701, 0.8811339198435973, 0.8561994451174242, 0.8372711625723674, 0.7923793794974637, 0.824313725490196, 0.8247535596933186, 0.8488427019367029, 0.8624140087554721, 0.8494117647058823, 0.7923793794974637, 0.9060702125161442, 0.8247535596933186, 0.8310850439882698, 0.8124706985466478, 0.8624140087554721, 0.8624140087554721, 0.849788765451416, 0.8423645320197044, 0.8175455153159531, 0.8310850439882698, 0.8123827392120073, 0.8873415740885621]",0.83825,0.02955397604384222,"[0.7875, 0.8374999999999999, 0.8125, 0.8812500000000001, 0.85625, 0.8375, 0.79375, 0.825, 0.8250000000000001, 0.85, 0.8625, 0.85, 0.79375, 0.90625, 0.8250000000000001, 0.8312500000000002, 0.8125, 0.8625, 0.8625, 0.8499999999999999, 0.84375, 0.8187500000000001, 0.8312500000000002, 0.8125, 0.8875]",{'finalestimator__estimator_name': ['LR_C0.001']}
Simulated,concept_drift,NO_DA_SOURCE_ONLY_BASE_ESTIM,supervised,Unknown,0.83825,0.029553976043842214,"[0.7875, 0.8375, 0.80625, 0.88125, 0.85625, 0.83125, 0.79375, 0.81875, 0.84375, 0.84375, 0.8625, 0.85625, 0.79375, 0.90625, 0.825, 0.83125, 0.81875, 0.8625, 0.85625, 0.85, 0.84375, 0.81875, 0.83125, 0.8125, 0.8875]",0.83825,0.029553976043842224,"[0.7875, 0.8375, 0.8062499999999999, 0.8812500000000001, 0.85625, 0.83125, 0.79375, 0.81875, 0.84375, 0.84375, 0.8625, 0.85625, 0.79375, 0.90625, 0.825, 0.83125, 0.81875, 0.8625, 0.85625, 0.85, 0.84375, 0.8187500000000001, 0.83125, 0.8125, 0.8875]",0.8377986548156864,0.029744307917030574,"[0.7872007510561728, 0.836862745098039, 0.8058784392000312, 0.8810222691871161, 0.8561994451174242, 0.8309263825290595, 0.7923793794974637, 0.8181746933657275, 0.8435972629521016, 0.8423645320197044, 0.8624140087554721, 0.8557937223245424, 0.7923793794974637, 0.9060702125161442, 0.8247535596933186, 0.8310850439882698, 0.8187429196452987, 0.8624140087554721, 0.8561994451174242, 0.849788765451416, 0.8423645320197044, 0.8175455153159531, 0.8310850439882698, 0.8123827392120073, 0.8873415740885621]",0.83825,0.02955397604384222,"[0.7875, 0.8374999999999999, 0.80625, 0.8812500000000001, 0.85625, 0.83125, 0.79375, 0.81875, 0.84375, 0.84375, 0.8625, 0.8562500000000002, 0.79375, 0.90625, 0.8250000000000001, 0.8312500000000002, 0.8187499999999999, 0.8625, 0.85625, 0.8499999999999999, 0.84375, 0.8187500000000001, 0.8312500000000002, 0.8125, 0.8875]",{'finalestimator__estimator_name': ['LR_C0.002']}
Simulated,concept_drift,NO_DA_SOURCE_ONLY_BASE_ESTIM,supervised,Unknown,0.83675,0.02916592260955696,"[0.7875, 0.8375, 0.79375, 0.875, 0.85625, 0.825, 0.80625, 0.81875, 0.84375, 0.8375, 0.86875, 0.85625, 0.79375, 0.90625, 0.83125, 0.83125, 0.80625, 0.8625, 0.85, 0.84375, 0.8375, 0.81875, 0.8375, 0.8125, 0.88125]",0.83675,0.029165922609556957,"[0.7875, 0.8375, 0.79375, 0.875, 0.85625, 0.825, 0.80625, 0.81875, 0.84375, 0.8375, 0.8687499999999999, 0.85625, 0.79375, 0.90625, 0.83125, 0.83125, 0.80625, 0.8625, 0.8500000000000001, 0.84375, 0.8375, 0.8187500000000001, 0.8375, 0.8125, 0.88125]",0.8363095467383457,0.029366569332847394,"[0.7872007510561728, 0.836862745098039, 0.7935483870967742, 0.8749218261413384, 0.8561994451174242, 0.8247535596933186, 0.8045320197044334, 0.8181746933657275, 0.8436950490406783, 0.8358585858585859, 0.8687038411941698, 0.8557937223245424, 0.7923793794974637, 0.9060702125161442, 0.8310850439882698, 0.8310850439882698, 0.8062424313449743, 0.8624785122675418, 0.8499765588373183, 0.8435972629521016, 0.8362462604314281, 0.8175455153159531, 0.8372711625723674, 0.8123827392120073, 0.8811339198435973]",0.83675,0.02916592260955695,"[0.7875, 0.8374999999999999, 0.79375, 0.875, 0.85625, 0.8250000000000001, 0.80625, 0.81875, 0.84375, 0.8375, 0.8687499999999999, 0.8562500000000002, 0.79375, 0.90625, 0.8312500000000002, 0.8312500000000002, 0.8062500000000001, 0.8625, 0.85, 0.84375, 0.8375, 0.8187500000000001, 0.8375, 0.8125, 0.8812500000000001]",{'finalestimator__estimator_name': ['LR_C0.005']}
Simulated,concept_drift,NO_DA_SOURCE_ONLY_BASE_ESTIM,supervised,Unknown,0.8370000000000001,0.029806231870757045,"[0.7875, 0.83125, 0.8, 0.875, 0.85625, 0.81875, 0.8, 0.83125, 0.84375, 0.84375, 0.88125, 0.85625, 0.79375, 0.90625, 0.83125, 0.825, 0.80625, 0.8625, 0.85, 0.8375, 0.8375, 0.81875, 0.8375, 0.8125, 0.88125]",0.8370000000000001,0.02980623187075703,"[0.7875, 0.83125, 0.8, 0.875, 0.85625, 0.8187500000000001, 0.8, 0.83125, 0.84375, 0.84375, 0.88125, 0.85625, 0.79375, 0.90625, 0.83125, 0.825, 0.80625, 0.8625, 0.8500000000000001, 0.8375, 0.8375, 0.8187500000000001, 0.8375, 0.8125, 0.88125]",0.8365685270696014,0.030017873332831378,"[0.7872007510561728, 0.8307143696853323, 0.7997183539352214, 0.8749218261413384, 0.8561994451174242, 0.8184024108645452, 0.7984569359156038, 0.8304486047333098, 0.8436950490406783, 0.8423645320197044, 0.8812453611469199, 0.8557937223245424, 0.7923793794974637, 0.9061583577712607, 0.8310850439882698, 0.8247535596933186, 0.8062424313449743, 0.8624785122675418, 0.8499765588373183, 0.83739837398374, 0.8362462604314281, 0.8175455153159531, 0.8372711625723674, 0.8123827392120073, 0.8811339198435973]",0.8370000000000001,0.02980623187075706,"[0.7875, 0.83125, 0.7999999999999999, 0.875, 0.85625, 0.8187500000000001, 0.8, 0.8312499999999998, 0.84375, 0.84375, 0.88125, 0.8562500000000002, 0.79375, 0.90625, 0.8312500000000002, 0.8250000000000002, 0.8062500000000001, 0.8625, 0.85, 0.8375000000000001, 0.8375, 0.8187500000000001, 0.8375, 0.8125, 0.8812500000000001]",{'finalestimator__estimator_name': ['LR_C0.01']}
Simulated,concept_drift,NO_DA_SOURCE_ONLY_BASE_ESTIM,supervised,Unknown,0.83675,0.02927731986253751,"[0.7875, 0.83125, 0.8, 0.875, 0.85625, 0.81875, 0.80625, 0.81875, 0.825, 0.85, 0.88125, 0.8625, 0.8125, 0.9, 0.83125, 0.825, 0.80625, 0.85625, 0.8625, 0.8375, 0.8375, 0.81875, 0.8375, 0.8, 0.88125]",0.83675,0.02927731986253751,"[0.7875, 0.83125, 0.8, 0.875, 0.85625, 0.8187500000000001, 0.80625, 0.81875, 0.825, 0.85, 0.88125, 0.8625, 0.8125, 0.9, 0.83125, 0.825, 0.80625, 0.85625, 0.8625, 0.8375, 0.8375, 0.8187500000000001, 0.8375, 0.8, 0.88125]",0.836360029476354,0.029438851867204782,"[0.7872007510561728, 0.8307143696853323, 0.7997183539352214, 0.8749218261413384, 0.8561994451174242, 0.8184024108645452, 0.8045320197044334, 0.8181746933657275, 0.825, 0.8488427019367029, 0.8812453611469199, 0.862155388471178, 0.8114393463230674, 0.8999374609130708, 0.8310850439882698, 0.8247535596933186, 0.8062424313449743, 0.8562443845462713, 0.8625, 0.83739837398374, 0.8362462604314281, 0.8175455153159531, 0.83739837398374, 0.7999687451164245, 0.8811339198435973]",0.83675,0.029277319862537527,"[0.7875, 0.83125, 0.7999999999999999, 0.875, 0.85625, 0.8187500000000001, 0.80625, 0.81875, 0.825, 0.85, 0.88125, 0.8625, 0.8125, 0.9, 0.8312500000000002, 0.8250000000000002, 0.8062500000000001, 0.85625, 0.8625, 0.8375000000000001, 0.8375, 0.8187500000000001, 0.8375000000000001, 0.7999999999999999, 0.8812500000000001]",{'finalestimator__estimator_name': ['LR_C0.02']}
Simulated,concept_drift,NO_DA_SOURCE_ONLY_BASE_ESTIM,supervised,Unknown,0.8365,0.0307607535397515,"[0.7875, 0.8375, 0.79375, 0.875, 0.8625, 0.825, 0.80625, 0.8125, 0.825, 0.85, 0.88125, 0.8625, 0.8125, 0.9, 0.83125, 0.81875, 0.79375, 0.85625, 0.86875, 0.83125, 0.8375, 0.825, 0.8375, 0.8, 0.88125]",0.8365,0.03076075353975149,"[0.7875, 0.8374999999999999, 0.79375, 0.875, 0.8625, 0.825, 0.80625, 0.8125, 0.825, 0.85, 0.88125, 0.8625, 0.8125, 0.9, 0.83125, 0.8187500000000001, 0.79375, 0.85625, 0.86875, 0.83125, 0.8375, 0.825, 0.8375, 0.8, 0.88125]",0.836131799833814,0.030903784884514077,"[0.7872007510561728, 0.837092731829574, 0.7936774647336954, 0.8749218261413384, 0.8624785122675418, 0.8247535596933186, 0.8045320197044334, 0.8117647058823529, 0.825, 0.8488427019367029, 0.8812453611469199, 0.8623063683304647, 0.8114393463230674, 0.8999374609130708, 0.8310850439882698, 0.8184024108645452, 0.7936774647336954, 0.8562443845462713, 0.8687448728465956, 0.8311906529639327, 0.8362462604314281, 0.8240100565681961, 0.83739837398374, 0.7999687451164245, 0.8811339198435973]",0.8365,0.030760753539751485,"[0.7875, 0.8374999999999999, 0.7937500000000001, 0.875, 0.8625, 0.8250000000000001, 0.80625, 0.8125, 0.825, 0.85, 0.88125, 0.8624999999999999, 0.8125, 0.9, 0.8312500000000002, 0.8187500000000001, 0.79375, 0.85625, 0.86875, 0.83125, 0.8375, 0.825, 0.8375000000000001, 0.7999999999999999, 0.8812500000000001]",{'finalestimator__estimator_name': ['LR_C0.05']}
Simulated,concept_drift,NO_DA_SOURCE_ONLY_BASE_ESTIM,supervised,Unknown,0.8377500000000001,0.02989129611330585,"[0.7875, 0.8375, 0.79375, 0.875, 0.8625, 0.825, 0.80625, 0.8125, 0.8375, 0.85, 0.88125, 0.8625, 0.8125, 0.9, 0.8375, 0.81875, 0.8, 0.85, 0.86875, 0.83125, 0.84375, 0.825, 0.8375, 0.80625, 0.88125]",0.8377500000000001,0.02989129611330584,"[0.7875, 0.8374999999999999, 0.79375, 0.875, 0.8625, 0.825, 0.80625, 0.8125, 0.8375, 0.85, 0.88125, 0.8625, 0.8125, 0.9, 0.8375, 0.8187500000000001, 0.8, 0.85, 0.86875, 0.83125, 0.84375, 0.825, 0.8375, 0.80625, 0.88125]",0.8373920190127423,0.03004464071378902,"[0.7872007510561728, 0.837092731829574, 0.7936774647336954, 0.8749218261413384, 0.8624785122675418, 0.8247535596933186, 0.8045320197044334, 0.8117647058823529, 0.8375, 0.8488427019367029, 0.8812453611469199, 0.8623063683304647, 0.8114393463230674, 0.8999374609130708, 0.83739837398374, 0.8184024108645452, 0.7998749218261413, 0.85, 0.8687448728465956, 0.8311906529639327, 0.8427116511344422, 0.8240100565681961, 0.83739837398374, 0.8062424313449743, 0.8811339198435973]",0.8377500000000001,0.029891296113305824,"[0.7875, 0.8374999999999999, 0.7937500000000001, 0.875, 0.8625, 0.8250000000000001, 0.80625, 0.8125, 0.8374999999999999, 0.85, 0.88125, 0.8624999999999999, 0.8125, 0.9, 0.8375000000000001, 0.8187500000000001, 0.7999999999999998, 0.85, 0.86875, 0.83125, 0.84375, 0.825, 0.8375000000000001, 0.8062500000000001, 0.8812500000000001]",{'finalestimator__estimator_name': ['LR_C0.1']}
Simulated,concept_drift,NO_DA_SOURCE_ONLY_BASE_ESTIM,supervised,Unknown,0.8377500000000001,0.030216234598859817,"[0.7875, 0.8375, 0.79375, 0.875, 0.8625, 0.81875, 0.8, 0.81875, 0.8375, 0.85, 0.88125, 0.8625, 0.8125, 0.9, 0.8375, 0.81875, 0.8, 0.85, 0.86875, 0.83125, 0.85, 0.825, 0.8375, 0.80625, 0.88125]",0.8377500000000001,0.03021623459885981,"[0.7875, 0.8374999999999999, 0.79375, 0.875, 0.8625, 0.81875, 0.8, 0.81875, 0.8375, 0.85, 0.88125, 0.8625, 0.8125, 0.9, 0.8375, 0.8187500000000001, 0.8, 0.85, 0.86875, 0.83125, 0.8500000000000001, 0.825, 0.8375, 0.80625, 0.88125]",0.8374157788107293,0.030357207879468804,"[0.7872007510561728, 0.837092731829574, 0.7936774647336954, 0.8749218261413384, 0.8624785122675418, 0.818572825024438, 0.7984569359156038, 0.8181746933657275, 0.8375, 0.8488427019367029, 0.8812453611469199, 0.8623063683304647, 0.8114393463230674, 0.8999374609130708, 0.83739837398374, 0.8184024108645452, 0.7998749218261413, 0.85, 0.8687448728465956, 0.8311906529639327, 0.8491514770584537, 0.8240100565681961, 0.83739837398374, 0.8062424313449743, 0.8811339198435973]",0.8377500000000001,0.030216234598859814,"[0.7875, 0.8374999999999999, 0.7937500000000001, 0.875, 0.8625, 0.81875, 0.8, 0.81875, 0.8374999999999999, 0.85, 0.88125, 0.8624999999999999, 0.8125, 0.9, 0.8375000000000001, 0.8187500000000001, 0.7999999999999998, 0.85, 0.86875, 0.83125, 0.8500000000000001, 0.825, 0.8375000000000001, 0.8062500000000001, 0.8812500000000001]",{'finalestimator__estimator_name': ['LR_C0.2']}
Simulated,concept_drift,NO_DA_SOURCE_ONLY_BASE_ESTIM,supervised,Unknown,0.838,0.030239926008507355,"[0.7875, 0.8375, 0.79375, 0.875, 0.8625, 0.81875, 0.8, 0.81875, 0.8375, 0.85, 0.88125, 0.8625, 0.8125, 0.9, 0.8375, 0.81875, 0.8, 0.85, 0.86875, 0.83125, 0.85, 0.825, 0.84375, 0.80625, 0.88125]",0.838,0.03023992600850735,"[0.7875, 0.8374999999999999, 0.79375, 0.875, 0.8625, 0.81875, 0.8, 0.81875, 0.8375, 0.85, 0.88125, 0.8625, 0.8125, 0.9, 0.8375, 0.8187500000000001, 0.8, 0.8500000000000001, 0.86875, 0.83125, 0.8500000000000001, 0.825, 0.84375, 0.80625, 0.88125]",0.8376667081664997,0.03038277133150717,"[0.7872007510561728, 0.837092731829574, 0.7936774647336954, 0.8749218261413384, 0.8624785122675418, 0.818572825024438, 0.7984569359156038, 0.8181746933657275, 0.8375, 0.8488427019367029, 0.8812453611469199, 0.8623063683304647, 0.8114393463230674, 0.8999374609130708, 0.83739837398374, 0.8184024108645452, 0.7998749218261413, 0.8499765588373183, 0.8687448728465956, 0.8311906529639327, 0.8491514770584537, 0.8240100565681961, 0.8436950490406783, 0.8062424313449743, 0.8811339198435973]",0.838,0.030239926008507355,"[0.7875, 0.8374999999999999, 0.7937500000000001, 0.875, 0.8625, 0.81875, 0.8, 0.81875, 0.8374999999999999, 0.85, 0.88125, 0.8624999999999999, 0.8125, 0.9, 0.8375000000000001, 0.8187500000000001, 0.7999999999999998, 0.8500000000000001, 0.86875, 0.83125, 0.8500000000000001, 0.825, 0.84375, 0.8062500000000001, 0.8812500000000001]",{'finalestimator__estimator_name': ['LR_C0.5']}
