dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params,cv_score
20NewsGroups,rec$\rightarrow$sci,CORAL,circular_validation,Mapping,0.6113207547169811,0.030031034934121566,"[0.650314465408805, 0.5849056603773585, 0.6238993710691824, 0.620125786163522, 0.5773584905660377]",0.61106554264449,0.030006944987274832,"[0.650053163211058, 0.5847953216374269, 0.6235475051264525, 0.6198925343662185, 0.5770391888812941]",0.6093305277398957,0.02998997234920312,"[0.6486026760347328, 0.5845440799421472, 0.6205674594983724, 0.6186483527077407, 0.5742900705164856]",0.61106554264449,0.030006944987274832,"[0.650053163211058, 0.5847953216374269, 0.6235475051264525, 0.6198925343662185, 0.5770391888812941]","{'coraladapter__assume_centered': [False, True], 'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['SVC_C10.0_Gamma10.0']}","[0.96784094, 0.96656914, 0.97321869, 0.96470623, 0.96468434]"
20NewsGroups,rec$\rightarrow$sci,DASVM,circular_validation,Other,0.5914465408805032,0.15757045485040208,"[0.5421383647798742, 0.5509433962264151, 0.8628930817610063, 0.450314465408805, 0.5509433962264151]",0.5914881901724007,0.15744899537746215,"[0.5422077922077921, 0.5510651629072683, 0.8628009417483101, 0.4507006151742994, 0.5506664388243336]",0.5896505073184569,0.15904837811316516,"[0.5419876417984896, 0.5504825693358106, 0.8628023343798799, 0.4444804403144025, 0.5484995507637017]",0.5914881901724007,0.15744899537746215,"[0.5422077922077921, 0.5510651629072681, 0.86280094174831, 0.4507006151742994, 0.5506664388243335]","{'dasvmclassifier__base_estimator__estimator_name': ['SVC_C10.0_Gamma10.0'], 'dasvmclassifier__max_iter': [200]}","[0.93328756, 0.92917562, 0.91098042, 0.94299618, 0.9285666]"
20NewsGroups,rec$\rightarrow$sci,JDOT,circular_validation,Other,0.6747169811320755,0.015369607440609716,"[0.7018867924528301, 0.6691823899371069, 0.6641509433962264, 0.6679245283018868, 0.670440251572327]",0.6747189944558365,0.015341597304391028,"[0.7018303334092808, 0.6693153337890181, 0.6640939469886838, 0.6679672666514771, 0.670388091440723]",0.6745861428451073,0.015396607880246337,"[0.7018141312834911, 0.6687873050031204, 0.6640690846105154, 0.6678877463939996, 0.6703724469344103]",0.6747189944558365,0.015341597304391028,"[0.7018303334092808, 0.6693153337890181, 0.6640939469886838, 0.6679672666514771, 0.670388091440723]","{'jdotclassifier__alpha': [0.1, 0.3, 0.5, 0.7, 0.9], 'jdotclassifier__base_estimator__estimator_name': ['SVC_C10.0_Gamma10.0'], 'jdotclassifier__n_iter_max': [100], 'jdotclassifier__thr_weights': [1e-07], 'jdotclassifier__tol': [1e-06]}","[0.79524321, 0.78487382, 0.78263872, 0.78869318, 0.79553977]"
20NewsGroups,rec$\rightarrow$sci,KLIEP,circular_validation,Reweighting,0.5169811320754716,0.03383390605361704,"[0.5119496855345912, 0.5559748427672956, 0.490566037735849, 0.4792452830188679, 0.5471698113207547]",0.51742993848257,0.03385733082406286,"[0.512379433432065, 0.5564954051796157, 0.4908008658008658, 0.4798454469507101, 0.5476285410495937]",0.5095314924700597,0.0344963535242117,"[0.5055466565925515, 0.5473943975347525, 0.4885856458803723, 0.4657279639538158, 0.5404027983888064]",0.51742993848257,0.033857330824062844,"[0.512379433432065, 0.5564954051796157, 0.4908008658008658, 0.4798454469507101, 0.5476285410495936]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma10.0'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}","[0.68645609, 0.66537298, 0.72733262, 0.64809529, 0.75532999]"
20NewsGroups,rec$\rightarrow$sci,KMM,circular_validation,Reweighting,0.650314465408805,0.05941981795688899,"[0.6226415094339622, 0.7534591194968554, 0.6440251572327044, 0.6037735849056604, 0.6276729559748427]",0.6505847953216375,0.0592744476550815,"[0.6230348598769652, 0.753512569302043, 0.6441292625503152, 0.604209387104124, 0.6280378977747398]",0.6476746633391824,0.06127656934928531,"[0.6185364815349764, 0.7534169853598204, 0.643765907792494, 0.5984581782552783, 0.6241957637533434]",0.6505847953216375,0.05927444765508154,"[0.6230348598769652, 0.753512569302043, 0.6441292625503152, 0.6042093871041239, 0.6280378977747397]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma10.0'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}","[0.69871427, 0.77732466, 0.71976952, 0.65282223, 0.68772988]"
20NewsGroups,rec$\rightarrow$sci,MMD-LS,circular_validation,Mapping,0.990188679245283,0.002250131298112982,"[0.9937106918238994, 0.989937106918239, 0.989937106918239, 0.9874213836477987, 0.989937106918239]",0.9902236652236652,0.0022419415116087574,"[0.9937343358395988, 0.9899749373433584, 0.9899749373433584, 0.987468671679198, 0.9899654439128124]",0.9901880686166402,0.0022505643539100606,"[0.9937105923128362, 0.9899364700262718, 0.9899364700262718, 0.987419990393712, 0.9899368203241092]",0.9902236652236652,0.0022419415116087574,"[0.9937343358395988, 0.9899749373433584, 0.9899749373433584, 0.987468671679198, 0.9899654439128124]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma10.0'], 'mmdlsconsmappingadapter__gamma': [0.01, 0.1, 1, 10, 100], 'mmdlsconsmappingadapter__max_iter': [20], 'mmdlsconsmappingadapter__reg_k': [1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}","[0.92759334, 0.93610978, 0.93011504, 0.93785328, 0.92917164]"
20NewsGroups,rec$\rightarrow$sci,Train Src,circular_validation,NO DA,0.5164779874213836,0.03340564128385887,"[0.5119496855345912, 0.5572327044025157, 0.490566037735849, 0.4792452830188679, 0.5433962264150943]",0.516928685349738,0.03343117490917639,"[0.512379433432065, 0.5577485380116959, 0.4908008658008658, 0.4798454469507101, 0.5438691425533531]",0.5089660913691342,0.034001037935374644,"[0.5055466565925515, 0.5488350688684597, 0.4885856458803723, 0.4657279639538158, 0.5361351215504715]",0.516928685349738,0.03343117490917639,"[0.512379433432065, 0.5577485380116959, 0.4908008658008658, 0.4798454469507101, 0.5438691425533531]",{'finalestimator__estimator_name': ['SVC_C10.0_Gamma10.0']},"[0.68079771, 0.66223032, 0.72450044, 0.6443237, 0.75187087]"
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['SVC_C10.0_Gamma10.0']},"[NaN, NaN, NaN, NaN, NaN]"
20NewsGroups,rec$\rightarrow$sci,Train Tgt,circular_validation,NO DA,0.9972327044025157,0.0016400509195478316,"[0.99874213836478, 0.9962264150943396, 0.99874213836478, 0.9949685534591196, 0.9974842767295596]",0.9972355130249866,0.0016433701381065521,"[0.9987468671679198, 0.9962406015037594, 0.9987468671679198, 0.9949589883800408, 0.9974842409052936]",0.9972326900723936,0.001640080228062784,"[0.9987421423452224, 0.9962264150943396, 0.9987421423452224, 0.9949684738476235, 0.9974842767295596]",0.9972355130249868,0.0016433701381064647,"[0.9987468671679198, 0.9962406015037594, 0.9987468671679198, 0.994958988380041, 0.9974842409052936]",{'finalestimator__estimator_name': ['SVC_C10.0_Gamma10.0']},"[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
20NewsGroups,rec$\rightarrow$sci,OTLabelProp,circular_validation,Other,0.7844025157232706,0.006980848767552988,"[0.7937106918238994, 0.7836477987421384, 0.7886792452830189, 0.779874213836478, 0.7761006289308177]",0.7843244474823422,0.006949948517824036,"[0.7936223133591555, 0.783616237563606, 0.7885148477253741, 0.7798093719146351, 0.7760594668489404]",0.7842690885510668,0.006898142401382548,"[0.7935872286606612, 0.783629311314664, 0.7882577135613925, 0.7798017408858869, 0.7760694483327298]",0.7843244474823422,0.006949948517824047,"[0.7936223133591556, 0.783616237563606, 0.7885148477253741, 0.7798093719146351, 0.7760594668489404]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma10.0'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__reg': [None, 0.1, 1.0]}","[0.88633668, 0.88796274, 0.87656636, 0.89435754, 0.88724624]"
