dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params,cv_score
AmazonReview,books$\rightarrow$dvd,CORAL,circular_validation,Mapping,0.716,0.009617692030835697,"[0.7125, 0.7325, 0.7125, 0.7075, 0.715]",0.5244514938461773,0.024575750705909498,"[0.493603430482901, 0.55777450726207, 0.5340168372249081, 0.5281746455387962, 0.5086880487222112]",0.6562204861702189,0.018867971196972845,"[0.6522279051861629, 0.6879079488230392, 0.6569189877933366, 0.6424627388110057, 0.6415848502375502]",0.8338098288317142,0.01990716243990854,"[0.8419859091045169, 0.8649553509647457, 0.8246377381361901, 0.8209333509568376, 0.8165367949962804]","{'coraladapter__assume_centered': [False, True], 'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001']}","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,JDOT,circular_validation,Other,0.694,0.008403868156985756,"[0.7075, 0.695, 0.69, 0.685, 0.6925]",0.5132425383946682,0.033789208957351,"[0.5646334395827296, 0.5269583695547184, 0.4911523229981648, 0.5044721336810586, 0.4789964261566696]",0.5950927881222297,0.008574401994478892,"[0.6090376304860254, 0.596571309864447, 0.5928158270000486, 0.5868110323438193, 0.5902281409168082]",0.8431052558147678,0.03213227063708657,"[0.8583343246554521, 0.8918114477087467, 0.8280772361374474, 0.8258597248134988, 0.8114435457586945]","{'jdotclassifier__alpha': [0.1, 0.3, 0.5, 0.7, 0.9], 'jdotclassifier__base_estimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'jdotclassifier__n_iter_max': [100], 'jdotclassifier__thr_weights': [1e-07], 'jdotclassifier__tol': [1e-06]}","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,KLIEP,circular_validation,Reweighting,0.6775,0.03779054114457744,"[0.6375, 0.6375, 0.6975, 0.695, 0.72]",0.41181071339606623,0.14806575655271045,"[0.25, 0.25, 0.5363721169048381, 0.5108562481253844, 0.5118252019501085]",0.5922193258639518,0.08752546936758185,"[0.4963740458015266, 0.4963740458015266, 0.6544674014059901, 0.6539661425469809, 0.6599149937637346]",0.746843733177885,0.10210718478411689,"[0.6462105342237722, 0.6245043361163783, 0.8250338094503782, 0.8219610610931204, 0.8165089250057757]","{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}","[0.25, 0.25, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,KMM,circular_validation,Reweighting,0.6244999999999999,0.012673791855636567,"[0.6275, 0.6275, 0.61, 0.615, 0.6425]",0.3127025982806916,0.045262066903724404,"[0.3707125318366911, 0.246078431372549, 0.3075401485458067, 0.3079905646469114, 0.3311913150014997]",0.5385603610719432,0.02990956624819354,"[0.5719311501804064, 0.4915898617511521, 0.5335466057911811, 0.5423842592592593, 0.5533499283777171]",0.76443670365908,0.05605145599606295,"[0.7015444911580281, 0.8555348479379653, 0.7606448564503437, 0.7526531733887345, 0.7518061493603289]","{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}","[-Infinity, 0.25, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,MMD-LS,circular_validation,Mapping,0.501,0.019968725547715855,"[0.5275, 0.485, 0.5075, 0.5075, 0.4775]",0.4129400580558903,0.03061306656788092,"[0.4408320496982822, 0.3618849354623882, 0.4105611391562069, 0.4297231415252126, 0.4216990244373612]",0.5087261119525106,0.017057761146033835,"[0.530943215810891, 0.4908907727088935, 0.5158126414827391, 0.5138591182651191, 0.4921248114949104]",0.6730314709469188,0.012396013854099283,"[0.6833375358612895, 0.6817878593260254, 0.6771427328745574, 0.6699986274001434, 0.6528905992725785]","{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'mmdlsconsmappingadapter__gamma': [0.01, 0.1, 1, 10, 100], 'mmdlsconsmappingadapter__max_iter': [20], 'mmdlsconsmappingadapter__reg_k': [1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,Train Src,circular_validation,NO DA,0.714,0.018422133426940563,"[0.7175, 0.74, 0.6975, 0.695, 0.72]",0.5346797012816016,0.02824277079149784,"[0.5338699182032159, 0.5804750212244607, 0.5363721169048381, 0.5108562481253844, 0.5118252019501085]",0.6686879784195512,0.021874505986047958,"[0.6687463697454052, 0.7063449846356452, 0.6544674014059901, 0.6539661425469809, 0.6599149937637346]",0.8342131732305749,0.0210202226179007,"[0.840951612748346, 0.8679177603689188, 0.825006114565205, 0.8211817406938576, 0.8160086377765466]",{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001']},"[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001']},"[NaN, NaN, NaN, NaN, NaN]"
AmazonReview,books$\rightarrow$dvd,Train Tgt,circular_validation,NO DA,0.7115,0.01193733638631333,"[0.7125, 0.705, 0.725, 0.695, 0.72]",0.5099542466714453,0.02068322459295423,"[0.5258158072666453, 0.4787389365909703, 0.5313334045051777, 0.5047080175082737, 0.5091750674861596]",0.6617439803712912,0.01743274222124774,"[0.65799203400976, 0.6600155804446747, 0.6802890784105204, 0.6355994525592541, 0.674823756432247]",0.8161474917855831,0.01485189470913761,"[0.8368027404549236, 0.8261899282802454, 0.8096108877105994, 0.8008873942801561, 0.8072465082019903]",{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001']},"[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,OTLabelProp,circular_validation,Other,0.693,0.01109617051058603,"[0.705, 0.7, 0.6825, 0.68, 0.6975]",0.49407128368588815,0.032172151812930434,"[0.5341640104317589, 0.5136385588718246, 0.4620061817830581, 0.4610257896261953, 0.4995218777166039]",0.592378381052423,0.011135956507234772,"[0.6050833333333333, 0.6000411928890743, 0.5831113093812107, 0.5788151605675877, 0.5948409090909091]",0.8188284459175886,0.02248057417973006,"[0.8312196368767308, 0.847891291221066, 0.8118022518545631, 0.8154222891011619, 0.7878067605344214]","{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__reg': [None, 0.1, 1.0]}","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,JPCA,circular_validation,Subspace,0.675,0.004677071733467446,"[0.675, 0.6725, 0.675, 0.67, 0.6825]",0.4236240703177822,0.013009214055792443,"[0.4251521298174442, 0.4241717376605814, 0.4175118323191346, 0.4079107505070993, 0.4433739012846518]",0.5624756618761324,0.003940314269228626,"[0.5645012559760149, 0.5611889318966419, 0.5620656814449918, 0.5570138888888888, 0.567608551174125]",0.763674776302939,0.02128093047772622,"[0.7794775873648511, 0.7864779539563355, 0.7351599191804166, 0.7680575113691374, 0.7492009096439544]","{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
