dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params,cv_score
mnist_usps,MNIST$\rightarrow$USPS,CORAL,circular_validation,Mapping,0.7387537437603993,0.013762623016741133,"[0.755, 0.7387687188019967, 0.7483333333333333, 0.7316666666666667, 0.72]",0.7422822947725038,0.011032273237904665,"[0.75458607270872, 0.7361812986117343, 0.7520418934793487, 0.7404488904448531, 0.7281533186178631]",0.7359042497825052,0.014071316591303217,"[0.7518426092011377, 0.7368291131193634, 0.7457140790787516, 0.7290931557577587, 0.7160422917555146]",0.9611367737632903,0.005783478512725727,"[0.958934146567452, 0.9628864399552072, 0.9686812659425184, 0.9622716773069716, 0.9529103390443028]","{'coraladapter__assume_centered': [False, True], 'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01']}","[0.60401232, 0.5980388, 0.61857899, 0.58572786, 0.61382619]"
mnist_usps,MNIST$\rightarrow$USPS,JDOT,circular_validation,Other,0.7317581808097615,0.02172850085912037,"[0.7483333333333333, 0.7254575707154742, 0.7483333333333333, 0.6966666666666667, 0.74]",0.7388849564009652,0.02009124641264787,"[0.758580105872007, 0.7248058245324589, 0.7536572561148096, 0.7113349733246566, 0.7460466221608941]",0.732101229790074,0.0228945249671423,"[0.7495807644462447, 0.724873896175324, 0.750292453006289, 0.6954804795451097, 0.7402785557774021]",0.9531655754648869,0.0055396310069519,"[0.9474864136095188, 0.951673803874591, 0.9598692085962404, 0.9487503600096592, 0.958048091234425]","{'jdotclassifier__alpha': [0.1, 0.3, 0.5, 0.7, 0.9], 'jdotclassifier__base_estimator__estimator_name': ['SVC_C10.0_Gamma0.01'], 'jdotclassifier__n_iter_max': [100], 'jdotclassifier__thr_weights': [1e-07], 'jdotclassifier__tol': [1e-06]}","[0.48021048, 0.48564416, 0.49238681, 0.50252001, 0.50937842]"
mnist_usps,MNIST$\rightarrow$USPS,KLIEP,circular_validation,Reweighting,0.6571198003327787,0.019357232980924684,"[0.6616666666666666, 0.6405990016638935, 0.675, 0.675, 0.6333333333333333]",0.6649518378852692,0.024546003423182475,"[0.6650060435956899, 0.6471243374031374, 0.6901668958651042, 0.6879584080467123, 0.6345035045157028]",0.6366393642607989,0.023859628667075573,"[0.6503419988634593, 0.6206253911924545, 0.6536048398525127, 0.6561238488281789, 0.6025007425673892]",0.9653599602009099,0.006865840577251632,"[0.9566114531747562, 0.9694292910393856, 0.9733524432118398, 0.9673154012604186, 0.9600912123181492]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}","[0.43868704, 0.46681151, 0.47209988, 0.46084829, 0.45390816]"
mnist_usps,MNIST$\rightarrow$USPS,KMM,circular_validation,Reweighting,0.6367953410981697,0.015213995725356222,"[0.645, 0.6139767054908486, 0.635, 0.655, 0.635]",0.6422520087172771,0.015798006161079826,"[0.6407207153360656, 0.6219750844608283, 0.6481159622928935, 0.6647725727628477, 0.6356757087337506]",0.6179197489720984,0.01701234483795209,"[0.6346605029333234, 0.5986669126801031, 0.6113966638716791, 0.6369870267494735, 0.6078876386259128]",0.9591267586785953,0.005252020561348148,"[0.952940712758252, 0.9608615250614418, 0.9660486628211388, 0.9608992322267892, 0.9548836605253544]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}","[0.38577497, 0.40618895, 0.39861804, 0.40271439, 0.40030857]"
mnist_usps,MNIST$\rightarrow$USPS,MMD-LS,circular_validation,Mapping,0.6571198003327787,0.019357232980924684,"[0.6616666666666666, 0.6405990016638935, 0.675, 0.675, 0.6333333333333333]",0.6649518378852692,0.024546003423182475,"[0.6650060435956899, 0.6471243374031374, 0.6901668958651042, 0.6879584080467123, 0.6345035045157028]",0.6366393642607989,0.023859628667075573,"[0.6503419988634593, 0.6206253911924545, 0.6536048398525127, 0.6561238488281789, 0.6025007425673892]",0.9656851716836579,0.007003872885424858,"[0.957362912320774, 0.9699697759157564, 0.9739761296369208, 0.967483684665111, 0.9596333558797274]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01'], 'mmdlsconsmappingadapter__gamma': [0.01, 0.1, 1, 10, 100], 'mmdlsconsmappingadapter__max_iter': [20], 'mmdlsconsmappingadapter__reg_k': [1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}","[0.4366335, 0.46546061, 0.47209988, 0.45998798, 0.45278863]"
mnist_usps,MNIST$\rightarrow$USPS,Train Src,circular_validation,NO DA,0.6571198003327787,0.019357232980924684,"[0.6616666666666666, 0.6405990016638935, 0.675, 0.675, 0.6333333333333333]",0.6649518378852692,0.024546003423182475,"[0.6650060435956899, 0.6471243374031374, 0.6901668958651042, 0.6879584080467123, 0.6345035045157028]",0.6366393642607989,0.023859628667075573,"[0.6503419988634593, 0.6206253911924545, 0.6536048398525127, 0.6561238488281789, 0.6025007425673892]",0.9654988616481927,0.006677514689209551,"[0.9566081129967664, 0.9697422725837752, 0.9729038445386352, 0.9674866981381638, 0.9607533799836228]",{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01']},"[0.4366335, 0.46546061, 0.47209988, 0.45998798, 0.45278863]"
mnist_usps,MNIST$\rightarrow$USPS,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01']},"[NaN, NaN, NaN, NaN, NaN]"
mnist_usps,MNIST$\rightarrow$USPS,Train Tgt,circular_validation,NO DA,0.9580133111480865,0.00184411903278575,"[0.9566666666666668, 0.9600665557404326, 0.96, 0.9566666666666668, 0.9566666666666668]",0.952841067907003,0.0017755595058123992,"[0.9504551996176284, 0.9527495970895544, 0.9553170306730124, 0.9534659833053536, 0.952217528849466]",0.9578676664423913,0.001858529471914036,"[0.9565912654368434, 0.9598035612300244, 0.9599894093922492, 0.9566644073720468, 0.9562896887807922]",0.9983052596324787,0.0007033515446882739,"[0.9974970217181602, 0.998934524124379, 0.9978389006481468, 0.9981259927751348, 0.9991298588965726]",{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01']},"[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
mnist_usps,MNIST$\rightarrow$USPS,OTLabelProp,circular_validation,Other,0.709769273433167,0.025930286938146075,"[0.6933333333333334, 0.6921797004991681, 0.73, 0.6883333333333334, 0.745]",0.7117555255475669,0.02625011158370867,"[0.6970942053656608, 0.6868242400013447, 0.7295503690003234, 0.6965247066243064, 0.7487841067461994]",0.7079169071419051,0.02654942545381056,"[0.6907123880391811, 0.6894008830008457, 0.7309952699309901, 0.6862368710721545, 0.7422391236663543]",0.9466934632009458,0.009907170082072632,"[0.9358339923471612, 0.9388963512925124, 0.9578464748509063, 0.9449070380252084, 0.955983459488941]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__reg': [None, 0.1, 1.0]}","[0.5045137, 0.50323341, 0.51226518, 0.50161198, 0.51172532]"
mnist_usps,MNIST$\rightarrow$USPS,JPCA,circular_validation,Subspace,0.6571198003327787,0.019357232980924684,"[0.6616666666666666, 0.6405990016638935, 0.675, 0.675, 0.6333333333333333]",0.6649518378852692,0.024546003423182475,"[0.6650060435956899, 0.6471243374031374, 0.6901668958651042, 0.6879584080467123, 0.6345035045157028]",0.6366393642607989,0.023859628667075573,"[0.6503419988634593, 0.6206253911924545, 0.6536048398525127, 0.6561238488281789, 0.6025007425673892]",0.9656742003970393,0.006596777255030398,"[0.9578147976342346, 0.9701170876122832, 0.9736527784515782, 0.9664342632791724, 0.9603520750079282]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}","[0.4366335, 0.46546061, 0.47209988, 0.45998798, 0.45278863]"
