dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params,cv_score
Mushrooms,enl$\rightarrow$tap,CORAL,circular_validation,Mapping,0.6622559652928416,0.02005188051780766,"[0.6529284164859002, 0.6550976138828634, 0.6377440347071583, 0.6789587852494577, 0.6865509761388287]",0.6592363631147894,0.018920531597784132,"[0.6503965920337353, 0.6553737144824223, 0.6346906869002711, 0.673240675664692, 0.682480146492826]",0.6628660556903955,0.019638327981762536,"[0.6537816060741157, 0.6563667903718998, 0.6385711936112458, 0.6787743856641117, 0.6868363027306043]",0.6592363631147894,0.018920531597784146,"[0.6503965920337353, 0.6553737144824223, 0.6346906869002711, 0.6732406756646921, 0.6824801464928261]","{'coraladapter__assume_centered': [False, True], 'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['LR']}","[0.92026773, 0.93399843, 0.9398763, 0.91213041, 0.93033682]"
Mushrooms,enl$\rightarrow$tap,DASVM,circular_validation,Other,0.706941431670282,0.021036741703138323,"[0.7310195227765727, 0.7017353579175705, 0.6767895878524945, 0.7223427331887202, 0.702819956616052]",0.7354212385911062,0.019897613817265607,"[0.7577513542458536, 0.7300759716385299, 0.7073633681875338, 0.7511534397605626, 0.730762059123051]",0.6964413050130192,0.023272831106928776,"[0.7232582865167158, 0.6912340905638841, 0.6625217829322179, 0.7124433668710333, 0.6927489981812449]",0.7354212385911062,0.01989761381726567,"[0.7577513542458537, 0.7300759716385299, 0.7073633681875338, 0.7511534397605626, 0.730762059123051]","{'dasvmclassifier__base_estimator__estimator_name': ['SVC'], 'dasvmclassifier__max_iter': [200]}","[0.85770931, 0.90091445, 0.79429994, 0.81378277, 0.83020727]"
Mushrooms,enl$\rightarrow$tap,KLIEP,circular_validation,Reweighting,0.6620390455531453,0.017848158291300837,"[0.6865509761388287, 0.6605206073752712, 0.6540130151843818, 0.6388286334056399, 0.6702819956616052]",0.6700249095177307,0.015532579487999432,"[0.691353863365797, 0.6698962979962421, 0.6624521292617507, 0.6497965643033702, 0.6766256926614935]",0.6626328587749386,0.018381425579064897,"[0.6877318723161423, 0.660905216200296, 0.6546297884161717, 0.6385715822164995, 0.6713258347255837]",0.6700249095177306,0.015532579487999378,"[0.691353863365797, 0.6698962979962421, 0.6624521292617508, 0.6497965643033702, 0.6766256926614933]","{'finalestimator__estimator_name': ['LR'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}","[0.84730365, 0.85705776, 0.87410333, 0.8563135, 0.85968807]"
Mushrooms,enl$\rightarrow$tap,KMM,circular_validation,Reweighting,0.7010845986984815,0.01679552827249402,"[0.710412147505423, 0.6735357917570499, 0.6973969631236443, 0.7158351409978309, 0.7082429501084598]",0.714301696811486,0.01636488990032254,"[0.7247498290757661, 0.6872803683357478, 0.7109707062159047, 0.7276256591938113, 0.7208819212362005]",0.7004133612571432,0.017101099679105287,"[0.7094315659533749, 0.6724303421421941, 0.6965918448699743, 0.7157562508854596, 0.7078568024347128]",0.7143016968114861,0.016364889900322567,"[0.7247498290757661, 0.6872803683357478, 0.7109707062159047, 0.7276256591938114, 0.7208819212362005]","{'finalestimator__estimator_name': ['LR'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}","[0.90841292, 0.90827195, 0.92550295, 0.90322343, 0.91437716]"
Mushrooms,enl$\rightarrow$tap,MMD-LS,circular_validation,Mapping,0.6733188720173536,0.011965045874639152,"[0.6887201735357917, 0.6822125813449024, 0.6594360086767896, 0.665943600867679, 0.6702819956616052]",0.6799887166100106,0.010733436454141723,"[0.6935579492916804, 0.6883322097754319, 0.6672690849457584, 0.674158646375689, 0.6766256926614935]",0.6742670566738139,0.012143759149605679,"[0.6898928974212208, 0.6832739205448016, 0.6602055687289273, 0.6666370619485364, 0.6713258347255837]",0.6799887166100106,0.010733436454141734,"[0.6935579492916804, 0.688332209775432, 0.6672690849457584, 0.6741586463756891, 0.6766256926614933]","{'finalestimator__estimator_name': ['LR'], 'mmdlsconsmappingadapter__gamma': [0.01, 0.1, 1, 10, 100], 'mmdlsconsmappingadapter__max_iter': [20], 'mmdlsconsmappingadapter__reg_k': [1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}","[0.84807585, 0.85552733, 0.87640596, 0.8516079, 0.85732829]"
Mushrooms,enl$\rightarrow$tap,Train Src,circular_validation,NO DA,0.6733188720173536,0.011965045874639152,"[0.6887201735357917, 0.6822125813449024, 0.6594360086767896, 0.665943600867679, 0.6702819956616052]",0.6799887166100106,0.010733436454141723,"[0.6935579492916804, 0.6883322097754319, 0.6672690849457584, 0.674158646375689, 0.6766256926614935]",0.6742670566738139,0.012143759149605679,"[0.6898928974212208, 0.6832739205448016, 0.6602055687289273, 0.6666370619485364, 0.6713258347255837]",0.6799887166100106,0.010733436454141734,"[0.6935579492916804, 0.688332209775432, 0.6672690849457584, 0.6741586463756891, 0.6766256926614933]",{'finalestimator__estimator_name': ['LR']},"[0.84807585, 0.85552733, 0.87640596, 0.8516079, 0.85732829]"
Mushrooms,enl$\rightarrow$tap,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['LR']},"[NaN, NaN, NaN, NaN, NaN]"
Mushrooms,enl$\rightarrow$tap,Train Tgt,circular_validation,NO DA,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",{'finalestimator__estimator_name': ['LR']},"[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
Mushrooms,enl$\rightarrow$tap,OTLabelProp,circular_validation,Other,0.6770065075921909,0.014700214000503144,"[0.6973969631236443, 0.6594360086767896, 0.6670281995661606, 0.6778741865509761, 0.6832971800433839]",0.6806575921437007,0.0136708254867324,"[0.6998785601246911, 0.6647733520752354, 0.6709624827282854, 0.6814283050531419, 0.6862452607371496]",0.6782466881208354,0.014693459747472996,"[0.6985911170390461, 0.6606254784994258, 0.6683177693945331, 0.6791436422661883, 0.6845554334049841]",0.6806575921437007,0.013670825486732343,"[0.6998785601246911, 0.6647733520752355, 0.6709624827282854, 0.6814283050531418, 0.6862452607371496]","{'finalestimator__estimator_name': ['LR'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__reg': [None, 0.1, 1.0]}","[0.88097948, 0.88471347, 0.89262218, 0.88765876, 0.89144864]"
Mushrooms,enl$\rightarrow$tap,JPCA,circular_validation,Subspace,0.6592190889370932,0.05520490177704133,"[0.7516268980477223, 0.6409978308026031, 0.6507592190889371, 0.6496746203904555, 0.6030368763557483]",0.6694612181280091,0.05610402970001154,"[0.7644090324493085, 0.6511687392724126, 0.6590073485467853, 0.6580439574099839, 0.6146770129615552]",0.6592798388611059,0.055294478370845654,"[0.7514501271098449, 0.6410463969419773, 0.6514167465526799, 0.6502991274558727, 0.6021867962451544]",0.6694612181280091,0.05610402970001153,"[0.7644090324493085, 0.6511687392724126, 0.6590073485467854, 0.6580439574099839, 0.6146770129615552]","{'finalestimator__estimator_name': ['LR'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}","[0.85296815, 0.85538508, 0.86921357, 0.86442288, 0.874177]"
Mushrooms,enl$\rightarrow$tap,MMDTarS,circular_validation,Reweighting,0.6698481561822126,0.010363452655610606,"[0.6876355748373102, 0.6691973969631236, 0.6616052060737527, 0.6637744034707158, 0.6670281995661606]",0.6766840220504214,0.008395384304052322,"[0.6909307362411967, 0.6767715161338133, 0.6694731708716419, 0.6722318641020859, 0.6740128229033693]",0.6707305214202345,0.010573620148722368,"[0.6888747825201273, 0.6700302880271464, 0.6623698644695072, 0.6644074268053751, 0.6679702452790162]",0.6766840220504216,0.008395384304052303,"[0.6909307362411968, 0.6767715161338135, 0.6694731708716419, 0.6722318641020859, 0.6740128229033693]","{'finalestimator__estimator_name': ['LR'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}","[0.8487909, 0.85531269, 0.87613417, 0.85220865, 0.86127566]"
