dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params,cv_score
Office31,amz$\rightarrow$dsl,CORAL,circular_validation,Mapping,0.5292929292929294,0.03951031760728879,"[0.5252525252525253, 0.5555555555555556, 0.5353535353535354, 0.5656565656565656, 0.4646464646464646]",0.5663440860215053,0.04228657824848582,"[0.5510752688172043, 0.5650537634408602, 0.5817204301075268, 0.6247311827956988, 0.5091397849462365]",0.5137714810442083,0.0360515816411047,"[0.5231412246563761, 0.5359970556940254, 0.5177992041628405, 0.5404929526141647, 0.4514269680936347]",0.9481080645161292,0.007776363191301402,"[0.9560197132616488, 0.9503488649940264, 0.9541848864994026, 0.9416741338112308, 0.938312724014337]","{'coraladapter__assume_centered': [False, True], 'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['LR_C0.01']}","[0.40579625, 0.39842386, 0.39914867, 0.41386388, 0.39264016]"
Office31,amz$\rightarrow$dsl,JDOT,circular_validation,Other,0.6404040404040404,0.03885936174075019,"[0.6464646464646465, 0.6666666666666666, 0.5959595959595959, 0.6868686868686869, 0.6060606060606061]",0.6895698924731183,0.0394595820998345,"[0.7096774193548386, 0.7129032258064515, 0.6505376344086021, 0.7306451612903225, 0.6440860215053764]",0.6193217668975245,0.04024896328632901,"[0.6237534070867404, 0.631910737971344, 0.5821256184892548, 0.6779621612954948, 0.5808569096447883]",0.9677060931899641,0.004910935385379643,"[0.9642927120669056, 0.974481780167264, 0.9631801075268815, 0.9712667264038232, 0.965309139784946]","{'jdotclassifier__alpha': [0.1, 0.3, 0.5, 0.7, 0.9], 'jdotclassifier__base_estimator__estimator_name': ['SVC'], 'jdotclassifier__n_iter_max': [100], 'jdotclassifier__thr_weights': [1e-07], 'jdotclassifier__tol': [1e-06]}","[0.37272153, 0.38378659, 0.37482867, 0.38747425, 0.36577836]"
Office31,amz$\rightarrow$dsl,KLIEP,circular_validation,Reweighting,0.5494949494949495,0.04078106916805324,"[0.5959595959595959, 0.5656565656565656, 0.5454545454545454, 0.5555555555555556, 0.4848484848484848]",0.566774193548387,0.03580701668965466,"[0.6048387096774194, 0.5715053763440858, 0.5774193548387097, 0.5725806451612904, 0.50752688172043]",0.5237814934784631,0.03299854182940587,"[0.5594966201026808, 0.5393137726471059, 0.5262086959056655, 0.5233299809057385, 0.4705583978311251]",0.9490953405017922,0.00851373119025257,"[0.9547195340501792, 0.9530247909199524, 0.9566347072879332, 0.9450173237753884, 0.9360803464755076]","{'finalestimator__estimator_name': ['LR_C0.01'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}","[0.36531329, 0.37257256, 0.36602615, 0.37507619, 0.36227933]"
Office31,amz$\rightarrow$dsl,KMM,circular_validation,Reweighting,0.5555555555555556,0.06018371357481306,"[0.5656565656565656, 0.5959595959595959, 0.6060606060606061, 0.5555555555555556, 0.4545454545454545]",0.5866666666666667,0.05718342856330491,"[0.5801075268817205, 0.6107526881720429, 0.6473118279569892, 0.6010752688172043, 0.4940860215053763]",0.5363474572565481,0.06406820657924786,"[0.5498316498316498, 0.5776553412917049, 0.5931559461862492, 0.5309268733511159, 0.430167475622021]",0.9622286140979689,0.008429764277291198,"[0.9670092592592592, 0.9716729390681004, 0.9651505376344086, 0.9565403225806453, 0.9507700119474312]","{'finalestimator__estimator_name': ['LR_C0.01'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}","[0.3574707, 0.3586579, 0.37902313, 0.35149157, 0.34383208]"
Office31,amz$\rightarrow$dsl,MMD-LS,circular_validation,Mapping,0.5434343434343434,0.04189180071379337,"[0.5858585858585859, 0.5656565656565656, 0.5454545454545454, 0.5454545454545454, 0.4747474747474747]",0.5576344086021504,0.036859142278714056,"[0.5994623655913978, 0.5715053763440858, 0.5516129032258064, 0.5661290322580644, 0.4994623655913978]",0.517504044776772,0.035079081838032426,"[0.5463801069861676, 0.5447490780824114, 0.5210379407349104, 0.5155530776742898, 0.4598000204060809]",0.9503476702508961,0.0085224674294589,"[0.9570731780167264, 0.9556421744324972, 0.9554650537634408, 0.946481780167264, 0.937076164874552]","{'finalestimator__estimator_name': ['LR_C0.01'], 'mmdlsconsmappingadapter__gamma': [0.01, 0.1, 1, 10, 100], 'mmdlsconsmappingadapter__max_iter': [20], 'mmdlsconsmappingadapter__reg_k': [1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}","[0.37427242, 0.38093125, 0.37242618, 0.37805219, 0.36904155]"
Office31,amz$\rightarrow$dsl,Train Src,circular_validation,NO DA,0.5454545454545455,0.03779451905832264,"[0.5757575757575758, 0.5757575757575758, 0.5353535353535354, 0.5555555555555556, 0.4848484848484848]",0.5649462365591397,0.03809890008909196,"[0.5913978494623655, 0.5822580645161289, 0.5451612903225805, 0.5983870967741934, 0.50752688172043]",0.520763871369932,0.030831187847946764,"[0.5420751526812133, 0.5492784992784993, 0.514664684361654, 0.5266654221199676, 0.4711355984083256]",0.9508928912783752,0.00788007788501371,"[0.9568942652329748, 0.9559886499402628, 0.9556860812425328, 0.9472589605734768, 0.9386364994026284]",{'finalestimator__estimator_name': ['LR_C0.01']},"[0.36976975, 0.38396225, 0.37668117, 0.37973022, 0.37230442]"
Office31,amz$\rightarrow$dsl,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['LR_C0.01']},"[NaN, NaN, NaN, NaN, NaN]"
Office31,amz$\rightarrow$dsl,Train Tgt,circular_validation,NO DA,0.9333333333333333,0.026340211738192475,"[0.9090909090909092, 0.9494949494949496, 0.9292929292929292, 0.9090909090909092, 0.9696969696969696]",0.9349462365591398,0.027892294873457398,"[0.9021505376344086, 0.9521505376344088, 0.9467741935483872, 0.9086021505376344, 0.96505376344086]",0.9296269162935829,0.029624317426866432,"[0.9058238058238058, 0.9499358666025332, 0.9273078773078772, 0.897113997113997, 0.9679530346197014]",0.9989376344086022,0.000843127785917592,"[0.9982287933094384, 0.9997568697729988, 0.998997909199522, 0.9979435483870968, 0.9997610513739548]",{'finalestimator__estimator_name': ['LR_C0.01']},"[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
Office31,amz$\rightarrow$dsl,OTLabelProp,circular_validation,Other,0.5878787878787879,0.03063788058202642,"[0.5555555555555556, 0.5757575757575758, 0.5959595959595959, 0.6363636363636364, 0.5757575757575758]",0.6196774193548387,0.04269981694315379,"[0.5967741935483871, 0.5709677419354837, 0.6376344086021505, 0.6827956989247311, 0.6102150537634408]",0.5599495902526206,0.03045857321641645,"[0.5271524771524772, 0.5359416677598495, 0.5756154619790984, 0.6025104525104525, 0.5585278918612252]",0.9626868578255674,0.005940462526926966,"[0.968938769414576, 0.9657323775388292, 0.9532120669056152, 0.9640017921146954, 0.9615492831541218]","{'finalestimator__estimator_name': ['LR_C0.01'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__reg': [None, 0.1, 1.0]}","[0.395206, 0.38060673, 0.39245252, 0.39748797, 0.39498496]"
Office31,amz$\rightarrow$dsl,JPCA,circular_validation,Subspace,0.5313131313131313,0.0339550228565083,"[0.5555555555555556, 0.5454545454545454, 0.494949494949495, 0.5656565656565656, 0.494949494949495]",0.5591397849462365,0.04006548864968024,"[0.5618279569892473, 0.5849462365591398, 0.529032258064516, 0.6091397849462364, 0.510752688172043]",0.5113750552609734,0.027605227092027985,"[0.5279381112714447, 0.5141470729706025, 0.4948175842115236, 0.5452578285911619, 0.4747146792601338]",0.9521420549581838,0.003662511200014589,"[0.954239247311828, 0.9575513739545995, 0.9491227598566307, 0.949260752688172, 0.9505361409796894]","{'finalestimator__estimator_name': ['LR_C0.01'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}","[0.36769086, 0.38456987, 0.38639522, 0.38171954, 0.38573416]"
