dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params,cv_score
OfficeHomeResnet,art$\rightarrow$clipart,CORAL,circular_validation,Mapping,0.38835616438356163,0.02034719284590815,"[0.3732876712328767, 0.3938356164383562, 0.4200913242009132, 0.3858447488584475, 0.3687214611872146]",0.3980600555804175,0.013953044369645817,"[0.3824006862920889, 0.4056005846842951, 0.4181736375740901, 0.3917616307774678, 0.3923637385741457]",0.3833697439757772,0.019768113284775797,"[0.3686942994390985, 0.3936595373509209, 0.4123026658036826, 0.3782886908361764, 0.3639035264490078]",0.9116447380061989,0.006327103615308829,"[0.906695504322002, 0.9135171391272012, 0.9189162546834984, 0.9036120982135696, 0.9154826936847236]","{'coraladapter__assume_centered': [False, True], 'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001']}","[0.45044636, 0.46106041, 0.45655199, 0.45128387, 0.45471536]"
OfficeHomeResnet,art$\rightarrow$clipart,KLIEP,circular_validation,Reweighting,0.3415525114155251,0.019563559119876898,"[0.319634703196347, 0.3424657534246575, 0.3710045662100457, 0.3458904109589041, 0.3287671232876712]",0.35112594971644745,0.01689527057719748,"[0.3270014613340405, 0.3522750452162217, 0.3747078851264371, 0.3518709357510262, 0.3497744211545117]",0.3420125557189084,0.018416580048617674,"[0.325001008035323, 0.3473132642951834, 0.3703107761757899, 0.3408192708671291, 0.3266184592211166]",0.9031827791382163,0.007633474726289763,"[0.8981843253537559, 0.9040573478073872, 0.9124820898328736, 0.8932649694652851, 0.9079251632317796]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}","[0.39478197, 0.40320275, 0.38659622, 0.37298528, 0.37513684]"
OfficeHomeResnet,art$\rightarrow$clipart,KMM,circular_validation,Reweighting,0.30890410958904113,0.02856847773292529,"[0.3139269406392694, 0.3219178082191781, 0.3436073059360731, 0.2979452054794521, 0.2671232876712329]",0.31160402618999905,0.02628474842645604,"[0.3192704015441572, 0.3271307300040332, 0.3406130031356276, 0.2968971212297004, 0.2741088750364768]",0.3050780783979247,0.03584196875940678,"[0.3218247988123282, 0.3243841700638544, 0.343559562507447, 0.2784623106036837, 0.2571595500023102]",0.8689281221492087,0.05583930003363225,"[0.8906171878969146, 0.8972109820881172, 0.9024021878168058, 0.785482130794997, NaN]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}","[0.20820148, 0.20489272, 0.18252314, 0.19384915, 0.21630298]"
OfficeHomeResnet,art$\rightarrow$clipart,MMD-LS,circular_validation,Mapping,0.3424657534246575,0.01788634659359863,"[0.3184931506849315, 0.3401826484018265, 0.3687214611872146, 0.3447488584474886, 0.3401826484018265]",0.3503126390954445,0.01678178541084084,"[0.3241829977463462, 0.3479933226652684, 0.3698360902546422, 0.3518276457077362, 0.3577231391032296]",0.34362675228543316,0.01744489627816947,"[0.324818031341178, 0.3472657366255912, 0.3713830703896538, 0.337909318464337, 0.3367576046064059]",0.9031437970311658,0.007759621045134177,"[0.8981950410371982, 0.9024751660886124, 0.9126690233258772, 0.893523584843921, 0.9088561698602196]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'mmdlsconsmappingadapter__gamma': [0.01, 0.1, 1, 10, 100], 'mmdlsconsmappingadapter__max_iter': [20], 'mmdlsconsmappingadapter__reg_k': [1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}","[0.38775302, 0.39862222, 0.38071961, 0.37614716, 0.39221081]"
OfficeHomeResnet,art$\rightarrow$clipart,Train Src,circular_validation,NO DA,0.3399543378995434,0.018396358683230443,"[0.3162100456621005, 0.3367579908675799, 0.3675799086757991, 0.3424657534246575, 0.3367579908675799]",0.3481262485629001,0.018726700968417255,"[0.3194257037582829, 0.3468049597461362, 0.371630962049514, 0.3500464781573378, 0.3527231391032295]",0.34071490722566666,0.017507487598212464,"[0.3223763962898029, 0.3415237171198263, 0.3694529445792085, 0.3346606619411532, 0.3355608161983422]",0.9028424116472828,0.007787932236110269,"[0.89844155593523, 0.902768258234362, 0.9125794132867088, 0.8926423652253146, 0.907780465554799]",{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001']},"[0.391504, 0.40587181, 0.37830943, 0.37300035, 0.3828009]"
OfficeHomeResnet,art$\rightarrow$clipart,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001']},"[NaN, NaN, NaN, NaN, NaN]"
OfficeHomeResnet,art$\rightarrow$clipart,Train Tgt,circular_validation,NO DA,0.7139269406392694,0.018854632714212397,"[0.6952054794520548, 0.7317351598173516, 0.7340182648401826, 0.6952054794520548, 0.7134703196347032]",0.7071685300621953,0.016512683244520484,"[0.6893177687069091, 0.7214054610547824, 0.7223750558139699, 0.6897338571433593, 0.7130105075919556]",0.7130849085425398,0.02004479075763245,"[0.6934981273775952, 0.7334486001144785, 0.7316538413026851, 0.6916451580009624, 0.715178815916978]",0.9797051150645876,0.004142011431476534,"[0.9731026075402844, 0.9830499950227805, 0.9825687050262464, 0.9782339122140714, 0.9815703555195556]",{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001']},"[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
OfficeHomeResnet,art$\rightarrow$clipart,OTLabelProp,circular_validation,Other,0.34726027397260273,0.0240729580239135,"[0.3481735159817352, 0.3550228310502283, 0.3664383561643836, 0.3607305936073059, 0.3059360730593607]",0.35386345956707943,0.01801518815660638,"[0.3487152628668466, 0.3637862602455362, 0.3703293903180781, 0.3616349713634781, 0.3248514130414583]",0.33197901504134847,0.022414077013780637,"[0.3298832357855636, 0.3387265674339516, 0.3510366060743206, 0.3457698285540331, 0.2944788373588735]",0.8869843122087037,0.0148158845531591,"[0.8626021639153926, 0.8954201322202111, 0.8987839641332855, 0.8833760890807932, 0.8947392116938363]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__reg': [None, 0.1, 1.0]}","[0.30441922, 0.31465504, 0.30071658, 0.31128186, 0.30790367]"
OfficeHomeResnet,art$\rightarrow$clipart,JPCA,circular_validation,Subspace,0.3447488584474886,0.01887880754399683,"[0.3219178082191781, 0.3424657534246575, 0.3732876712328767, 0.3493150684931507, 0.3367579908675799]",0.3533457691127374,0.0170497828029863,"[0.3276292159323833, 0.3521888983314323, 0.3754501406085117, 0.35598104133172, 0.3554795493596398]",0.34444785733487837,0.0180883872316687,"[0.3251621921079808, 0.3481203030988592, 0.3727837871836745, 0.3425292867000991, 0.3336437175837783]",0.9032957927224838,0.007857690720816178,"[0.8977108269125996, 0.9033916135869856, 0.913228394763532, 0.8937513785220367, 0.9083967498272654]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}","[0.3921124, 0.4037083, 0.38437363, 0.37039541, 0.37414944]"
OfficeHomeResnet,art$\rightarrow$clipart,MMDTarS,circular_validation,Reweighting,0.3424657534246575,0.01652296213028552,"[0.319634703196347, 0.3401826484018265, 0.365296803652968, 0.3481735159817352, 0.339041095890411]",0.3504670726458056,0.01628037098244405,"[0.3245984646324013, 0.3478815540919613, 0.3686822441007961, 0.3553400156906944, 0.3558330847131752]",0.34262186580471093,0.01508782759662067,"[0.3249703312177368, 0.3440237932304197, 0.3662434926041656, 0.3413724009917321, 0.3364993109795005]",0.9030369354731207,0.007413400628310206,"[0.8983434364760836, 0.9026623392686104, 0.912631898810982, 0.8938686049055581, 0.9076783979043695]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}","[0.39320678, 0.40651858, 0.3808231, 0.37009656, 0.38281316]"
