dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params
20NewsGroups,rec$\rightarrow$sci,CORAL,circular_validation,Mapping,0.5028930817610063,0.0022501312981129907,"[0.5018867924528302, 0.5069182389937107, 0.5018867924528302, 0.5018867924528302, 0.5018867924528302]",0.5016708437761069,0.003736120263157537,"[0.5, 0.5083542188805347, 0.5, 0.5, 0.5]",0.3530623762823738,0.039422996297143284,"[0.3354318763629468, 0.4235843759600817, 0.3354318763629468, 0.3354318763629468, 0.3354318763629468]",0.5016708437761069,0.003736120263157537,"[0.5, 0.5083542188805347, 0.5, 0.5, 0.5]","{'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['XGB']}"
20NewsGroups,rec$\rightarrow$sci,KLIEP,circular_validation,Reweighting,0.5718238993710691,0.02603196241403073,"[0.5622641509433962, 0.5710691823899371, 0.559748427672956, 0.6163522012578616, 0.549685534591195]",0.571612743981165,0.02606925033571084,"[0.5620110883268779, 0.5708969393179919, 0.5595048226627174, 0.6161995898838004, 0.5494512797144375]",0.5703955901781438,0.026536820815769458,"[0.5602738098809131, 0.5701644960967862, 0.5578942684229263, 0.6157112365252877, 0.5479341399648052]",0.571612743981165,0.02606925033571085,"[0.5620110883268779, 0.570896939317992, 0.5595048226627173, 0.6161995898838004, 0.5494512797144375]","{'finalestimator__estimator_name': ['XGB'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}"
20NewsGroups,rec$\rightarrow$sci,KMM,circular_validation,Reweighting,0.5625157232704402,0.02362302998320905,"[0.6012578616352201, 0.5660377358490566, 0.5547169811320755, 0.5509433962264151, 0.539622641509434]",0.5624306979570137,0.023599731195872886,"[0.6010480747322853, 0.5661407306144148, 0.5545872256398572, 0.5509607351712615, 0.53941672362725]",0.5618180604236546,0.023484398700678408,"[0.6000057570460088, 0.5657216897116976, 0.5541850547901112, 0.5509362911364929, 0.5382415094339623]",0.5624306979570137,0.023599731195872886,"[0.6010480747322853, 0.5661407306144148, 0.5545872256398572, 0.5509607351712615, 0.53941672362725]","{'finalestimator__estimator_name': ['XGB'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}"
20NewsGroups,rec$\rightarrow$sci,MMD-LS,circular_validation,Mapping,0.5715723270440252,0.025787697453992287,"[0.5685534591194968, 0.5811320754716981, 0.5874213836477987, 0.5924528301886792, 0.5283018867924528]",0.5713469279258753,0.025815680854806754,"[0.5682577656261867, 0.5809694691273639, 0.5872351332877648, 0.5922286777549935, 0.5280435938330675]",0.5699370754992454,0.026282619554308276,"[0.5658710423246085, 0.5803431231731044, 0.5864016270001956, 0.5909938462224475, 0.5260757387758712]",0.5713469279258753,0.025815680854806743,"[0.5682577656261867, 0.5809694691273638, 0.5872351332877648, 0.5922286777549935, 0.5280435938330675]","{'finalestimator__estimator_name': ['XGB'], 'mmdlsconsmappingadapter__gamma': [0.1, 1, 10], 'mmdlsconsmappingadapter__max_iter': [100], 'mmdlsconsmappingadapter__reg_k': [1e-10, 1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-10, 1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}"
20NewsGroups,rec$\rightarrow$sci,Train Src,circular_validation,NO DA,0.5715723270440252,0.025787697453992287,"[0.5685534591194968, 0.5811320754716981, 0.5874213836477987, 0.5924528301886792, 0.5283018867924528]",0.5713469279258753,0.025815680854806754,"[0.5682577656261867, 0.5809694691273639, 0.5872351332877648, 0.5922286777549935, 0.5280435938330675]",0.5699370754992454,0.026282619554308276,"[0.5658710423246085, 0.5803431231731044, 0.5864016270001956, 0.5909938462224475, 0.5260757387758712]",0.5713469279258753,0.025815680854806743,"[0.5682577656261867, 0.5809694691273638, 0.5872351332877648, 0.5922286777549935, 0.5280435938330675]",{'finalestimator__estimator_name': ['XGB']}
20NewsGroups,rec$\rightarrow$sci,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['XGB']}
20NewsGroups,rec$\rightarrow$sci,Train Tgt,circular_validation,NO DA,0.7922012578616353,0.012993168813702376,"[0.8062893081761007, 0.8025157232704403, 0.7911949685534592, 0.7874213836477988, 0.7735849056603774]",0.7921489329384066,0.012981505907256755,"[0.8061726285410495, 0.8024417103364472, 0.7912204754310017, 0.7874231032125769, 0.7734867471709577]",0.7921105686778153,0.01298195925634097,"[0.80609047192765, 0.8024313150540262, 0.7911890217252678, 0.7874220563425869, 0.7734199783395452]",0.7921489329384066,0.012981505907256842,"[0.8061726285410498, 0.8024417103364472, 0.7912204754310017, 0.7874231032125768, 0.7734867471709576]",{'finalestimator__estimator_name': ['XGB']}
20NewsGroups,rec$\rightarrow$sci,OTLabelProp,circular_validation,Other,0.529559748427673,0.027457710632632786,"[0.5006289308176101, 0.5283018867924528, 0.5547169811320755, 0.5044025157232704, 0.559748427672956]",0.5298967114756589,0.027521340864860928,"[0.5009778233462444, 0.528280929596719, 0.5551758183337131, 0.5047941824257614, 0.5602548036758563]",0.5246797074383427,0.02623508670792747,"[0.496327036439953, 0.5282884521186884, 0.548062751748993, 0.499011245749269, 0.5517090511348101]",0.5298967114756589,0.027521340864860917,"[0.5009778233462444, 0.5282809295967191, 0.555175818333713, 0.5047941824257614, 0.5602548036758562]","{'finalestimator__estimator_name': ['XGB'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__reg': [None, 0.1, 1.0]}"
20NewsGroups,rec$\rightarrow$sci,JPCA,circular_validation,Subspace,0.5318238993710691,0.009217645766320134,"[0.5408805031446541, 0.5320754716981132, 0.5245283018867924, 0.5408805031446541, 0.5207547169811321]",0.5317916002126528,0.009279757704074826,"[0.5408217513480671, 0.5320688083845979, 0.5244455836561099, 0.5409831396673502, 0.520638718007139]",0.5315980929262416,0.009291024352254623,"[0.5407685988121278, 0.5320754716981132, 0.5242994723251482, 0.5405461354920859, 0.5203007863037329]",0.5317916002126528,0.009279757704074843,"[0.5408217513480672, 0.5320688083845979, 0.5244455836561099, 0.5409831396673501, 0.520638718007139]","{'finalestimator__estimator_name': ['XGB'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}"
20NewsGroups,rec$\rightarrow$sci,MMDTarS,circular_validation,Reweighting,0.5630188679245283,0.025292091366371845,"[0.579874213836478, 0.5358490566037736, 0.5748427672955975, 0.5886792452830188, 0.5358490566037736]",0.5627781575149996,0.025289267186353052,"[0.5795834282676388, 0.5356573251310093, 0.574570896939318, 0.5884977595503911, 0.5355813776866408]",0.5611607509852996,0.025331331009456396,"[0.5773456567146638, 0.5346427639007775, 0.5726078887559004, 0.5877136193687846, 0.5334938261863722]",0.5627781575149996,0.025289267186353107,"[0.5795834282676389, 0.5356573251310093, 0.574570896939318, 0.5884977595503912, 0.5355813776866408]","{'finalestimator__estimator_name': ['XGB'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}"
