dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params
AmazonReview,books$\rightarrow$dvd,CORAL,circular_validation,Mapping,0.787,0.0213160737472922,"[0.785, 0.765, 0.8225, 0.78, 0.7825]",0.7869999999999999,0.021316073747292236,"[0.7849999999999999, 0.7649999999999999, 0.8225, 0.78, 0.7825]",0.786451442313964,0.0214095438477578,"[0.7836151368760065, 0.7644110275689223, 0.8221788104764229, 0.7795535960319647, 0.7824986406165039]",0.787,0.02131607374729225,"[0.785, 0.7649999999999999, 0.8225, 0.7799999999999999, 0.7825000000000001]","{'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['LR_C200.0']}"
AmazonReview,books$\rightarrow$dvd,KLIEP,circular_validation,Reweighting,0.7925,0.02325134404717284,"[0.7725, 0.77, 0.8275, 0.7975, 0.795]",0.7925,0.02325134404717284,"[0.7725, 0.77, 0.8275, 0.7975, 0.795]",0.7922197936593209,0.023493931140310235,"[0.7712978845054317, 0.76997699769977, 0.8274471556914303, 0.7973974324501779, 0.7949794979497949]",0.7925,0.02325134404717284,"[0.7725, 0.77, 0.8275, 0.7975, 0.795]","{'finalestimator__estimator_name': ['LR_C200.0'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}"
AmazonReview,books$\rightarrow$dvd,KMM,circular_validation,Reweighting,0.7205,0.01939716474127085,"[0.7325, 0.69, 0.725, 0.715, 0.74]",0.7205,0.01939716474127085,"[0.7325, 0.69, 0.725, 0.7150000000000001, 0.74]",0.7194804403787434,0.019108929049794672,"[0.731895088292961, 0.6893709762268594, 0.7246627118219819, 0.7135966234549292, 0.7378768020969855]",0.7205,0.01939716474127085,"[0.7325, 0.69, 0.725, 0.7150000000000001, 0.74]","{'finalestimator__estimator_name': ['LR_C200.0'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}"
AmazonReview,books$\rightarrow$dvd,MMD-LS,circular_validation,Mapping,0.5155,0.012918010682763808,"[0.52, 0.53, 0.5225, 0.4975, 0.5075]",0.5155000000000001,0.012918010682763789,"[0.52, 0.53, 0.5225, 0.4975, 0.5075000000000001]",0.5045350490439648,0.015916720231405564,"[0.5117485505035093, 0.5242433444680635, 0.5087164252046479, 0.4829947720740011, 0.4949721529696022]",0.5155000000000001,0.012918010682763789,"[0.52, 0.53, 0.5225, 0.4975, 0.5075000000000001]","{'finalestimator__estimator_name': ['LR_C200.0'], 'mmdlsconsmappingadapter__gamma': [0.1, 1, 10], 'mmdlsconsmappingadapter__max_iter': [100], 'mmdlsconsmappingadapter__reg_k': [1e-10, 1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-10, 1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}"
AmazonReview,books$\rightarrow$dvd,Train Src,circular_validation,NO DA,0.794,0.02226263686089319,"[0.77, 0.78, 0.8275, 0.79, 0.8025]",0.7939999999999999,0.022262636860893133,"[0.77, 0.78, 0.8274999999999999, 0.79, 0.8025]",0.793657063057823,0.022614961942169675,"[0.7686989314896292, 0.7799944998624966, 0.8274989218682616, 0.7897424344822407, 0.8023505275864872]",0.7939999999999999,0.02226263686089321,"[0.7699999999999999, 0.78, 0.8274999999999999, 0.7899999999999999, 0.8025]",{'finalestimator__estimator_name': ['LR_C200.0']}
AmazonReview,books$\rightarrow$dvd,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['LR_C200.0']}
AmazonReview,books$\rightarrow$dvd,Train Tgt,circular_validation,NO DA,0.8085000000000001,0.006754628043053132,"[0.8075, 0.81, 0.815, 0.8125, 0.7975]",0.8085000000000001,0.006754628043053129,"[0.8075000000000001, 0.81, 0.815, 0.8125, 0.7975]",0.8084464457306595,0.006763397754811942,"[0.8074987968674805, 0.80998099809981, 0.8148843026891808, 0.812470698546648, 0.7973974324501779]",0.8084999999999999,0.006754628043053115,"[0.8075000000000001, 0.8099999999999999, 0.815, 0.8124999999999999, 0.7975]",{'finalestimator__estimator_name': ['LR_C200.0']}
AmazonReview,books$\rightarrow$dvd,OTLabelProp,circular_validation,Other,0.7220000000000001,0.027973201461398776,"[0.6825, 0.7025, 0.745, 0.7375, 0.7425]",0.722,0.02797320146139877,"[0.6825, 0.7024999999999999, 0.745, 0.7375, 0.7424999999999999]",0.719947850401055,0.0274216333614651,"[0.6805814925898679, 0.7024535083606813, 0.745, 0.7328091302937192, 0.7388951207610066]",0.722,0.027973201461398756,"[0.6825, 0.7025, 0.745, 0.7375, 0.7424999999999999]","{'finalestimator__estimator_name': ['LR_C200.0'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__reg': [None, 0.1, 1.0]}"
AmazonReview,books$\rightarrow$dvd,JPCA,circular_validation,Subspace,0.745,0.01030776406404411,"[0.7375, 0.7375, 0.7625, 0.745, 0.7425]",0.745,0.01030776406404411,"[0.7375, 0.7375, 0.7625, 0.745, 0.7425]",0.7423139431493132,0.01148706548220962,"[0.7328091302937192, 0.7338251231058806, 0.7614129376973838, 0.7418767081688429, 0.7416458164807395]",0.745,0.010307764064044055,"[0.7375, 0.7375, 0.7624999999999998, 0.745, 0.7425]","{'finalestimator__estimator_name': ['LR_C200.0'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}"
AmazonReview,books$\rightarrow$dvd,MMDTarS,circular_validation,Reweighting,0.7905,0.01753567791675017,"[0.79, 0.775, 0.82, 0.7875, 0.78]",0.7905,0.017535677916750234,"[0.79, 0.7749999999999999, 0.8200000000000001, 0.7875, 0.78]",0.7898104006154638,0.01731778861036389,"[0.7898686679174485, 0.7740453415681253, 0.8186900355065347, 0.787115477330929, 0.7793324807542816]",0.7905,0.01753567791675019,"[0.7899999999999999, 0.7749999999999999, 0.82, 0.7875000000000001, 0.7799999999999999]","{'finalestimator__estimator_name': ['LR_C200.0'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}"
AmazonReview,books$\rightarrow$dvd,ClassRegOT,circular_validation,Mapping,0.751,0.009117291264405226,"[0.745, 0.7425, 0.765, 0.7475, 0.755]",0.751,0.009117291264405279,"[0.745, 0.7424999999999999, 0.765, 0.7475, 0.755]",0.7502423538792347,0.009544478341135884,"[0.7437443473017789, 0.7417883040129357, 0.764905962384954, 0.746165783901633, 0.7546073717948718]",0.751,0.009117291264405213,"[0.745, 0.7425, 0.765, 0.7475, 0.7549999999999999]","{'classregularizerotmappingadapter__max_inner_iter': [1000], 'classregularizerotmappingadapter__max_iter': [10], 'classregularizerotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'classregularizerotmappingadapter__norm': ['lpl1'], 'classregularizerotmappingadapter__reg_cl': [0.1], 'classregularizerotmappingadapter__reg_e': [0.1], 'classregularizerotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['LR_C200.0']}"
AmazonReview,books$\rightarrow$dvd,ClassRegOT,circular_validation,Mapping,0.61,0.02778263846361609,"[0.57, 0.6175, 0.6475, 0.605, 0.61]",0.61,0.02778263846361604,"[0.5700000000000001, 0.6174999999999999, 0.6475, 0.605, 0.61]",0.6095327471417005,0.027775369309594865,"[0.5699569956995699, 0.6164428205240695, 0.6474977968612303, 0.6040100250626567, 0.6097560975609756]",0.61,0.02778263846361604,"[0.5700000000000001, 0.6174999999999999, 0.6475, 0.6050000000000001, 0.61]","{'classregularizerotmappingadapter__max_inner_iter': [1000], 'classregularizerotmappingadapter__max_iter': [10], 'classregularizerotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'classregularizerotmappingadapter__norm': ['lpl1'], 'classregularizerotmappingadapter__reg_cl': [0.5], 'classregularizerotmappingadapter__reg_e': [0.5], 'classregularizerotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['LR_C200.0']}"
AmazonReview,books$\rightarrow$dvd,ClassRegOT,circular_validation,Mapping,0.5955,0.02010907755219026,"[0.5625, 0.61, 0.6075, 0.59, 0.6075]",0.5955,0.020109077552190213,"[0.5625, 0.6100000000000001, 0.6075, 0.5900000000000001, 0.6074999999999999]",0.5947360695295102,0.019990267851065873,"[0.5620374020058687, 0.6088166704280448, 0.6064151818449602, 0.5889724310776943, 0.607438662290983]",0.5955,0.02010907755219017,"[0.5625, 0.6099999999999999, 0.6075, 0.5900000000000001, 0.6074999999999999]","{'classregularizerotmappingadapter__max_inner_iter': [1000], 'classregularizerotmappingadapter__max_iter': [10], 'classregularizerotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'classregularizerotmappingadapter__norm': ['lpl1'], 'classregularizerotmappingadapter__reg_cl': [1.0], 'classregularizerotmappingadapter__reg_e': [1.0], 'classregularizerotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['LR_C200.0']}"
AmazonReview,books$\rightarrow$dvd,Dens. RW,circular_validation,Reweighting,0.7955,0.023008150729687107,"[0.7725, 0.7825, 0.8325, 0.79, 0.8]",0.7955,0.023008150729687107,"[0.7725, 0.7825, 0.8325, 0.79, 0.8]",0.7951755849776795,0.023321182484868013,"[0.7712978845054317, 0.7824877649367776, 0.8324738240350055, 0.7896634615384616, 0.7999549898727213]",0.7954999999999999,0.023008150729687055,"[0.7725, 0.7825, 0.8324999999999999, 0.7899999999999999, 0.7999999999999999]","{'densityreweightadapter__weight_estimator__bandwidth': [0.01, 0.1, 1.0, 10.0, 100.0, 'scott', 'silverman'], 'finalestimator__estimator_name': ['LR_C200.0']}"
AmazonReview,books$\rightarrow$dvd,Disc. RW,circular_validation,Reweighting,0.7615000000000001,0.011263880326068836,"[0.7525, 0.7625, 0.78, 0.7525, 0.76]",0.7615000000000001,0.011263880326068836,"[0.7525, 0.7625, 0.78, 0.7525, 0.76]",0.7599549071163849,0.012420876886788237,"[0.7493274252255104, 0.7620702393698617, 0.7798624140087556, 0.7498720936842704, 0.7586423632935261]",0.7615000000000001,0.011263880326068752,"[0.7525000000000001, 0.7625, 0.7799999999999999, 0.7525, 0.76]","{'discriminatorreweightadapter__domain_classifier__estimator_name': ['LR', 'SVC', 'KNN', 'XGB'], 'finalestimator__estimator_name': ['LR_C200.0']}"
AmazonReview,books$\rightarrow$dvd,EntOT,circular_validation,Mapping,0.74,0.00918558653543693,"[0.73, 0.745, 0.7475, 0.7475, 0.73]",0.74,0.00918558653543693,"[0.73, 0.745, 0.7475, 0.7475, 0.73]",0.7394194724273306,0.009385332242911817,"[0.7286704853783539, 0.7444825772188682, 0.7470430965932215, 0.7471444218432172, 0.7297567811029927]",0.74,0.009185586535436885,"[0.7300000000000002, 0.745, 0.7475, 0.7474999999999999, 0.73]","{'entropicotmappingadapter__max_iter': [1000], 'entropicotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'entropicotmappingadapter__norm': ['median'], 'entropicotmappingadapter__reg_e': [0.1, 0.5, 1.0], 'entropicotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['LR_C200.0']}"
AmazonReview,books$\rightarrow$dvd,LinOT,circular_validation,Mapping,0.7895,0.024710827586303098,"[0.755, 0.7775, 0.82, 0.8025, 0.7925]",0.7895,0.024710827586303084,"[0.755, 0.7775000000000001, 0.82, 0.8025, 0.7925]",0.7893544233364808,0.024914059097221743,"[0.7543859649122807, 0.7774874836709565, 0.82, 0.8023999649822723, 0.7924987031168945]",0.7895,0.024710827586303084,"[0.755, 0.7775000000000001, 0.82, 0.8025, 0.7925]","{'finalestimator__estimator_name': ['LR_C200.0'], 'linearotmappingadapter__bias': [True, False], 'linearotmappingadapter__reg': [1e-08, 1e-06, 0.1, 1, 10]}"
