dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params
AmazonReview,books$\rightarrow$dvd,CORAL,circular_validation,Mapping,0.7064999999999999,0.009617692030835736,"[0.715, 0.7175, 0.695, 0.705, 0.7]",0.4973652691566645,0.01710843395752924,"[0.5164142608041401, 0.5044174838719517, 0.4703879373891118, 0.4939280249304804, 0.5016786387876384]",0.642889763359043,0.021329704580656177,"[0.6502295019505308, 0.6728314824660743, 0.6366655360973607, 0.6405602029951979, 0.6141620932860513]",0.8133535585639782,0.025892986979504175,"[0.8289741199968593, 0.8492519500238086, 0.7947528444731392, 0.7854642409494551, 0.8083246373766285]","{'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['SVC']}"
AmazonReview,books$\rightarrow$dvd,JDOT,circular_validation,Other,0.6885,0.02595669470483477,"[0.715, 0.71, 0.695, 0.6625, 0.66]",0.5599159663865547,0.03637847434369749,"[0.5915025901467665, 0.5966213708713977, 0.5475839700671558, 0.5567425155180039, 0.5071293853294494]",0.6761367170563647,0.02225342482468242,"[0.6997207138879513, 0.6956678183610319, 0.6779661317227758, 0.6575270677687297, 0.6498018535413348]",0.8164503765611911,0.025319453855824084,"[0.8240484691557608, 0.8566770204754618, 0.8067244062375908, 0.8032333425404846, 0.7915686443966576]","{'jdotclassifier__alpha': [0.1, 0.3, 0.5, 0.7, 0.9], 'jdotclassifier__base_estimator__estimator_name': ['SVC'], 'jdotclassifier__n_iter_max': [100], 'jdotclassifier__thr_weights': [1e-07], 'jdotclassifier__tol': [1e-06]}"
AmazonReview,books$\rightarrow$dvd,KLIEP,circular_validation,Reweighting,0.7105,0.006471089552772418,"[0.7175, 0.715, 0.705, 0.7025, 0.7125]",0.5190804089330833,0.014857778291433697,"[0.5299885108308297, 0.5395308758712196, 0.512072778294621, 0.5065770409797312, 0.5072328386890146]",0.6590118530495671,0.016478356371545193,"[0.6618776403335227, 0.681712059642137, 0.6636961105904404, 0.6374387945476697, 0.6503346601340658]",0.8141744885088539,0.022024729858919227,"[0.8251685219358968, 0.8475408602642508, 0.8002394367708768, 0.7940052689759106, 0.8039183545973341]","{'finalestimator__estimator_name': ['SVC'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}"
AmazonReview,books$\rightarrow$dvd,KMM,circular_validation,Reweighting,0.6755,0.02496247183273322,"[0.7125, 0.685, 0.6475, 0.66, 0.6725]",0.47680809528893225,0.024391753558590742,"[0.5024383982268044, 0.4836670784466237, 0.4709773927719908, 0.4381160812782463, 0.4888415257209961]",0.6387263387063115,0.025888852587035088,"[0.6669008235816095, 0.6658235681030092, 0.6205272264515962, 0.6119902597402597, 0.6283898156550829]",0.8009580216034792,0.01820173201341734,"[0.8234755075653976, 0.8146131386613932, 0.790023481060099, 0.7784985452136087, 0.7981794355168969]","{'finalestimator__estimator_name': ['SVC'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}"
AmazonReview,books$\rightarrow$dvd,MMD-LS,circular_validation,Mapping,0.49399999999999994,0.013761358944522897,"[0.4975, 0.505, 0.4975, 0.5, 0.47]",0.3684949696757106,0.03318655038170451,"[0.3488012627918681, 0.3473186007615387, 0.3443774242909505, 0.4219143192667267, 0.3800632412674689]",0.5018245193318995,0.009658693317047922,"[0.5065198265698128, 0.5082949209841847, 0.4999075918163014, 0.5086632178707465, 0.4857370394184525]",0.6273644625424277,0.022852734678125163,"[0.6058184112523816, 0.6435923875498979, 0.6047996823250373, 0.656529491409389, 0.626082340175433]","{'finalestimator__estimator_name': ['SVC'], 'mmdlsconsmappingadapter__gamma': [0.1, 1, 10], 'mmdlsconsmappingadapter__max_iter': [100], 'mmdlsconsmappingadapter__reg_k': [1e-10, 1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-10, 1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}"
AmazonReview,books$\rightarrow$dvd,Train Src,circular_validation,NO DA,0.713,0.007582875444051529,"[0.7175, 0.72, 0.7075, 0.7025, 0.7175]",0.5249678964144642,0.016528505763177746,"[0.5266861372498183, 0.5507831444737605, 0.5157399075782763, 0.5065770409797312, 0.5250532517907345]",0.6604586211102715,0.018218076219436035,"[0.6564731615154927, 0.6883677188379684, 0.6611181845652154, 0.6374387945476697, 0.6588952460850112]",0.8149431263531829,0.022956496735677297,"[0.8258494839758851, 0.8499789139289514, 0.7998745059629013, 0.7941259673863496, 0.8048867605118272]",{'finalestimator__estimator_name': ['SVC']}
AmazonReview,books$\rightarrow$dvd,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['SVC']}
AmazonReview,books$\rightarrow$dvd,Train Tgt,circular_validation,NO DA,0.7075,0.011592023119369667,"[0.7075, 0.7225, 0.71, 0.69, 0.7075]",0.5070161712597925,0.008418438422531137,"[0.5015497669122095, 0.5124222828877467, 0.4976132013603989, 0.5049957551078508, 0.5184998500307565]",0.665638507644306,0.01584008433575537,"[0.6633928354109078, 0.6858214183315209, 0.6670720049279586, 0.6417832325158228, 0.6701230470353198]",0.8062291157237246,0.019964491541850767,"[0.8283143682962196, 0.8227162847393444, 0.7888164404701183, 0.7832462212551888, 0.8080522638577512]",{'finalestimator__estimator_name': ['SVC']}
AmazonReview,books$\rightarrow$dvd,OTLabelProp,circular_validation,Other,0.708,0.013509256086106309,"[0.7, 0.715, 0.71, 0.69, 0.725]",0.5084631456938492,0.023939867453477204,"[0.4891030822492336, 0.5310975206779627, 0.489302363413605, 0.495052031701973, 0.5377607304264719]",0.6321000410317201,0.02209161797403272,"[0.6092177752503464, 0.6445100022036924, 0.6398477672824687, 0.6088573084716702, 0.6580673519504231]",0.8014979764037091,0.016867725852359346,"[0.8063238217246971, 0.8273083203840116, 0.7910459380364365, 0.7996421920250253, 0.7831696098483757]","{'finalestimator__estimator_name': ['SVC'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__reg': [None, 0.1, 1.0]}"
AmazonReview,books$\rightarrow$dvd,JPCA,circular_validation,Subspace,0.6900000000000001,0.017139136501002603,"[0.6775, 0.71, 0.7075, 0.6775, 0.6775]",0.482930958227211,0.04892366630508858,"[0.4534772529701535, 0.5429252644796576, 0.5277181289938844, 0.4567613252197431, 0.4337728194726166]",0.6092883985744714,0.0477058554230409,"[0.5803998965197974, 0.664930985162075, 0.6573524799263967, 0.5775236350800874, 0.5662349961840005]",0.7694261730503857,0.037640759796766454,"[0.7655871310008173, 0.8123161238683818, 0.801733395919368, 0.7443129233948066, 0.7231812910685549]","{'finalestimator__estimator_name': ['SVC'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}"
AmazonReview,books$\rightarrow$dvd,MMDTarS,circular_validation,Reweighting,0.6785,0.05014354395134033,"[0.7275, 0.6675, 0.5975, 0.695, 0.705]",0.5567002191076067,0.03662322249288661,"[0.5739218736496414, 0.6086039134347023, 0.5293037360134616, 0.5552425688968872, 0.5164290035433411]",0.6664383900622045,0.031107733003344618,"[0.6957944572999318, 0.6757277298589122, 0.6140797413793103, 0.6798995208134302, 0.666690500959438]",0.8195633347511218,0.023329595470641513,"[0.8361149436584475, 0.8494393014314013, 0.8163446931505008, 0.7921845576302714, 0.8037331778849874]","{'finalestimator__estimator_name': ['SVC'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}"
