dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params,cv_score
AmazonReview,books$\rightarrow$dvd,JDOT,circular_validation,Other,0.694,0.008403868156985756,"[0.7075, 0.695, 0.69, 0.685, 0.6925]",0.5132425383946682,0.033789208957351,"[0.5646334395827296, 0.5269583695547184, 0.4911523229981648, 0.5044721336810586, 0.4789964261566696]",0.5949240812242442,0.008638462089368382,"[0.6090376304860254, 0.596571309864447, 0.5919722925101215, 0.5868110323438193, 0.5902281409168082]",0.844213227456742,0.031351314540232676,"[0.8582962872586019, 0.8895766913339243, 0.8400151494354549, 0.8247014651797401, 0.8084765440759889]","{'jdotclassifier__alpha': [0.1, 0.3, 0.5, 0.7, 0.9], 'jdotclassifier__base_estimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'jdotclassifier__n_iter_max': [100], 'jdotclassifier__thr_weights': [1e-07], 'jdotclassifier__tol': [1e-06]}","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,KLIEP,circular_validation,Reweighting,0.6775,0.03779054114457744,"[0.6375, 0.6375, 0.6975, 0.695, 0.72]",0.41181071339606623,0.14806575655271045,"[0.25, 0.25, 0.5363721169048381, 0.5108562481253844, 0.5118252019501085]",0.5922193258639518,0.08752546936758185,"[0.4963740458015266, 0.4963740458015266, 0.6544674014059901, 0.6539661425469809, 0.6599149937637346]",0.7456162289880662,0.10402309815753646,"[0.6487304976437036, 0.6161114359032581, 0.8254842933341919, 0.821281629812643, 0.8164732882465348]","{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}","[0.25, 0.25, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,KMM,circular_validation,Reweighting,0.6244999999999999,0.012673791855636567,"[0.6275, 0.6275, 0.61, 0.615, 0.6425]",0.3127025982806916,0.045262066903724404,"[0.3707125318366911, 0.246078431372549, 0.3075401485458067, 0.3079905646469114, 0.3311913150014997]",0.5385603610719432,0.02990956624819354,"[0.5719311501804064, 0.4915898617511521, 0.5335466057911811, 0.5423842592592593, 0.5533499283777171]",0.7486311891967918,0.06909811978068157,"[0.7105174475517169, 0.8584385970560838, 0.7559196899167007, 0.7438939754163411, 0.6743862360431164]","{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}","[-Infinity, 0.25, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,Train Src,circular_validation,NO DA,0.714,0.018422133426940563,"[0.7175, 0.74, 0.6975, 0.695, 0.72]",0.5346797012816016,0.02824277079149784,"[0.5338699182032159, 0.5804750212244607, 0.5363721169048381, 0.5108562481253844, 0.5118252019501085]",0.6686879784195512,0.021874505986047958,"[0.6687463697454052, 0.7063449846356452, 0.6544674014059901, 0.6539661425469809, 0.6599149937637346]",0.8344856834445817,0.020164432342050023,"[0.8409716933758783, 0.8668990314415744, 0.8253848052631015, 0.8214469800826159, 0.8177259070597387]",{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001']},"[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001']},"[NaN, NaN, NaN, NaN, NaN]"
AmazonReview,books$\rightarrow$dvd,Train Tgt,circular_validation,NO DA,0.7115,0.01193733638631333,"[0.7125, 0.705, 0.725, 0.695, 0.72]",0.5099542466714453,0.02068322459295423,"[0.5258158072666453, 0.4787389365909703, 0.5313334045051777, 0.5047080175082737, 0.5091750674861596]",0.6617439803712912,0.01743274222124774,"[0.65799203400976, 0.6600155804446747, 0.6802890784105204, 0.6355994525592541, 0.674823756432247]",0.8162439364130407,0.015877306734188225,"[0.8391550828841318, 0.8263494492372468, 0.8083464521117986, 0.8023696778570272, 0.8049990199749995]",{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001']},"[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,OTLabelProp,circular_validation,Other,0.693,0.01109617051058603,"[0.705, 0.7, 0.6825, 0.68, 0.6975]",0.49407128368588815,0.032172151812930434,"[0.5341640104317589, 0.5136385588718246, 0.4620061817830581, 0.4610257896261953, 0.4995218777166039]",0.592378381052423,0.011135956507234772,"[0.6050833333333333, 0.6000411928890743, 0.5831113093812107, 0.5788151605675877, 0.5948409090909091]",0.8190767531856462,0.028690828915548392,"[0.8301580692773177, 0.8621881218710512, 0.8098847750433104, 0.806926393061762, 0.7862264066747894]","{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__reg': [None, 0.1, 1.0]}","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,JPCA,circular_validation,Subspace,0.675,0.004677071733467446,"[0.675, 0.6725, 0.675, 0.67, 0.6825]",0.4236240703177822,0.013009214055792443,"[0.4251521298174442, 0.4241717376605814, 0.4175118323191346, 0.4079107505070993, 0.4433739012846518]",0.5624756618761324,0.003940314269228626,"[0.5645012559760149, 0.5611889318966419, 0.5620656814449918, 0.5570138888888888, 0.567608551174125]",0.7624478098559447,0.02997081868499203,"[0.7873269775746555, 0.7954619702287045, 0.7269103398568543, 0.7648950074080852, 0.7376447542114244]","{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,MMDTarS,circular_validation,Reweighting,0.5675000000000001,0.11108836572746944,"[0.7175, 0.545, 0.4125, 0.6125, 0.55]",0.5422557916088395,0.05192163667758894,"[0.5757652244200766, 0.5752011875530612, 0.453843787968908, 0.569318580426726, 0.5371501776754258]",0.5765034931267976,0.11288281411810488,"[0.7128739379742569, 0.5601602691544724, 0.4060657397542083, 0.6315958889395439, 0.5718216298115063]",0.8370671212627014,0.018121343804828615,"[0.8433918241626154, 0.8648042181179791, 0.8333740368500697, 0.8257178443065066, 0.8180476828763367]","{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,ClassRegOT,circular_validation,Mapping,0.6765,0.023756578036409206,"[0.715, 0.6825, 0.6675, 0.6625, 0.655]",0.5901671521603197,0.03611551044349131,"[0.62060831592165, 0.630820713040207, 0.5739655934969269, 0.5835631167167411, 0.5418780216260732]",0.6802527277637624,0.02322178598920966,"[0.7164127456254152, 0.690273468096905, 0.6670078507634688, 0.6677363911290323, 0.6598331832039911]",0.828552510417355,0.02625502977717621,"[0.8529422101569001, 0.8568455621813152, 0.8230863952759969, 0.8153693621025745, 0.7945190223699884]","[{'classregularizerotmappingadapter__max_inner_iter': [1000], 'classregularizerotmappingadapter__max_iter': [10], 'classregularizerotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'classregularizerotmappingadapter__norm': ['lpl1'], 'classregularizerotmappingadapter__reg_cl': [0.1], 'classregularizerotmappingadapter__reg_e': [0.1], 'classregularizerotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001']}, {'classregularizerotmappingadapter__max_inner_iter': [1000], 'classregularizerotmappingadapter__max_iter': [10], 'classregularizerotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'classregularizerotmappingadapter__norm': ['lpl1'], 'classregularizerotmappingadapter__reg_cl': [0.5], 'classregularizerotmappingadapter__reg_e': [0.5], 'classregularizerotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001']}, {'classregularizerotmappingadapter__max_inner_iter': [1000], 'classregularizerotmappingadapter__max_iter': [10], 'classregularizerotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'classregularizerotmappingadapter__norm': ['lpl1'], 'classregularizerotmappingadapter__reg_cl': [1.0], 'classregularizerotmappingadapter__reg_e': [1.0], 'classregularizerotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001']}]","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,Dens. RW,circular_validation,Reweighting,0.6375,0.0,"[0.6375, 0.6375, 0.6375, 0.6375, 0.6375]",0.25,0.0,"[0.25, 0.25, 0.25, 0.25, 0.25]",0.4963740458015266,0.0,"[0.4963740458015266, 0.4963740458015266, 0.4963740458015266, 0.4963740458015266, 0.4963740458015266]",0.5441471969307989,0.1410669259087025,"[0.6494375673237636, 0.5039148920306175, 0.6179448678039475, 0.635666922546393, 0.3137717349492732]","{'densityreweightadapter__weight_estimator__bandwidth': [0.01, 0.1, 1.0, 10.0, 100.0, 'scott', 'silverman'], 'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001']}","[0.25, 0.25, 0.25, 0.25, 0.25]"
AmazonReview,books$\rightarrow$dvd,Disc. RW,circular_validation,Reweighting,0.701,0.010694624818103706,"[0.7075, 0.7075, 0.685, 0.71, 0.695]",0.5118527556213048,0.01741509570790982,"[0.5283337654481031, 0.5250313918670917, 0.5189129009135415, 0.4981739338203521, 0.4888117860574357]",0.6519368022987667,0.021057385795484652,"[0.6683391304347827, 0.663280590324262, 0.6478489715500912, 0.6633387647806859, 0.6168765544040115]",0.8267918342170505,0.01980680896354805,"[0.8358326795126199, 0.854935242094418, 0.8209274086726847, 0.8203675347937119, 0.8018963060118178]","{'discriminatorreweightadapter__domain_classifier__estimator_name': ['LR', 'SVC', 'KNN', 'XGB'], 'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001']}","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,EntOT,circular_validation,Mapping,0.6375,0.0,"[0.6375, 0.6375, 0.6375, 0.6375, 0.6375]",0.25,0.0,"[0.25, 0.25, 0.25, 0.25, 0.25]",0.4963740458015266,0.0,"[0.4963740458015266, 0.4963740458015266, 0.4963740458015266, 0.4963740458015266, 0.4963740458015266]",0.7749018737965038,0.019300978344196026,"[0.7910435599930635, 0.7875640250050413, 0.7714932897942398, 0.7813764804167281, 0.7430320137734464]","{'entropicotmappingadapter__max_iter': [1000], 'entropicotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'entropicotmappingadapter__norm': ['median'], 'entropicotmappingadapter__reg_e': [0.1, 0.5, 1.0], 'entropicotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001']}","[0.25, 0.25, 0.25, 0.25, 0.25]"
AmazonReview,books$\rightarrow$dvd,Gauss. RW,circular_validation,Reweighting,0.6519999999999999,0.022107690969434178,"[0.6725, 0.6775, 0.63, 0.6475, 0.6325]",0.36577915376676984,0.049927851508332774,"[0.3931906337852745, 0.4378865520799971, 0.3180883242589232, 0.3540567951318458, 0.3256734635778086]",0.5796814244959597,0.0331020845045692,"[0.5892956775917638, 0.6252602119047446, 0.5412207106933795, 0.5885477941176471, 0.5540827281722636]",0.7821566503592765,0.023696655832455817,"[0.7947308376869602, 0.8172279244426143, 0.7699734687179974, 0.7580692151835526, 0.7707818057652583]","{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'gaussianreweightadapter__reg': ['auto', 1e-05, 0.01, 0.5]}","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,LinOT,circular_validation,Mapping,0.7150000000000001,0.00866025403784437,"[0.7125, 0.73, 0.7075, 0.7125, 0.7125]",0.5266939153156726,0.025030732116826156,"[0.493603430482901, 0.5600781873547968, 0.5320560529111826, 0.5350889902240388, 0.5126429156054436]",0.6580033049602807,0.016253836897593427,"[0.6522279051861629, 0.686223268666817, 0.6530009808387308, 0.6542765894236483, 0.6442877806860449]",0.8348983174637066,0.01948690793882316,"[0.8434491513887266, 0.8650762131833981, 0.8261097300384158, 0.8221294785306742, 0.8177270141773184]","{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'linearotmappingadapter__bias': [True, False], 'linearotmappingadapter__reg': [1e-08, 1e-06, 0.1, 1, 10]}","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,NN RW,circular_validation,Reweighting,0.6984999999999999,0.0228855849826916,"[0.7125, 0.715, 0.66, 0.695, 0.71]",0.5384170873431042,0.028072540345067416,"[0.5193884813453512, 0.5871463648980464, 0.5218253544612037, 0.5370795142013248, 0.526645721809595]",0.6708195529667418,0.020145936409616167,"[0.6763621998357453, 0.695377977167237, 0.6419921910184649, 0.6613009779254037, 0.6790644188868583]",0.8302865096028329,0.021825836203550664,"[0.8360184210808743, 0.8637470394489717, 0.8291931485237773, 0.8148453791680011, 0.8076285597925397]","{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'nearestneighborreweightadapter__laplace_smoothing': [True, False], 'nearestneighborreweightadapter__n_neighbors': [1]}","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,MapOT,circular_validation,Mapping,0.693,0.01109617051058603,"[0.705, 0.7, 0.6825, 0.68, 0.6975]",0.49407128368588815,0.032172151812930434,"[0.5341640104317589, 0.5136385588718246, 0.4620061817830581, 0.4610257896261953, 0.4995218777166039]",0.5925375967386975,0.01097486298616461,"[0.6050833333333333, 0.6000411928890743, 0.5839073878125833, 0.5788151605675877, 0.5948409090909091]",0.8194640895680717,0.025464535167834826,"[0.8313157527580501, 0.8550080463724106, 0.8165987201494834, 0.806952257813793, 0.787445670746621]","{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'otmappingadapter__max_iter': [1000000], 'otmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otmappingadapter__norm': ['median']}","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,SA,circular_validation,Subspace,0.674,0.002850438562747857,"[0.675, 0.6725, 0.675, 0.67, 0.6775]",0.4186477349560514,0.015409677998414006,"[0.4251521298174442, 0.4165314401622718, 0.4022312373225152, 0.4079107505070993, 0.4414131169709263]",0.5608650959453868,0.003185288828268391,"[0.5636833609271523, 0.5599720853858785, 0.5605756165658446, 0.556147048427006, 0.5639473684210526]",0.747075954479392,0.013037624836391582,"[0.7576916146575589, 0.759958353173897, 0.7406990091862516, 0.7281703865252495, 0.7488604088540033]","{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'subspacealignmentadapter__n_components': [1, 2, 5, 10, 20, 50, 100]}","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
AmazonReview,books$\rightarrow$dvd,TCA,circular_validation,Subspace,0.6375,0.0,"[0.6375, 0.6375, 0.6375, 0.6375, 0.6375]",0.25,0.0,"[0.25, 0.25, 0.25, 0.25, 0.25]",0.4963740458015266,0.0,"[0.4963740458015266, 0.4963740458015266, 0.4963740458015266, 0.4963740458015266, 0.4963740458015266]",0.49801326959499265,0.20663527762253875,"[0.6571666545222646, 0.2313440520390451, 0.5453916061282347, 0.7155617689705444, 0.3406022663148744]","{'finalestimator__estimator_name': ['SVC_C1000.0_Gamma0.001'], 'transfercomponentanalysisadapter__kernel': ['rbf'], 'transfercomponentanalysisadapter__mu': [10, 100], 'transfercomponentanalysisadapter__n_components': [1, 2, 5, 10, 20, 50, 100]}","[0.25, 0.25, 0.25, 0.25, 0.25]"
