dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params
BCI,1,CORAL,circular_validation,Mapping,0.4355111917725347,0.04012649952676937,"[0.396551724137931, 0.4035087719298245, 0.4210526315789473, 0.4827586206896552, 0.4736842105263157]",0.43571428571428567,0.03887775188763791,"[0.4035714285714286, 0.4011904761904762, 0.419047619047619, 0.4833333333333333, 0.4714285714285714]",0.4240802315307163,0.04573017127409693,"[0.3598651801918589, 0.4045701077793504, 0.4202760315493762, 0.4706385568454534, 0.4650512812875426]",0.7099452003023432,0.02509321014548665,"[0.685069916855631, 0.6880668934240363, 0.7109410430839004, 0.7464871504157219, 0.7191609977324264]","{'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['LR_C0.2']}"
BCI,1,KLIEP,circular_validation,Reweighting,0.40756200846944945,0.03863800069012196,"[0.396551724137931, 0.4035087719298245, 0.3508771929824561, 0.4482758620689655, 0.4385964912280701]",0.40809523809523807,0.038367701245529545,"[0.4047619047619047, 0.4011904761904762, 0.35, 0.4499999999999999, 0.4345238095238095]",0.39496460457431315,0.04288158948960784,"[0.3553358678029739, 0.4049109127594815, 0.3463315150621652, 0.4453944410942382, 0.422850286152707]",0.7090325018896448,0.01931344556601364,"[0.6923072562358277, 0.7003968253968255, 0.6976757369614512, 0.7403269085411943, 0.7144557823129252]","{'finalestimator__estimator_name': ['LR_C0.2'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}"
BCI,1,KMM,circular_validation,Reweighting,0.3137931034482758,0.04081557206865413,"[0.3103448275862069, 0.2982456140350877, 0.3333333333333333, 0.2586206896551724, 0.3684210526315789]",0.31666666666666665,0.03559503901839537,"[0.3178571428571428, 0.3035714285714286, 0.3321428571428572, 0.2666666666666666, 0.3630952380952381]",0.2366991929000398,0.06733561699399275,"[0.2509042681456475, 0.1828773722300642, 0.2884990253411306, 0.1522484371849163, 0.3089668615984405]",0.6443204837490552,0.023484716660895244,"[0.6058956916099772, 0.6510770975056689, 0.6401927437641723, 0.6585922146636433, 0.6658446712018141]","{'finalestimator__estimator_name': ['LR_C0.2'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}"
BCI,1,MMD-LS,circular_validation,Mapping,0.3903811252268602,0.05253048123139289,"[0.4310344827586206, 0.4035087719298245, 0.3684210526315789, 0.3103448275862069, 0.4385964912280701]",0.3885714285714285,0.05370090174356999,"[0.4321428571428571, 0.4011904761904762, 0.3678571428571429, 0.3059523809523809, 0.4357142857142856]",0.3843383028291226,0.052583816733015216,"[0.4264954609782196, 0.4039802040247801, 0.3674717095769727, 0.3002147278009347, 0.4235294117647059]",0.6659667422524566,0.07588064521012136,"[0.685275888133031, 0.6903911564625851, 0.6976757369614512, 0.5328231292517006, 0.7236678004535148]","{'finalestimator__estimator_name': ['LR_C0.2'], 'mmdlsconsmappingadapter__gamma': [0.1, 1, 10], 'mmdlsconsmappingadapter__max_iter': [100], 'mmdlsconsmappingadapter__reg_k': [1e-10, 1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-10, 1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}"
BCI,1,Train Src,circular_validation,NO DA,0.414519056261343,0.046696538117078135,"[0.3793103448275862, 0.4035087719298245, 0.3684210526315789, 0.4827586206896552, 0.4385964912280701]",0.4147619047619047,0.045741249488420205,"[0.3857142857142857, 0.4011904761904762, 0.3678571428571429, 0.4833333333333333, 0.4357142857142856]",0.4078726914815343,0.05296972123162173,"[0.3554055508131102, 0.4039802040247801, 0.3674717095769727, 0.4889765812281025, 0.4235294117647059]",0.706134164777022,0.025526576777500736,"[0.678184051398337, 0.6903911564625851, 0.6976757369614512, 0.7407520786092214, 0.7236678004535148]",{'finalestimator__estimator_name': ['LR_C0.2']}
BCI,1,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['LR_C0.2']}
BCI,1,Train Tgt,circular_validation,NO DA,0.4563823351482153,0.06883052931605928,"[0.4655172413793103, 0.4035087719298245, 0.3859649122807017, 0.4655172413793103, 0.5614035087719298]",0.45619047619047615,0.06912147117775908,"[0.463095238095238, 0.4035714285714286, 0.3869047619047619, 0.4642857142857143, 0.5630952380952381]",0.45643511022979605,0.06702777400091972,"[0.4661272153809755, 0.4056039745694917, 0.3836094866796621, 0.4716107029788898, 0.555224171539961]",0.7277894935752078,0.016551318481685007,"[0.7144633408919123, 0.745266439909297, 0.7272392290249433, 0.7085827664399093, 0.7433956916099773]",{'finalestimator__estimator_name': ['LR_C0.2']}
BCI,1,OTLabelProp,circular_validation,Other,0.3934664246823956,0.0559410380205155,"[0.3793103448275862, 0.3333333333333333, 0.4035087719298245, 0.4827586206896552, 0.3684210526315789]",0.39190476190476187,0.05471271082320435,"[0.3797619047619047, 0.3297619047619047, 0.4035714285714286, 0.4773809523809523, 0.369047619047619]",0.3848836514108321,0.056472532221079175,"[0.3770498084291188, 0.3222706952684069, 0.3927389988602803, 0.4742925634203525, 0.3580661910760019]",0.6853760393046107,0.024734771929791944,"[0.6839606953892668, 0.6474773242630386, 0.6880668934240363, 0.6908219954648526, 0.7165532879818595]","{'finalestimator__estimator_name': ['LR_C0.2'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__reg': [None, 0.1, 1.0]}"
BCI,1,JPCA,circular_validation,Subspace,0.3553539019963702,0.039639006839844504,"[0.3448275862068966, 0.2982456140350877, 0.3508771929824561, 0.3793103448275862, 0.4035087719298245]",0.35261904761904755,0.0397376601305746,"[0.35, 0.2928571428571428, 0.3476190476190476, 0.3714285714285714, 0.4011904761904761]",0.3325297943840243,0.044941332594182044,"[0.3296261359357471, 0.265765381326022, 0.3309041835357625, 0.3450580474173941, 0.391295223705196]",0.6439622071050642,0.05034210860557013,"[0.666904761904762, 0.6021541950113379, 0.6625, 0.582809901738473, 0.7054421768707483]","{'finalestimator__estimator_name': ['LR_C0.2'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}"
BCI,1,MMDTarS,circular_validation,Reweighting,0.4109497882637628,0.06605563948399008,"[0.3620689655172414, 0.3508771929824561, 0.4035087719298245, 0.5172413793103449, 0.4210526315789473]",0.41119047619047616,0.06488695909285207,"[0.3726190476190476, 0.3476190476190476, 0.4, 0.5166666666666666, 0.419047619047619]",0.3719349595463056,0.09869066610747546,"[0.2742557052940495, 0.2785853522695628, 0.3908886435202225, 0.5106025251215814, 0.4053425715261118]",0.6628741496598639,0.06868876688050303,"[0.599671201814059, 0.5799886621315192, 0.6895691609977325, 0.731734693877551, 0.713407029478458]","{'finalestimator__estimator_name': ['LR_C0.2'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}"
BCI,1,ClassRegOT,circular_validation,Mapping,0.37265577737447064,0.039989227833993994,"[0.4137931034482758, 0.3157894736842105, 0.3508771929824561, 0.3793103448275862, 0.4035087719298245]",0.37190476190476185,0.041106782575338376,"[0.4142857142857142, 0.3142857142857143, 0.3488095238095238, 0.3773809523809523, 0.4047619047619047]",0.36762383197110005,0.041633520482776847,"[0.4150413481042284, 0.3140018640534637, 0.3380116959064327, 0.3734620959315063, 0.3976021558598691]",0.6785256991685563,0.02115505835989392,"[0.6808824640967498, 0.6528628117913833, 0.6832766439909297, 0.6662244897959183, 0.7093820861678005]","{'classregularizerotmappingadapter__max_inner_iter': [1000], 'classregularizerotmappingadapter__max_iter': [10], 'classregularizerotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'classregularizerotmappingadapter__norm': ['lpl1'], 'classregularizerotmappingadapter__reg_cl': [0.1], 'classregularizerotmappingadapter__reg_e': [0.1], 'classregularizerotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['LR_C0.2']}"
