dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params,cv_score
BCI,1,CORAL,circular_validation,Mapping,0.5716273442226255,0.0793480363193452,"[0.5172413793103449, 0.631578947368421, 0.6666666666666666, 0.5689655172413793, 0.4736842105263157]",0.57,0.078034783511212,"[0.5095238095238095, 0.6297619047619047, 0.6666666666666666, 0.5619047619047619, 0.4821428571428571]",0.520061666273206,0.10144212054453862,"[0.4725705329153604, 0.5885259124823553, 0.650772229719598, 0.4972765633312376, 0.3911630929174789]",0.9171160241874527,0.034908938571182845,"[0.86880007558579, 0.9285997732426304, 0.9268140589569162, 0.9618764172335602, 0.8994897959183673]","{'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['LR_C2.0']}","[0.51856061, 0.51212121, 0.48143939, 0.52765152, 0.51439394]"
BCI,1,JDOT,circular_validation,Other,0.5716273442226255,0.07438569037691878,"[0.4482758620689655, 0.5614035087719298, 0.5964912280701754, 0.6379310344827587, 0.6140350877192983]",0.5714285714285714,0.07595294073536062,"[0.4452380952380952, 0.5595238095238095, 0.6011904761904762, 0.6369047619047619, 0.6142857142857142]",0.5656975292776437,0.07579961991707679,"[0.4426977687626774, 0.5510560715514276, 0.5845029239766081, 0.6357078156395406, 0.6145230664579648]",0.8587596371882086,0.03959095062912157,"[0.7972278911564626, 0.8463151927437642, 0.8744897959183673, 0.9017573696145126, 0.8740079365079364]","{'jdotclassifier__alpha': [0.1, 0.3, 0.5, 0.7, 0.9], 'jdotclassifier__base_estimator__estimator_name': ['SVC_C10.0_Gamma0.1'], 'jdotclassifier__n_iter_max': [100], 'jdotclassifier__thr_weights': [1e-07], 'jdotclassifier__tol': [1e-06]}","[0.45340909, 0.47462121, 0.44659091, 0.45833333, 0.53787879]"
BCI,1,KLIEP,circular_validation,Reweighting,0.5925589836660616,0.05387547613744015,"[0.5517241379310345, 0.5964912280701754, 0.6842105263157895, 0.5689655172413793, 0.5614035087719298]",0.5911904761904762,0.05522321228073551,"[0.5416666666666666, 0.5976190476190476, 0.6833333333333333, 0.5642857142857143, 0.569047619047619]",0.546916157593041,0.07654092808047042,"[0.4997640885439633, 0.5684831940699313, 0.6710151446993552, 0.4819661597772542, 0.5133522008747007]",0.9212736205593348,0.035460002233152065,"[0.8649848828420256, 0.9361678004535148, 0.9311507936507936, 0.9598922902494332, 0.9141723356009068]","{'finalestimator__estimator_name': ['LR_C2.0'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}","[0.52234848, 0.52007576, 0.44886364, 0.53219697, 0.54431818]"
BCI,1,KMM,circular_validation,Reweighting,0.6065335753176043,0.05636264777053114,"[0.5689655172413793, 0.6491228070175439, 0.6842105263157895, 0.5689655172413793, 0.5614035087719298]",0.6047619047619047,0.057544471612414,"[0.5595238095238095, 0.6476190476190476, 0.6845238095238094, 0.5642857142857143, 0.5678571428571428]",0.5640188806204034,0.08040646751091035,"[0.5147431758297837, 0.6328784925276153, 0.6659895352416129, 0.4819661597772542, 0.5245170397257511]",0.8994716553287982,0.030922924921469756,"[0.8607369614512472, 0.9107426303854876, 0.9097222222222222, 0.9392573696145124, 0.8768990929705217]","{'finalestimator__estimator_name': ['LR_C2.0'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}","[0.45568182, 0.49204545, 0.4219697, 0.49166667, 0.50151515]"
BCI,1,MMD-LS,circular_validation,Mapping,0.5925589836660616,0.05387547613744015,"[0.5517241379310345, 0.5964912280701754, 0.6842105263157895, 0.5689655172413793, 0.5614035087719298]",0.5916666666666666,0.056217709300560005,"[0.5416666666666666, 0.5976190476190476, 0.6857142857142857, 0.5642857142857143, 0.569047619047619]",0.5476115964744132,0.07795312693882125,"[0.4997640885439633, 0.5684831940699313, 0.6744923391062165, 0.4819661597772542, 0.5133522008747007]",0.9215453514739229,0.03555264518167292,"[0.8649829931972789, 0.9358276643990932, 0.9328514739229024, 0.9598922902494332, 0.9141723356009068]","{'finalestimator__estimator_name': ['LR_C2.0'], 'mmdlsconsmappingadapter__gamma': [0.1, 1, 10], 'mmdlsconsmappingadapter__max_iter': [100], 'mmdlsconsmappingadapter__reg_k': [1e-10, 1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-10, 1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}","[0.49734848, 0.51174242, 0.43143939, 0.53219697, 0.53522727]"
BCI,1,Train Src,circular_validation,NO DA,0.5925589836660616,0.05387547613744015,"[0.5517241379310345, 0.5964912280701754, 0.6842105263157895, 0.5689655172413793, 0.5614035087719298]",0.5916666666666666,0.056217709300560005,"[0.5416666666666666, 0.5976190476190476, 0.6857142857142857, 0.5642857142857143, 0.569047619047619]",0.5476115964744132,0.07795312693882125,"[0.4997640885439633, 0.5684831940699313, 0.6744923391062165, 0.4819661597772542, 0.5133522008747007]",0.9215453514739229,0.03555264518167292,"[0.8649829931972789, 0.9358276643990932, 0.9328514739229024, 0.9598922902494332, 0.9141723356009068]",{'finalestimator__estimator_name': ['LR_C2.0']},"[0.49734848, 0.51174242, 0.43143939, 0.53219697, 0.53522727]"
BCI,1,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['LR_C2.0']},"[NaN, NaN, NaN, NaN, NaN]"
BCI,1,Train Tgt,circular_validation,NO DA,0.7353297035692681,0.0468951844556165,"[0.6551724137931034, 0.7543859649122807, 0.7543859649122807, 0.7758620689655172, 0.7368421052631579]",0.7364285714285714,0.04551606329792365,"[0.6583333333333333, 0.7523809523809524, 0.7547619047619047, 0.7761904761904762, 0.7404761904761905]",0.7314911605648964,0.047842272450610596,"[0.6507353545537735, 0.7497141560798548, 0.7541353383458647, 0.7737249819146371, 0.7291459719303522]",0.9350907029478458,0.025638876207552102,"[0.8912433862433863, 0.9420068027210884, 0.9426303854875284, 0.95901171579743, 0.940561224489796]",{'finalestimator__estimator_name': ['LR_C2.0']},"[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
BCI,1,OTLabelProp,circular_validation,Other,0.6343012704174229,0.06353959335762517,"[0.5344827586206896, 0.6491228070175439, 0.6842105263157895, 0.6896551724137931, 0.6140350877192983]",0.6323809523809525,0.06385104370574474,"[0.530952380952381, 0.6452380952380953, 0.6833333333333333, 0.6869047619047619, 0.6154761904761905]",0.623673038236521,0.06764680389950141,"[0.5162604787831647, 0.6326061613729312, 0.6728253270748028, 0.6874171087533156, 0.6092561151983903]",0.8817154195011337,0.03710726058217697,"[0.8184731670445956, 0.901814058956916, 0.8808390022675737, 0.91192932728647, 0.8955215419501134]","{'finalestimator__estimator_name': ['LR_C2.0'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__reg': [None, 0.1, 1.0]}","[0.52992424, 0.57651515, 0.50871212, 0.49280303, 0.55909091]"
BCI,1,JPCA,circular_validation,Subspace,0.5715668481548699,0.06518524990354674,"[0.4655172413793103, 0.5964912280701754, 0.5614035087719298, 0.6379310344827587, 0.5964912280701754]",0.5714285714285714,0.06906301142062417,"[0.4559523809523809, 0.5988095238095238, 0.5642857142857143, 0.6333333333333333, 0.6047619047619047]",0.5372881559915597,0.07343685249239773,"[0.4125395084613617, 0.575245976161308, 0.5472474289171203, 0.6032550951415049, 0.5481527712765035]",0.8844501133786847,0.03218016971713853,"[0.8323129251700679, 0.8960884353741497, 0.8771825396825398, 0.915221088435374, 0.9014455782312925]","{'finalestimator__estimator_name': ['LR_C2.0'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}","[0.54734848, 0.54166667, 0.47310606, 0.54431818, 0.5030303]"
