dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params
mnist_usps,MNIST$\rightarrow$USPS,CORAL,circular_validation,Mapping,0.7210920687742651,0.01572406174665181,"[0.7333333333333333, 0.7237936772046589, 0.7333333333333333, 0.72, 0.695]",0.7396348099890645,0.014508261149967614,"[0.7495174587377859, 0.7451357254535386, 0.7501175693135497, 0.738312207194961, 0.7150910892454875]",0.7126032184915798,0.01970041122878051,"[0.730799397537206, 0.7112099836365509, 0.7267745279911513, 0.7135303319022367, 0.6807018513907545]",0.965716255887133,0.005629439312327191,"[0.9626718159903108, 0.9669891641925112, 0.9737127147722956, 0.966638344473006, 0.9585692400075408]","{'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01']}"
mnist_usps,MNIST$\rightarrow$USPS,JDOT,circular_validation,Other,0.7317581808097615,0.02172850085912037,"[0.7483333333333333, 0.7254575707154742, 0.7483333333333333, 0.6966666666666667, 0.74]",0.7388849564009652,0.02009124641264787,"[0.758580105872007, 0.7248058245324589, 0.7536572561148096, 0.7113349733246566, 0.7460466221608941]",0.732101229790074,0.0228945249671423,"[0.7495807644462447, 0.724873896175324, 0.750292453006289, 0.6954804795451097, 0.7402785557774021]",0.9530905703444571,0.005543593246117751,"[0.9477547047552748, 0.9509875088372862, 0.960052627048204, 0.9487766743361474, 0.9578813367453732]","{'jdotclassifier__alpha': [0.1, 0.3, 0.5, 0.7, 0.9], 'jdotclassifier__base_estimator__estimator_name': ['SVC_C10.0_Gamma0.01'], 'jdotclassifier__n_iter_max': [100], 'jdotclassifier__thr_weights': [1e-07], 'jdotclassifier__tol': [1e-06]}"
mnist_usps,MNIST$\rightarrow$USPS,KLIEP,circular_validation,Reweighting,0.6571198003327787,0.019357232980924684,"[0.6616666666666666, 0.6405990016638935, 0.675, 0.675, 0.6333333333333333]",0.6649518378852692,0.024546003423182475,"[0.6650060435956899, 0.6471243374031374, 0.6901668958651042, 0.6879584080467123, 0.6345035045157028]",0.6366393642607989,0.023859628667075573,"[0.6503419988634593, 0.6206253911924545, 0.6536048398525127, 0.6561238488281789, 0.6025007425673892]",0.9652527787118579,0.006552179092734523,"[0.9576051968895568, 0.9692048623435674, 0.9729186373124544, 0.9672028533725056, 0.9593323436412052]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}"
mnist_usps,MNIST$\rightarrow$USPS,KMM,circular_validation,Reweighting,0.6367953410981697,0.015213995725356222,"[0.645, 0.6139767054908486, 0.635, 0.655, 0.635]",0.6422520087172771,0.015798006161079826,"[0.6407207153360656, 0.6219750844608283, 0.6481159622928935, 0.6647725727628477, 0.6356757087337506]",0.6179197489720984,0.01701234483795209,"[0.6346605029333234, 0.5986669126801031, 0.6113966638716791, 0.6369870267494735, 0.6078876386259128]",0.9597062664138415,0.004697293799635045,"[0.9546378086592762, 0.9602931774851504, 0.966383929786776, 0.9613670026577086, 0.9558494134802964]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}"
mnist_usps,MNIST$\rightarrow$USPS,Train Src,circular_validation,NO DA,0.6571198003327787,0.019357232980924684,"[0.6616666666666666, 0.6405990016638935, 0.675, 0.675, 0.6333333333333333]",0.6649518378852692,0.024546003423182475,"[0.6650060435956899, 0.6471243374031374, 0.6901668958651042, 0.6879584080467123, 0.6345035045157028]",0.6366393642607989,0.023859628667075573,"[0.6503419988634593, 0.6206253911924545, 0.6536048398525127, 0.6561238488281789, 0.6025007425673892]",0.9657723525155507,0.006609286143200735,"[0.957730533554314, 0.9696549738342588, 0.9737062357513157, 0.967414487294891, 0.9603555321429744]",{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01']}
mnist_usps,MNIST$\rightarrow$USPS,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01']}
mnist_usps,MNIST$\rightarrow$USPS,Train Tgt,circular_validation,NO DA,0.9580133111480865,0.00184411903278575,"[0.9566666666666668, 0.9600665557404326, 0.96, 0.9566666666666668, 0.9566666666666668]",0.952841067907003,0.0017755595058123992,"[0.9504551996176284, 0.9527495970895544, 0.9553170306730124, 0.9534659833053536, 0.952217528849466]",0.9578676664423913,0.001858529471914036,"[0.9565912654368434, 0.9598035612300244, 0.9599894093922492, 0.9566644073720468, 0.9562896887807922]",0.9983624601970357,0.0006790105203335235,"[0.9974543166717116, 0.9989570187058292, 0.9981089530640797, 0.998176467112356, 0.999115545431202]",{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01']}
mnist_usps,MNIST$\rightarrow$USPS,JPCA,circular_validation,Subspace,0.6571198003327787,0.019357232980924684,"[0.6616666666666666, 0.6405990016638935, 0.675, 0.675, 0.6333333333333333]",0.6649518378852692,0.024546003423182475,"[0.6650060435956899, 0.6471243374031374, 0.6901668958651042, 0.6879584080467123, 0.6345035045157028]",0.6366393642607989,0.023859628667075573,"[0.6503419988634593, 0.6206253911924545, 0.6536048398525127, 0.6561238488281789, 0.6025007425673892]",0.9655663275215016,0.006503300173407059,"[0.9579388431563786, 0.968914975006191, 0.9740203993798512, 0.9666085718760028, 0.960348848189084]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}"
mnist_usps,MNIST$\rightarrow$USPS,MMDTarS,circular_validation,Reweighting,0.6567864669994454,0.019273530267055757,"[0.66, 0.6405990016638935, 0.675, 0.675, 0.6333333333333333]",0.6645351712186026,0.02456252990481139,"[0.6629227102623566, 0.6471243374031374, 0.6901668958651042, 0.6879584080467123, 0.6345035045157028]",0.636314789598903,0.02363661997205503,"[0.6487191255539794, 0.6206253911924545, 0.6536048398525127, 0.6561238488281789, 0.6025007425673892]",0.9652281879281596,0.006832066373418354,"[0.956368454442476, 0.9688986246017324, 0.9733393900109978, 0.9672801526329086, 0.9602543179526828]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}"
mnist_usps,MNIST$\rightarrow$USPS,ClassRegOT,circular_validation,Mapping,0.6564448141985579,0.012757559972066252,"[0.6566666666666666, 0.6655574043261231, 0.6666666666666666, 0.635, 0.6583333333333333]",0.6715012619527501,0.01315226181577592,"[0.6677191195479126, 0.6739645531181234, 0.6909138197489592, 0.6543606749786399, 0.6705481423701152]",0.6496410653263714,0.014059388302930385,"[0.6530417883838662, 0.6592667131495794, 0.6584938123445832, 0.625123425608736, 0.6522795871450922]",0.922958818456349,0.005724133562427725,"[0.920524338798754, 0.9283343432523874, 0.9288830889345084, 0.9152211666286434, 0.9218311546674512]","[{'classregularizerotmappingadapter__max_inner_iter': [1000], 'classregularizerotmappingadapter__max_iter': [10], 'classregularizerotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'classregularizerotmappingadapter__norm': ['lpl1'], 'classregularizerotmappingadapter__reg_cl': [0.1], 'classregularizerotmappingadapter__reg_e': [0.1], 'classregularizerotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01']}, {'classregularizerotmappingadapter__max_inner_iter': [1000], 'classregularizerotmappingadapter__max_iter': [10], 'classregularizerotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'classregularizerotmappingadapter__norm': ['lpl1'], 'classregularizerotmappingadapter__reg_cl': [0.5], 'classregularizerotmappingadapter__reg_e': [0.5], 'classregularizerotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01']}, {'classregularizerotmappingadapter__max_inner_iter': [1000], 'classregularizerotmappingadapter__max_iter': [10], 'classregularizerotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'classregularizerotmappingadapter__norm': ['lpl1'], 'classregularizerotmappingadapter__reg_cl': [1.0], 'classregularizerotmappingadapter__reg_e': [1.0], 'classregularizerotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.01']}]"
