dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params
mnist_usps_3k,MNIST$\rightarrow$USPS,CORAL,circular_validation,Mapping,0.34988075429839155,0.010224052850070236,"[0.36, 0.3577371048252912, 0.3416666666666667, 0.3533333333333333, 0.3366666666666666]",0.356079749625951,0.007795867701003189,"[0.3623527223787979, 0.3649692099849007, 0.3526868536661391, 0.3548830923346234, 0.345506869765294]",0.2722413252725016,0.014641427307258634,"[0.2961348344657067, 0.2726050553551754, 0.2668703683601705, 0.2690934396186707, 0.2565029285627847]",0.8681364210623903,0.008149423490048983,"[0.8691805436917943, 0.8779016000169327, 0.8734541098327788, 0.857739925885431, 0.8624059258850146]","{'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['LR']}"
mnist_usps_3k,MNIST$\rightarrow$USPS,KLIEP,circular_validation,Reweighting,0.5711364392678868,0.015782076656566207,"[0.585, 0.5906821963394343, 0.56, 0.555, 0.565]",0.569635583159626,0.01213614714762989,"[0.5778317710831057, 0.5866918177256977, 0.5632908188741326, 0.5577275909531315, 0.5626359171620628]",0.5471923984695063,0.02424027901545319,"[0.5704858166352503, 0.5753128454750427, 0.5323391090281993, 0.5209101239364514, 0.5369140972725877]",0.9318688918204158,0.006353098250245969,"[0.9292761244438886, 0.9417942755837552, 0.9339291691879752, 0.929154082475554, 0.9251908074109056]","{'finalestimator__estimator_name': ['LR'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}"
mnist_usps_3k,MNIST$\rightarrow$USPS,KMM,circular_validation,Reweighting,0.5811253466444815,0.03611724689431825,"[0.6166666666666667, 0.6239600665557404, 0.5566666666666666, 0.5483333333333333, 0.56]",0.5810013181209578,0.0348101797641442,"[0.6016057185127177, 0.6325393816830065, 0.5613000133896449, 0.5535353166529153, 0.5560261603665043]",0.5661979378267242,0.04827508545132183,"[0.6171302651025808, 0.6167776940870631, 0.5369878908823124, 0.5113052186196975, 0.5487886204419671]",0.9327965583608595,0.006994228073741256,"[0.9298758570176506, 0.9382099000976988, 0.9398046332398072, 0.922407174592348, 0.9336852268567928]","{'finalestimator__estimator_name': ['LR'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}"
mnist_usps_3k,MNIST$\rightarrow$USPS,MMD-LS,circular_validation,Mapping,0.5718031059345535,0.014218997086547815,"[0.58, 0.5906821963394343, 0.5616666666666666, 0.555, 0.5716666666666667]",0.5699140459176133,0.011410946400014216,"[0.5714947066778711, 0.5880491763242126, 0.5636391775010059, 0.5577275909531315, 0.5686595781318456]",0.5463644532973122,0.022328714751262146,"[0.5655817714349953, 0.573491461246888, 0.5325292286698345, 0.5209101239364514, 0.5393096811983915]",0.9297811220060799,0.005729976467611035,"[0.9279821257779995, 0.9394304677570684, 0.9283387181067764, 0.9290644014794788, 0.9240898969090766]","{'finalestimator__estimator_name': ['LR'], 'mmdlsconsmappingadapter__gamma': [0.1, 1, 10], 'mmdlsconsmappingadapter__max_iter': [100], 'mmdlsconsmappingadapter__reg_k': [1e-10, 1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-10, 1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}"
mnist_usps_3k,MNIST$\rightarrow$USPS,Train Src,circular_validation,NO DA,0.5718031059345535,0.014218997086547815,"[0.58, 0.5906821963394343, 0.5616666666666666, 0.555, 0.5716666666666667]",0.5699140459176133,0.011410946400014216,"[0.5714947066778711, 0.5880491763242126, 0.5636391775010059, 0.5577275909531315, 0.5686595781318456]",0.5463644532973122,0.022328714751262146,"[0.5655817714349953, 0.573491461246888, 0.5325292286698345, 0.5209101239364514, 0.5393096811983915]",0.9297811220060799,0.005729976467611035,"[0.9279821257779995, 0.9394304677570684, 0.9283387181067764, 0.9290644014794788, 0.9240898969090766]",{'finalestimator__estimator_name': ['LR']}
mnist_usps_3k,MNIST$\rightarrow$USPS,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['LR']}
mnist_usps_3k,MNIST$\rightarrow$USPS,Train Tgt,circular_validation,NO DA,0.9376877426511371,0.011520733865609832,"[0.9233333333333332, 0.9367720465890182, 0.95, 0.93, 0.9483333333333334]",0.9295275246352646,0.01358398892312967,"[0.9127423852790596, 0.926639637105582, 0.9443689072847976, 0.921549137050431, 0.942337556456452]",0.9371712789538893,0.011556804180766368,"[0.9228887835598044, 0.9358969833947997, 0.9497145158963796, 0.9295470143769906, 0.9478090975414728]",0.9939541445083325,0.0006995184152131824,"[0.9931821449444004, 0.9935935331689276, 0.9943088303143, 0.9937095084306944, 0.9949767056833404]",{'finalestimator__estimator_name': ['LR']}
mnist_usps_3k,MNIST$\rightarrow$USPS,JPCA,circular_validation,Subspace,0.5714692179700499,0.014740338190942196,"[0.58, 0.5923460898502496, 0.56, 0.5566666666666666, 0.5683333333333334]",0.569438075838137,0.011610342742269495,"[0.5714947066778711, 0.5885991543799511, 0.5616464238778176, 0.559810924286465, 0.5656391699685803]",0.5459971298116154,0.023244570242076042,"[0.5656818211757866, 0.5756573284147473, 0.5304043785164474, 0.522745780001292, 0.535496340949804]",0.9292642818686184,0.005727481785799492,"[0.9275338204626584, 0.9389663621719077, 0.927436848672043, 0.928629022053869, 0.923755355982614]","{'finalestimator__estimator_name': ['LR'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}"
mnist_usps_3k,MNIST$\rightarrow$USPS,MMDTarS,circular_validation,Reweighting,0.574134775374376,0.015355052597550553,"[0.5816666666666667, 0.5956738768718802, 0.5633333333333334, 0.5566666666666666, 0.5733333333333334]",0.5724714755986114,0.012515003122996879,"[0.5735780400112044, 0.5927658210466179, 0.5653691014734459, 0.559810924286465, 0.5708334911753239]",0.5490684571262303,0.02381310547284089,"[0.5671654050098345, 0.5800198782233944, 0.5337272879196014, 0.522745780001292, 0.5416839344770294]",0.9301718468540805,0.005730050355469811,"[0.9284651949941062, 0.9399042608779546, 0.9285591144734308, 0.9292606515229526, 0.9246700124019585]","{'finalestimator__estimator_name': ['LR'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}"
mnist_usps_3k,MNIST$\rightarrow$USPS,ClassRegOT,circular_validation,Mapping,0.6281192457016085,0.0213887507619866,"[0.6316666666666667, 0.6422628951747088, 0.645, 0.5916666666666667, 0.63]",0.634995802702617,0.01819812896986511,"[0.633820362338447, 0.6450992834363497, 0.6535402147456667, 0.6054487800232562, 0.6370703729693654]",0.6270075115697621,0.02300834679740653,"[0.6341083109598376, 0.6411064038219139, 0.6446789263403634, 0.5875647644345421, 0.6275791522921532]",0.9078883725830764,0.006975461415988508,"[0.9081089311093564, 0.9159119149683022, 0.9129811314457978, 0.8984513453759989, 0.9039885400159268]","{'classregularizerotmappingadapter__max_inner_iter': [1000], 'classregularizerotmappingadapter__max_iter': [10], 'classregularizerotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'classregularizerotmappingadapter__norm': ['lpl1'], 'classregularizerotmappingadapter__reg_cl': [0.1], 'classregularizerotmappingadapter__reg_e': [0.1], 'classregularizerotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['LR']}"
