dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params
Mushrooms,enl$\rightarrow$tap,CORAL,circular_validation,Mapping,0.47353579175704985,0.01754906166610058,"[0.4663774403470715, 0.4468546637744034, 0.4815618221258134, 0.4804772234273319, 0.4924078091106291]",0.5296523664041844,0.014216740801090302,"[0.5246250424322398, 0.5081159129266531, 0.5333983562586957, 0.5363172162538189, 0.5458053041495146]",0.3540710187662143,0.042076897176925976,"[0.3349240926306125, 0.2904646882867716, 0.3860284294148913, 0.3660878736388076, 0.3928500098599882]",0.5296523664041844,0.014216740801090288,"[0.52462504243224, 0.5081159129266531, 0.5333983562586956, 0.5363172162538189, 0.5458053041495146]","{'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['LR']}"
Mushrooms,enl$\rightarrow$tap,KLIEP,circular_validation,Reweighting,0.6620390455531453,0.017848158291300837,"[0.6865509761388287, 0.6605206073752712, 0.6540130151843818, 0.6388286334056399, 0.6702819956616052]",0.6700249095177307,0.015532579487999432,"[0.691353863365797, 0.6698962979962421, 0.6624521292617507, 0.6497965643033702, 0.6766256926614935]",0.6626328587749386,0.018381425579064897,"[0.6877318723161423, 0.660905216200296, 0.6546297884161717, 0.6385715822164995, 0.6713258347255837]",0.6700249095177306,0.015532579487999378,"[0.691353863365797, 0.6698962979962421, 0.6624521292617508, 0.6497965643033702, 0.6766256926614933]","{'finalestimator__estimator_name': ['LR'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}"
Mushrooms,enl$\rightarrow$tap,KMM,circular_validation,Reweighting,0.7010845986984815,0.01679552827249402,"[0.710412147505423, 0.6735357917570499, 0.6973969631236443, 0.7158351409978309, 0.7082429501084598]",0.714301696811486,0.01636488990032254,"[0.7247498290757661, 0.6872803683357478, 0.7109707062159047, 0.7276256591938113, 0.7208819212362005]",0.7004133612571432,0.017101099679105287,"[0.7094315659533749, 0.6724303421421941, 0.6965918448699743, 0.7157562508854596, 0.7078568024347128]",0.7143016968114861,0.016364889900322567,"[0.7247498290757661, 0.6872803683357478, 0.7109707062159047, 0.7276256591938114, 0.7208819212362005]","{'finalestimator__estimator_name': ['LR'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}"
Mushrooms,enl$\rightarrow$tap,MMD-LS,circular_validation,Mapping,0.6733188720173536,0.011965045874639152,"[0.6887201735357917, 0.6822125813449024, 0.6594360086767896, 0.665943600867679, 0.6702819956616052]",0.6799887166100106,0.010733436454141723,"[0.6935579492916804, 0.6883322097754319, 0.6672690849457584, 0.674158646375689, 0.6766256926614935]",0.6742670566738139,0.012143759149605679,"[0.6898928974212208, 0.6832739205448016, 0.6602055687289273, 0.6666370619485364, 0.6713258347255837]",0.6799887166100106,0.010733436454141734,"[0.6935579492916804, 0.688332209775432, 0.6672690849457584, 0.6741586463756891, 0.6766256926614933]","{'finalestimator__estimator_name': ['LR'], 'mmdlsconsmappingadapter__gamma': [0.1, 1, 10], 'mmdlsconsmappingadapter__max_iter': [100], 'mmdlsconsmappingadapter__reg_k': [1e-10, 1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-10, 1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}"
Mushrooms,enl$\rightarrow$tap,Train Src,circular_validation,NO DA,0.6733188720173536,0.011965045874639152,"[0.6887201735357917, 0.6822125813449024, 0.6594360086767896, 0.665943600867679, 0.6702819956616052]",0.6799887166100106,0.010733436454141723,"[0.6935579492916804, 0.6883322097754319, 0.6672690849457584, 0.674158646375689, 0.6766256926614935]",0.6742670566738139,0.012143759149605679,"[0.6898928974212208, 0.6832739205448016, 0.6602055687289273, 0.6666370619485364, 0.6713258347255837]",0.6799887166100106,0.010733436454141734,"[0.6935579492916804, 0.688332209775432, 0.6672690849457584, 0.6741586463756891, 0.6766256926614933]",{'finalestimator__estimator_name': ['LR']}
Mushrooms,enl$\rightarrow$tap,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['LR']}
Mushrooms,enl$\rightarrow$tap,Train Tgt,circular_validation,NO DA,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",{'finalestimator__estimator_name': ['LR']}
Mushrooms,enl$\rightarrow$tap,OTLabelProp,circular_validation,Other,0.6770065075921909,0.014700214000503144,"[0.6973969631236443, 0.6594360086767896, 0.6670281995661606, 0.6778741865509761, 0.6832971800433839]",0.6806575921437007,0.0136708254867324,"[0.6998785601246911, 0.6647733520752354, 0.6709624827282854, 0.6814283050531419, 0.6862452607371496]",0.6782466881208354,0.014693459747472996,"[0.6985911170390461, 0.6606254784994258, 0.6683177693945331, 0.6791436422661883, 0.6845554334049841]",0.6806575921437007,0.013670825486732343,"[0.6998785601246911, 0.6647733520752355, 0.6709624827282854, 0.6814283050531418, 0.6862452607371496]","{'finalestimator__estimator_name': ['LR'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__reg': [None, 0.1, 1.0]}"
Mushrooms,enl$\rightarrow$tap,JPCA,circular_validation,Subspace,0.6388286334056399,0.02165126331635264,"[0.6518438177874186, 0.6409978308026031, 0.6507592190889371, 0.6496746203904555, 0.6008676789587852]",0.6480772816592321,0.020030777342843562,"[0.6594161323790263, 0.6511687392724126, 0.6590073485467853, 0.6580439574099839, 0.6127502306879521]",0.639059865387028,0.02237941981573255,"[0.6526613041711281, 0.6410463969419773, 0.6514167465526799, 0.6502991274558727, 0.5998757518134817]",0.6480772816592321,0.020030777342843486,"[0.6594161323790262, 0.6511687392724126, 0.6590073485467854, 0.6580439574099839, 0.6127502306879522]","{'finalestimator__estimator_name': ['LR'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}"
Mushrooms,enl$\rightarrow$tap,MMDTarS,circular_validation,Reweighting,0.6698481561822126,0.010363452655610606,"[0.6876355748373102, 0.6691973969631236, 0.6616052060737527, 0.6637744034707158, 0.6670281995661606]",0.6766840220504214,0.008395384304052322,"[0.6909307362411967, 0.6767715161338133, 0.6694731708716419, 0.6722318641020859, 0.6740128229033693]",0.6707305214202345,0.010573620148722368,"[0.6888747825201273, 0.6700302880271464, 0.6623698644695072, 0.6644074268053751, 0.6679702452790162]",0.6766840220504216,0.008395384304052303,"[0.6909307362411968, 0.6767715161338135, 0.6694731708716419, 0.6722318641020859, 0.6740128229033693]","{'finalestimator__estimator_name': ['LR'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}"
