dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params
Office31,amz$\rightarrow$dsl,CORAL,circular_validation,Mapping,0.4686868686868687,0.030803940771670563,"[0.5050505050505051, 0.4444444444444444, 0.494949494949495, 0.4646464646464646, 0.4343434343434343]",0.48483870967741927,0.03478332581690483,"[0.5107526881720429, 0.4478494623655913, 0.5080645161290323, 0.5118279569892473, 0.4456989247311828]",0.44185832125226054,0.034813314044015733,"[0.4842100660282478, 0.4321271321271321, 0.4676767676767676, 0.4297465721708146, 0.395531068258341]",0.9302557347670252,0.00976818694336106,"[0.9350379330943848, 0.9273987455197132, 0.9444543010752688, 0.9252801672640384, 0.9191075268817204]","{'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['LR_C0.2']}"
Office31,amz$\rightarrow$dsl,KLIEP,circular_validation,Reweighting,0.5494949494949495,0.03819731394179612,"[0.5757575757575758, 0.5656565656565656, 0.5757575757575758, 0.5454545454545454, 0.4848484848484848]",0.5556989247311828,0.02798953853755686,"[0.5817204301075268, 0.5596774193548386, 0.5704301075268817, 0.5580645161290322, 0.5086021505376344]",0.5200220479988751,0.038001757827390514,"[0.5424490212369001, 0.5454602042837337, 0.5456863002317548, 0.5084022038567493, 0.4581125103852376]",0.9436977299880525,0.006346754756944353,"[0.9462968936678614, 0.9447556750298686, 0.9522359617682198, 0.9393300477897252, 0.9358700716845878]","{'finalestimator__estimator_name': ['LR_C0.2'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}"
Office31,amz$\rightarrow$dsl,KMM,circular_validation,Reweighting,0.5535353535353535,0.04426040868728618,"[0.5656565656565656, 0.6060606060606061, 0.5454545454545454, 0.5656565656565656, 0.4848484848484848]",0.5661290322580645,0.05411578094896623,"[0.5817204301075268, 0.6392473118279569, 0.5494623655913979, 0.5704301075268817, 0.4897849462365591]",0.530119667089364,0.04610792683982916,"[0.5600252160858221, 0.5873496873496873, 0.5236064160306585, 0.5126311399038671, 0.4669858760767851]",0.9465467741935484,0.012114471119001139,"[0.958665770609319, 0.960002090800478, 0.9344459378733572, 0.943121266427718, 0.93649880525687]","{'finalestimator__estimator_name': ['LR_C0.2'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}"
Office31,amz$\rightarrow$dsl,MMD-LS,circular_validation,Mapping,0.5575757575757575,0.04426040868728614,"[0.5858585858585859, 0.5858585858585859, 0.5858585858585859, 0.5454545454545454, 0.4848484848484848]",0.5646236559139785,0.03386542026596929,"[0.5897849462365591, 0.5838709677419354, 0.5865591397849462, 0.5526881720430107, 0.5102150537634409]",0.5271002615922401,0.04756784082795462,"[0.5524844403632282, 0.5702798291033585, 0.5531731455973881, 0.5060890288163015, 0.4534748640809246]",0.9443320788530466,0.006442739571855222,"[0.945718936678614, 0.9465576463560336, 0.9526227598566308, 0.9415095579450418, 0.9352514934289128]","{'finalestimator__estimator_name': ['LR_C0.2'], 'mmdlsconsmappingadapter__gamma': [0.1, 1, 10], 'mmdlsconsmappingadapter__max_iter': [100], 'mmdlsconsmappingadapter__reg_k': [1e-10, 1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-10, 1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}"
Office31,amz$\rightarrow$dsl,Train Src,circular_validation,NO DA,0.5575757575757575,0.04426040868728614,"[0.5858585858585859, 0.5858585858585859, 0.5858585858585859, 0.5454545454545454, 0.4848484848484848]",0.5646236559139785,0.03386542026596929,"[0.5897849462365591, 0.5838709677419354, 0.5865591397849462, 0.5526881720430107, 0.5102150537634409]",0.5271002615922401,0.04756784082795462,"[0.5524844403632282, 0.5702798291033585, 0.5531731455973881, 0.5060890288163015, 0.4534748640809246]",0.9443320788530466,0.006442739571855222,"[0.945718936678614, 0.9465576463560336, 0.9526227598566308, 0.9415095579450418, 0.9352514934289128]",{'finalestimator__estimator_name': ['LR_C0.2']}
Office31,amz$\rightarrow$dsl,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['LR_C0.2']}
Office31,amz$\rightarrow$dsl,Train Tgt,circular_validation,NO DA,0.9494949494949495,0.02944925199416817,"[0.9292929292929292, 0.9797979797979798, 0.9696969696969696, 0.9090909090909092, 0.9595959595959596]",0.9461290322580644,0.03622235770342817,"[0.9209677419354838, 0.985483870967742, 0.9758064516129032, 0.8994623655913978, 0.9489247311827956]",0.9454239587572921,0.03482246566998818,"[0.9244545577878912, 0.9796253129586462, 0.9702479338842976, 0.895568965265935, 0.9572230238896906]",0.9992434289127837,0.0008613729782165484,"[0.9991606929510156, 0.9999193548387096, 0.9995878136200717, 0.9977882317801672, 0.9997610513739548]",{'finalestimator__estimator_name': ['LR_C0.2']}
Office31,amz$\rightarrow$dsl,JPCA,circular_validation,Subspace,0.5272727272727272,0.02892489103692189,"[0.5656565656565656, 0.5252525252525253, 0.5050505050505051, 0.5454545454545454, 0.494949494949495]",0.5596774193548386,0.0371473863873649,"[0.6021505376344085, 0.5634408602150536, 0.5354838709677419, 0.5865591397849461, 0.510752688172043]",0.5068465198233468,0.02279460937615422,"[0.5415985249318582, 0.4937366192268153, 0.5004206231478959, 0.5156966490299824, 0.4827801827801827]",0.949141935483871,0.0047335227868957365,"[0.955123357228196, 0.9532986857825568, 0.9469342891278376, 0.9455292712066906, 0.944824074074074]","{'finalestimator__estimator_name': ['LR_C0.2'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}"
Office31,amz$\rightarrow$dsl,MMDTarS,circular_validation,Reweighting,0.5555555555555556,0.034254191833965934,"[0.5959595959595959, 0.5555555555555556, 0.5757575757575758, 0.5454545454545454, 0.5050505050505051]",0.563763440860215,0.02589757656988996,"[0.5978494623655913, 0.556989247311828, 0.5758064516129031, 0.560752688172043, 0.5274193548387097]",0.5287637215890336,0.03329191315634849,"[0.5676075327590479, 0.5401210989446285, 0.54509233751658, 0.508065503520049, 0.4829321352048625]",0.9448483273596177,0.005671900733715581,"[0.94813082437276, 0.9455047789725208, 0.9512798685782556, 0.9430050776583034, 0.9363210872162484]","{'finalestimator__estimator_name': ['LR_C0.2'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}"
Office31,amz$\rightarrow$dsl,ClassRegOT,circular_validation,Mapping,0.6242424242424243,0.05687146771821915,"[0.6666666666666666, 0.6363636363636364, 0.5555555555555556, 0.6868686868686869, 0.5757575757575758]",0.6575268817204301,0.06343972114887751,"[0.7053763440860215, 0.6499999999999999, 0.5908602150537633, 0.7376344086021505, 0.603763440860215]",0.6126498753771481,0.055236098360889434,"[0.6572550905884238, 0.6338464005130672, 0.543025493025493, 0.664110805019896, 0.5650115877388604]",0.9644910394265234,0.007094670865559295,"[0.9710152329749104, 0.9729596774193549, 0.960773596176822, 0.9610519713261648, 0.9566547192353644]","{'classregularizerotmappingadapter__max_inner_iter': [1000], 'classregularizerotmappingadapter__max_iter': [10], 'classregularizerotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'classregularizerotmappingadapter__norm': ['lpl1'], 'classregularizerotmappingadapter__reg_cl': [0.1], 'classregularizerotmappingadapter__reg_e': [0.1], 'classregularizerotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['LR_C0.2']}"
