dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params,cv_score
Office31,amz$\rightarrow$dsl,JDOT,circular_validation,Other,0.6202020202020202,0.04927802390969886,"[0.6060606060606061, 0.6666666666666666, 0.5656565656565656, 0.6767676767676768, 0.5858585858585859]",0.660537634408602,0.056650443496009784,"[0.6532258064516128, 0.7102150537634407, 0.6209677419354839, 0.725268817204301, 0.593010752688172]",0.6028654061987395,0.042400854516955556,"[0.5831501831501832, 0.6395294940749486, 0.5592672759339425, 0.6562056349935137, 0.5761744428411095]",0.9585593787335723,0.010549621601317158,"[0.9509898446833932, 0.9743225806451612, 0.9476863799283154, 0.9628646953405018, 0.95693339307049]","{'jdotclassifier__alpha': [0.1, 0.3, 0.5, 0.7, 0.9], 'jdotclassifier__base_estimator__estimator_name': ['SVC'], 'jdotclassifier__n_iter_max': [100], 'jdotclassifier__thr_weights': [1e-07], 'jdotclassifier__tol': [1e-06]}","[0.38327425, 0.3920124, 0.38770866, 0.38454621, 0.36607675]"
Office31,amz$\rightarrow$dsl,KLIEP,circular_validation,Reweighting,0.5494949494949495,0.0426162083024828,"[0.5959595959595959, 0.5757575757575758, 0.5353535353535354, 0.5555555555555556, 0.4848484848484848]",0.5624731182795698,0.03744074595598733,"[0.6048387096774194, 0.5822580645161289, 0.5451612903225805, 0.5725806451612904, 0.50752688172043]",0.5240202446263053,0.03286848594397686,"[0.5594966201026808, 0.5477152477152477, 0.514664684361654, 0.5233299809057385, 0.4748946900462052]",0.9511528673835125,0.008329696884640492,"[0.957076164874552, 0.9564516129032258, 0.9566762246117084, 0.9474525089605736, 0.9381078255675028]","{'finalestimator__estimator_name': ['LR_C0.01'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}","[0.37058963, 0.37452564, 0.36898859, 0.37803771, 0.36211979]"
Office31,amz$\rightarrow$dsl,KMM,circular_validation,Reweighting,0.5636363636363637,0.06283770107069009,"[0.5757575757575758, 0.5858585858585859, 0.6161616161616161, 0.5858585858585859, 0.4545454545454545]",0.5981720430107527,0.06344609965606883,"[0.6123655913978495, 0.5946236559139784, 0.6634408602150537, 0.6263440860215054, 0.4940860215053763]",0.5434296791872549,0.06527545409045059,"[0.5626262626262626, 0.5601469237832875, 0.5990722521025551, 0.5651354818021486, 0.430167475622021]",0.9622072879330945,0.00839253403144045,"[0.9667198327359618, 0.9715504778972522, 0.9647505973715652, 0.958078853046595, 0.949936678614098]","{'finalestimator__estimator_name': ['LR_C0.01'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}","[0.35970454, 0.35639984, 0.37832036, 0.34911253, 0.3441009]"
Office31,amz$\rightarrow$dsl,MMD-LS,circular_validation,Mapping,0.5494949494949495,0.04379693613874504,"[0.5858585858585859, 0.5858585858585859, 0.5252525252525253, 0.5656565656565656, 0.4848484848484848]",0.5619354838709676,0.04097218670325781,"[0.5994623655913978, 0.5903225806451612, 0.5290322580645159, 0.5833333333333333, 0.50752688172043]",0.525328128661462,0.03637105703826048,"[0.5484724590785196, 0.5591550424883759, 0.4997274330607663, 0.5447430235309023, 0.4745426851487457]",0.9503191756272402,0.009146533684514142,"[0.9576857825567504, 0.955730585424134, 0.956061230585424, 0.9458870967741936, 0.936231182795699]","{'finalestimator__estimator_name': ['LR_C0.01'], 'mmdlsconsmappingadapter__gamma': [0.1, 1, 10], 'mmdlsconsmappingadapter__max_iter': [100], 'mmdlsconsmappingadapter__reg_k': [1e-10, 1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-10, 1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}","[0.36579493, 0.3802316, 0.3711571, 0.37949892, 0.36103109]"
Office31,amz$\rightarrow$dsl,Train Src,circular_validation,NO DA,0.5494949494949495,0.038197313941796034,"[0.5858585858585859, 0.5656565656565656, 0.5555555555555556, 0.5555555555555556, 0.4848484848484848]",0.5623655913978494,0.033607526451681684,"[0.5978494623655913, 0.5741935483870967, 0.5596774193548386, 0.5725806451612904, 0.50752688172043]",0.5239724809421779,0.029598651865897562,"[0.553787514393575, 0.5360429693763027, 0.5298482662119025, 0.5255338376550498, 0.4746498170740594]",0.9503134408602151,0.008162826360746852,"[0.9560456989247312, 0.9546893667861408, 0.9561672640382316, 0.9474734169653524, 0.9371914575866188]",{'finalestimator__estimator_name': ['LR_C0.01']},"[0.36686784, 0.38319995, 0.36987851, 0.38256343, 0.3699747]"
Office31,amz$\rightarrow$dsl,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['LR_C0.01']},"[NaN, NaN, NaN, NaN, NaN]"
Office31,amz$\rightarrow$dsl,Train Tgt,circular_validation,NO DA,0.9333333333333333,0.025353334137396173,"[0.9090909090909092, 0.9393939393939394, 0.9393939393939394, 0.9090909090909092, 0.9696969696969696]",0.935268817204301,0.02822606246683688,"[0.9021505376344086, 0.9456989247311828, 0.9548387096774194, 0.9086021505376344, 0.96505376344086]",0.9297321197321198,0.028565424140391968,"[0.9058238058238058, 0.9388808722142056, 0.9388888888888888, 0.897113997113997, 0.9679530346197014]",0.9988805854241338,0.0008752075337140688,"[0.998161589008363, 0.9996851851851852, 0.998971027479092, 0.997824074074074, 0.9997610513739548]",{'finalestimator__estimator_name': ['LR_C0.01']},"[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
Office31,amz$\rightarrow$dsl,OTLabelProp,circular_validation,Other,0.5777777777777778,0.03226003923771985,"[0.5353535353535354, 0.5757575757575758, 0.5757575757575758, 0.6262626262626263, 0.5757575757575758]",0.6046236559139785,0.04277421517269169,"[0.5645161290322581, 0.5709677419354837, 0.6053763440860215, 0.6720430107526881, 0.6102150537634408]",0.5485835488865791,0.030406421682888044,"[0.5069504569504568, 0.5359416677598495, 0.5501224364860728, 0.5893069893069892, 0.5605961939295273]",0.9631095579450418,0.006425125830267449,"[0.9694958183990442, 0.9673584229390682, 0.9528954599761053, 0.9638673835125448, 0.9619307048984468]","{'finalestimator__estimator_name': ['LR_C0.01'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__reg': [None, 0.1, 1.0]}","[0.39954637, 0.37891391, 0.3972029, 0.39435521, 0.39005677]"
Office31,amz$\rightarrow$dsl,JPCA,circular_validation,Subspace,0.5272727272727272,0.03304126713898207,"[0.5555555555555556, 0.5252525252525253, 0.494949494949495, 0.5656565656565656, 0.494949494949495]",0.5556989247311827,0.03797959971114733,"[0.5618279569892473, 0.5677419354838708, 0.529032258064516, 0.6091397849462364, 0.510752688172043]",0.5085436729376124,0.027995554937285415,"[0.5279381112714447, 0.4967434081070446, 0.4948175842115236, 0.546340079673413, 0.4768791814246358]",0.9517198924731183,0.0033927151666225367,"[0.9532983870967742, 0.9569405615292712, 0.9489489247311828, 0.9492040023894862, 0.9502075866188768]","{'finalestimator__estimator_name': ['LR_C0.01'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}","[0.36869684, 0.3845114, 0.39234937, 0.3800232, 0.3805212]"
Office31,amz$\rightarrow$dsl,MMDTarS,circular_validation,Reweighting,0.5434343434343434,0.03806352258872075,"[0.5858585858585859, 0.5656565656565656, 0.5353535353535354, 0.5454545454545454, 0.4848484848484848]",0.5556989247311828,0.035315665187761434,"[0.5978494623655913, 0.5741935483870967, 0.5451612903225805, 0.5580645161290322, 0.5032258064516129]",0.5153101724313844,0.0355209166180023,"[0.5522242628303233, 0.5399631232964566, 0.5135744166047196, 0.5107284970921334, 0.4600605623332896]",0.9512267025089607,0.008173175200889985,"[0.9580743727598566, 0.9557738948626046, 0.956231780167264, 0.947504778972521, 0.9385486857825568]","{'finalestimator__estimator_name': ['LR_C0.01'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}","[0.37172355, 0.38093229, 0.38434232, 0.38200469, 0.37016363]"
