dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params,cv_score
OfficeHomeResnet,art$\rightarrow$clipart,KLIEP,circular_validation,Reweighting,0.34269406392694063,0.019142715813931135,"[0.3184931506849315, 0.3436073059360731, 0.3710045662100457, 0.3458904109589041, 0.3344748858447489]",0.3512593901824671,0.018655472389944448,"[0.3226637326976693, 0.3539203443615208, 0.37502839794695, 0.3523837562638467, 0.3523007196423486]",0.3424899022919912,0.019167874863417332,"[0.3238776339121209, 0.348738516650811, 0.372639484613754, 0.3365125045131264, 0.3306813717701437]",0.9029444155702473,0.007994882379280047,"[0.8970344621132024, 0.9031645751723304, 0.9129301307989732, 0.8933213435776631, 0.9082715661890676]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}","[0.38853498, 0.40164629, 0.38930826, 0.37027799, 0.37868291]"
OfficeHomeResnet,art$\rightarrow$clipart,KMM,circular_validation,Reweighting,0.3226027397260274,0.019847918475479037,"[0.3013698630136986, 0.3184931506849315, 0.3515981735159817, 0.3321917808219178, 0.3093607305936073]",0.3279950381443594,0.016925510065714158,"[0.3035354590105721, 0.3242806313847038, 0.3507561505864673, 0.3314450795559392, 0.3299578701841145]",0.3210217292250467,0.02041029321063921,"[0.3029792846983993, 0.3227010032854244, 0.3532167423304228, 0.3224900505595386, 0.3037215652514483]",0.8952278994988531,0.005961819469347262,"[0.8902751039072513, 0.8981547669527289, 0.903680870971859, 0.8891014533097596, 0.8949273023526664]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}","[0.21599436, 0.20521447, 0.2010681, 0.18934366, 0.19727439]"
OfficeHomeResnet,art$\rightarrow$clipart,MMD-LS,circular_validation,Mapping,0.34086757990867583,0.01941646260360297,"[0.3139269406392694, 0.3401826484018265, 0.3687214611872146, 0.3424657534246575, 0.339041095890411]",0.34925287532979843,0.01959565934594646,"[0.3194702595041961, 0.3476087072806529, 0.373554038972591, 0.3489222178023083, 0.3567091530892436]",0.34139452715490815,0.019342375475349276,"[0.3187476731229604, 0.3468517596264296, 0.3709242706064741, 0.3369131816776156, 0.333535750741061]",0.9027233656683602,0.007828776884503617,"[0.8974108634582687, 0.9021364197616234, 0.9125578227845792, 0.8932681008187239, 0.9082436215186058]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'mmdlsconsmappingadapter__gamma': [0.1, 1, 10], 'mmdlsconsmappingadapter__max_iter': [100], 'mmdlsconsmappingadapter__reg_k': [1e-10, 1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-10, 1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}","[0.39323643, 0.39633186, 0.38761672, 0.37610031, 0.37966733]"
OfficeHomeResnet,art$\rightarrow$clipart,Train Src,circular_validation,NO DA,0.34292237442922374,0.01825770408541075,"[0.3162100456621005, 0.341324200913242, 0.3664383561643836, 0.3504566210045662, 0.3401826484018265]",0.35189586783251936,0.018519815357580096,"[0.3207020342653827, 0.3515058144469909, 0.3690668594854115, 0.3590071328872233, 0.3591974980775885]",0.34383213768656773,0.0162756776378841,"[0.323582363572873, 0.3474192305074568, 0.3683558327055625, 0.341378241459628, 0.3384250201873185]",0.9033357473604081,0.007716003926409268,"[0.8985464480315544, 0.9033504372495548, 0.9130863928427164, 0.893507643922542, 0.9081878147556732]",{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001']},"[0.39253956, 0.39419324, 0.38117394, 0.36950282, 0.37811661]"
OfficeHomeResnet,art$\rightarrow$clipart,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001']},"[NaN, NaN, NaN, NaN, NaN]"
OfficeHomeResnet,art$\rightarrow$clipart,Train Tgt,circular_validation,NO DA,0.7127853881278539,0.0230667061857363,"[0.6883561643835616, 0.7328767123287672, 0.7397260273972602, 0.6929223744292238, 0.7100456621004566]",0.7055721819658471,0.020061644888805533,"[0.6835796179687582, 0.7205639094439998, 0.7274483158872298, 0.6856395113182443, 0.7106295552110032]",0.7116452053652459,0.024316623038924574,"[0.6864317402958992, 0.7344636332071075, 0.7375827434311797, 0.6884960684923503, 0.711251841399693]",0.9796763337741256,0.004152691717122328,"[0.9731306158409332, 0.9830788024221508, 0.9827414430544478, 0.9781094414485936, 0.9813213661045026]",{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001']},"[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
OfficeHomeResnet,art$\rightarrow$clipart,JPCA,circular_validation,Subspace,0.3452054794520548,0.01838218583160178,"[0.3219178082191781, 0.3481735159817352, 0.3721461187214612, 0.3470319634703196, 0.3367579908675799]",0.35361413799875335,0.01815590197861182,"[0.3264204247235921, 0.3579471508883273, 0.3772719876905397, 0.3528532867333772, 0.3535778399579304]",0.3463943297146426,0.01865302414791398,"[0.3269639443131468, 0.3542255621490183, 0.3740505375386543, 0.3438014634518341, 0.3329301411205597]",0.9032548454615288,0.007810691280293706,"[0.8980072587931475, 0.9027148993236398, 0.9132960417621132, 0.8938367025935262, 0.908419324835217]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}","[0.38891085, 0.39727192, 0.38574499, 0.37700352, 0.37564662]"
OfficeHomeResnet,art$\rightarrow$clipart,MMDTarS,circular_validation,Reweighting,0.34200913242009134,0.01880272484464337,"[0.317351598173516, 0.3424657534246575, 0.3698630136986301, 0.3436073059360731, 0.3367579908675799]",0.3501468586717455,0.018106461510237443,"[0.321842054375991, 0.34999775614029, 0.3721733683611511, 0.3518825907626812, 0.3548385237186142]",0.34161327016812015,0.01772029289112442,"[0.3227813177523434, 0.3448002261752468, 0.3700089559827339, 0.3365853279962266, 0.3338905229340501]",0.9031673253776757,0.007663791974694464,"[0.8986997947354349, 0.9027011018036484, 0.912843843705378, 0.893383901679789, 0.9082079849641284]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}","[0.38910424, 0.41238646, 0.39193855, 0.372742, 0.38974306]"
OfficeHomeResnet,art$\rightarrow$clipart,ClassRegOT,circular_validation,Mapping,0.3942922374429224,0.014225961259976608,"[0.3789954337899543, 0.4029680365296804, 0.4132420091324201, 0.3938356164383562, 0.3824200913242009]",0.4025176141103743,0.011877801959471848,"[0.3880550959849602, 0.4155488051415653, 0.4140785082187797, 0.3978966835075432, 0.397008977699023]",0.37982494693023156,0.01107474133204829,"[0.3689823745003274, 0.3889035072728614, 0.3941568879499575, 0.3717750556144243, 0.375306909313587]",0.9095153057122992,0.005865545743030995,"[0.9057392159774744, 0.907349289482221, 0.91811024641132, 0.9036459677110564, 0.9127318089794246]","[{'classregularizerotmappingadapter__max_inner_iter': [1000], 'classregularizerotmappingadapter__max_iter': [10], 'classregularizerotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'classregularizerotmappingadapter__norm': ['lpl1'], 'classregularizerotmappingadapter__reg_cl': [0.1], 'classregularizerotmappingadapter__reg_e': [0.1], 'classregularizerotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001']}, {'classregularizerotmappingadapter__max_inner_iter': [1000], 'classregularizerotmappingadapter__max_iter': [10], 'classregularizerotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'classregularizerotmappingadapter__norm': ['lpl1'], 'classregularizerotmappingadapter__reg_cl': [0.5], 'classregularizerotmappingadapter__reg_e': [0.5], 'classregularizerotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001']}, {'classregularizerotmappingadapter__max_inner_iter': [1000], 'classregularizerotmappingadapter__max_iter': [10], 'classregularizerotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'classregularizerotmappingadapter__norm': ['lpl1'], 'classregularizerotmappingadapter__reg_cl': [1.0], 'classregularizerotmappingadapter__reg_e': [1.0], 'classregularizerotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001']}]","[0.43474832, 0.43936516, 0.41333614, 0.43110401, 0.41258749]"
OfficeHomeResnet,art$\rightarrow$clipart,Dens. RW,circular_validation,Reweighting,0.34200913242009134,0.019732685329983457,"[0.3150684931506849, 0.3447488584474886, 0.3698630136986301, 0.3447488584474886, 0.3356164383561644]",0.3511233851618467,0.01847992599530012,"[0.3219061569400936, 0.3528815540919613, 0.3731990093867922, 0.3518825907626813, 0.3557476146277051]",0.3424758660550742,0.018863815534936892,"[0.3201008886399287, 0.3498073982663, 0.370395081960114, 0.3378556460925678, 0.3342203153164605]",0.9030219196647412,0.007748983057635272,"[0.8980923906139799, 0.9026598257088332, 0.9125495441159894, 0.8932878798402802, 0.9085199580446232]","{'densityreweightadapter__weight_estimator__bandwidth': [0.01, 0.1, 1.0, 10.0, 100.0, 'scott', 'silverman'], 'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001']}","[0.38651441, 0.40245373, 0.38040109, 0.37348394, 0.38728863]"
