dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params
OfficeHomeResnet,art$\rightarrow$clipart,CORAL,circular_validation,Mapping,0.33378995433789954,0.014087886547009041,"[0.317351598173516, 0.3344748858447489, 0.3538812785388128, 0.339041095890411, 0.3242009132420091]",0.34896289231130856,0.010899044120644309,"[0.3375953784777314, 0.3478094291329585, 0.3670875504585912, 0.3466093534419326, 0.3457127500453292]",0.3440568009221976,0.013703632919280532,"[0.3284120564421986, 0.353061110348548, 0.3593710423584917, 0.3484714448313799, 0.3309683506303698]",0.9039121350305599,0.0068479673525274915,"[0.8977384757882735, 0.9037353611997364, 0.9124765587529544, 0.8967374762749203, 0.9088728031369148]","{'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001']}"
OfficeHomeResnet,art$\rightarrow$clipart,KLIEP,circular_validation,Reweighting,0.35296803652968034,0.02211196349370457,"[0.3242009132420091, 0.3675799086757991, 0.3789954337899543, 0.3561643835616438, 0.3378995433789954]",0.36005358166217893,0.02345881970461772,"[0.3238272336009892, 0.3785427066648786, 0.3830685691884787, 0.3587284347125976, 0.3561009641439505]",0.35489964055544154,0.02072443433019667,"[0.3337278756206042, 0.3771542349605269, 0.376749577603605, 0.3475637821740798, 0.3393027324183917]",0.9064511506024434,0.007591395117248297,"[0.9015074545554428, 0.9061644796108148, 0.9164288371764548, 0.8971792280937632, 0.9109757535757412]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}"
OfficeHomeResnet,art$\rightarrow$clipart,KMM,circular_validation,Reweighting,0.3267123287671233,0.015764174745163523,"[0.317351598173516, 0.3344748858447489, 0.3070776255707763, 0.3481735159817352, 0.3264840182648402]",0.33387685893794494,0.01802433253554072,"[0.323578700083225, 0.3432669869095208, 0.3082167392687755, 0.3540131098162772, 0.340308758611926]",0.32381722556514947,0.021438767463829,"[0.323377541601255, 0.3345250426039334, 0.2885633084568201, 0.3454929537555291, 0.3271272814082098]",0.8949999392960442,0.009492227066087927,"[0.895017695997899, 0.9035150662982157, 0.880457598956521, 0.8926025685562203, 0.9034067666713642]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}"
OfficeHomeResnet,art$\rightarrow$clipart,Train Src,circular_validation,NO DA,0.3527397260273973,0.02231143868229688,"[0.3242009132420091, 0.3675799086757991, 0.3789954337899543, 0.3561643835616438, 0.3367579908675799]",0.35989973550833276,0.023493718365470324,"[0.3238272336009892, 0.3785427066648786, 0.3830685691884787, 0.3587284347125976, 0.3553317333747198]",0.35470320715414916,0.02091302209150709,"[0.3337278756206042, 0.3771542349605269, 0.376749577603605, 0.3475637821740798, 0.3383205654119299]",0.9065931793227566,0.007435623871987615,"[0.901803293695836, 0.9062172913970324, 0.9163300870828748, 0.8974953179391688, 0.9111199064988712]",{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001']}
OfficeHomeResnet,art$\rightarrow$clipart,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001']}
OfficeHomeResnet,art$\rightarrow$clipart,JPCA,circular_validation,Subspace,0.3344748858447488,0.01573521547042263,"[0.3093607305936073, 0.3356164383561644, 0.3515981735159817, 0.3424657534246575, 0.3333333333333333]",0.3430660156836627,0.01675478023386362,"[0.3140756051389535, 0.3436136575842458, 0.3553585102680126, 0.3505818100953847, 0.351700495331717]",0.3348904813062751,0.013507102342402301,"[0.3145696901020457, 0.3429063244679913, 0.3505996130144415, 0.3331255175634604, 0.3332512613834364]",0.9027635713732802,0.007574400490472046,"[0.8979917733616618, 0.9023634278310828, 0.911037310798516, 0.8930490133024788, 0.9093763315726622]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}"
OfficeHomeResnet,art$\rightarrow$clipart,MMDTarS,circular_validation,Reweighting,0.35296803652968034,0.02211196349370457,"[0.3242009132420091, 0.3675799086757991, 0.3789954337899543, 0.3561643835616438, 0.3378995433789954]",0.36005358166217893,0.02345881970461772,"[0.3238272336009892, 0.3785427066648786, 0.3830685691884787, 0.3587284347125976, 0.3561009641439505]",0.35488958307438023,0.02073390576065606,"[0.3337278756206042, 0.3771542349605269, 0.376749577603605, 0.3475637821740798, 0.3392524450130855]",0.9064471914930723,0.0076168670432202705,"[0.9014541410869528, 0.9061686438440002, 0.9163708402669885, 0.8971297814306383, 0.9111125508367812]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}"
OfficeHomeResnet,art$\rightarrow$clipart,Disc. RW,circular_validation,Reweighting,0.32899543378995433,0.020218696500103564,"[0.3047945205479452, 0.319634703196347, 0.3573059360730594, 0.3401826484018265, 0.3230593607305936]",0.3422452971864736,0.017951232618650843,"[0.3205506245890862, 0.3333341419766759, 0.3604971072165642, 0.3612574152845645, 0.3355871968654774]",0.32026313320042477,0.016356846484008803,"[0.3038829384733376, 0.3123152247908284, 0.3465856443134372, 0.323947929710894, 0.3145839287136266]",0.9131061438891963,0.006375639756842154,"[0.9088839242879784, 0.9138720618883298, 0.9205602184040202, 0.9047579645788808, 0.9174565502867724]","{'discriminatorreweightadapter__domain_classifier__estimator_name': ['LR', 'SVC', 'KNN', 'XGB'], 'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001']}"
OfficeHomeResnet,art$\rightarrow$clipart,EntOT,circular_validation,Mapping,0.37488584474885844,0.01767748523657474,"[0.3618721461187215, 0.3732876712328767, 0.4052511415525114, 0.3710045662100457, 0.363013698630137]",0.381581941939408,0.014266750116413672,"[0.3680250192241142, 0.3845266648886558, 0.4046770034892207, 0.3730594694395599, 0.3776215526554892]",0.3527739370547759,0.017972156821796762,"[0.3427491146387666, 0.3520182093073904, 0.3834478407865509, 0.3377201884009212, 0.3479343321402504]",0.900819225806147,0.007201390243069416,"[0.8928123537677837, 0.8966372278615031, 0.9107746881863092, 0.8984548598638615, 0.905416999351278]","{'entropicotmappingadapter__max_iter': [1000], 'entropicotmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'entropicotmappingadapter__norm': ['median'], 'entropicotmappingadapter__reg_e': [0.1, 0.5, 1.0], 'entropicotmappingadapter__tol': [1e-06], 'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001']}"
OfficeHomeResnet,art$\rightarrow$clipart,LinOT,circular_validation,Mapping,0.3993150684931507,0.014560948649697111,"[0.384703196347032, 0.3995433789954338, 0.4189497716894977, 0.4075342465753425, 0.3858447488584475]",0.408926841383855,0.011085483562276002,"[0.3910117396429613, 0.4148479034791252, 0.4204251279138157, 0.4104412995250099, 0.4079081363583626]",0.3961989422567996,0.010585188507647897,"[0.3867460800200127, 0.3997971177170786, 0.4091378005226938, 0.4014139849166899, 0.383899728107523]",0.9174721573514184,0.007021050195623637,"[0.9122711632363992, 0.918978873931751, 0.9259918990057197, 0.908592915455576, 0.9215259351276456]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'linearotmappingadapter__bias': [True, False], 'linearotmappingadapter__reg': [1e-08, 1e-06, 0.1, 1, 10]}"
OfficeHomeResnet,art$\rightarrow$clipart,NN RW,circular_validation,Reweighting,0.3527397260273973,0.021157252274943642,"[0.3276255707762557, 0.3698630136986301, 0.3755707762557078, 0.3561643835616438, 0.3344748858447489]",0.3594653463680613,0.02270608564038407,"[0.3249810797548354, 0.3813707609635212, 0.3784531845730941, 0.3587284347125976, 0.3537932718362582]",0.354688879541562,0.020575975362745726,"[0.3364844564667966, 0.3799162184034128, 0.3731600023262551, 0.3473965841121433, 0.336487136399202]",0.9065519573394223,0.007574237886025303,"[0.901572442374467, 0.9059930845521312, 0.916335677599602, 0.8973711112932956, 0.9114874708776152]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'nearestneighborreweightadapter__laplace_smoothing': [True, False], 'nearestneighborreweightadapter__n_neighbors': [1]}"
OfficeHomeResnet,art$\rightarrow$clipart,MapOT,circular_validation,Mapping,0.34703196347031967,0.03408447175076165,"[0.3127853881278539, 0.3299086757990868, 0.3881278538812785, 0.3789954337899543, 0.3253424657534247]",0.3594516205262811,0.03143100862421132,"[0.3233874220299559, 0.3426057677867632, 0.3935611346923564, 0.3915128134811392, 0.3461909646411908]",0.3323330254759999,0.033075366295075334,"[0.2991868175991957, 0.3172663190572958, 0.3711416572566121, 0.364420495997497, 0.3096498374693991]",0.8916283285572681,0.004594621048608487,"[0.8932491120802816, 0.8933672103557755, 0.8917590685689643, 0.8838547362409326, 0.8959115155403875]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'otmappingadapter__max_iter': [1000000], 'otmappingadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otmappingadapter__norm': ['median']}"
OfficeHomeResnet,art$\rightarrow$clipart,SA,circular_validation,Subspace,0.3865296803652968,0.01988071955301369,"[0.3675799086757991, 0.3824200913242009, 0.4189497716894977, 0.3892694063926941, 0.3744292237442922]",0.3903693413173051,0.01611805162435528,"[0.3659865298100592, 0.3961124019268815, 0.4101322257430855, 0.3930061956645667, 0.3866093534419326]",0.38179474156324683,0.022064851908518382,"[0.3605559613696391, 0.3779960809042581, 0.4188203460914485, 0.3802256866874816, 0.3713756327634069]",0.9096029969727087,0.007667355375568137,"[0.9054041176327968, 0.9107476408463228, 0.91981314559802, 0.8994538199969645, 0.9125962607894398]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'subspacealignmentadapter__n_components': [1, 2, 5, 10, 20, 50, 100]}"
OfficeHomeResnet,art$\rightarrow$clipart,TCA,circular_validation,Subspace,0.021689497716894962,0.001614399043804921,"[0.0228310502283105, 0.0194063926940639, 0.0205479452054794, 0.0228310502283105, 0.0228310502283105]",0.01461538461538454,0.001087856586440833,"[0.0153846153846153, 0.013076923076923, 0.0138461538461538, 0.0153846153846153, 0.0153846153846153]",0.0010601806659405002,0.00010991235334758256,"[0.0010192433137638, 0.0012552914073785, 0.0009878819810326, 0.0010192433137638, 0.0010192433137638]",0.49033706568047075,0.015340853612207156,"[0.4910741598011033, 0.5001918555228844, 0.5056154063734554, 0.4891417363874227, 0.4656621703174882]","{'finalestimator__estimator_name': ['SVC_C10.0_Gamma0.001'], 'transfercomponentanalysisadapter__kernel': ['rbf'], 'transfercomponentanalysisadapter__mu': [10, 100], 'transfercomponentanalysisadapter__n_components': [1, 2, 5, 10, 20, 50, 100]}"
