dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params
Phishing,ip_adress$\rightarrow$no_ip_adress,CORAL,circular_validation,Mapping,0.9343352070666514,0.010766498208136932,"[0.9261213720316622, 0.9432717678100264, 0.9327176781002638, 0.922266139657444, 0.9472990777338604]",0.9346970140725069,0.010497770047332412,"[0.9269802583475506, 0.9431948748302637, 0.9327217018906028, 0.9229564553093964, 0.9476317799847211]",0.9342738246300584,0.010829527452010178,"[0.9259591044477804, 0.943267323099762, 0.932718966488391, 0.9221361790668172, 0.9472875500475416]",0.9346970140725069,0.010497770047332412,"[0.9269802583475506, 0.9431948748302637, 0.9327217018906028, 0.9229564553093964, 0.9476317799847211]","{'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20']}"
Phishing,ip_adress$\rightarrow$no_ip_adress,KLIEP,circular_validation,Reweighting,0.9430381595002452,0.006877333209186706,"[0.9379947229551452, 0.9538258575197888, 0.9379947229551452, 0.9393939393939394, 0.9459815546772068]",0.9435685509885163,0.006816441327682769,"[0.9387521325859128, 0.954294766895303, 0.9385850074858118, 0.939763177998472, 0.9464476699770816]",0.9429931059209853,0.0068964901119424205,"[0.9378947909392576, 0.9538055211973904, 0.9379414930538206, 0.939375, 0.9459487244144582]",0.9435685509885163,0.006816441327682828,"[0.9387521325859128, 0.9542947668953032, 0.9385850074858118, 0.9397631779984722, 0.9464476699770816]","{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}"
Phishing,ip_adress$\rightarrow$no_ip_adress,KMM,circular_validation,Reweighting,0.9398750612700366,0.007534414421002356,"[0.9406332453825856, 0.949868073878628, 0.9353562005277044, 0.930171277997365, 0.9433465085639]",0.9404862807906491,0.00747315039254544,"[0.9411824100832143, 0.950356881724174, 0.9359876048884092, 0.9308632543926662, 0.9440412528647822]",0.9398061075051004,0.007561692674276089,"[0.9405913824138163, 0.949842938969114, 0.9352898908813092, 0.9300545337379884, 0.9432517915232737]",0.9404862807906491,0.007473150392545486,"[0.9411824100832142, 0.950356881724174, 0.9359876048884092, 0.930863254392666, 0.9440412528647822]","{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}"
Phishing,ip_adress$\rightarrow$no_ip_adress,MMD-LS,circular_validation,Mapping,0.9438290209656504,0.00967216531288343,"[0.941952506596306, 0.9551451187335092, 0.934036939313984, 0.9354413702239788, 0.9525691699604744]",0.9443609000997425,0.009665789898198524,"[0.9424811113819156, 0.9556770307440547, 0.9346471223146826, 0.9359052711993888, 0.9530939648586708]",0.9437878829859849,0.009680987239187306,"[0.9419157195754432, 0.9551166923992062, 0.9339749094087696, 0.9354021340563036, 0.9525299594902024]",0.9443609000997425,0.009665789898198524,"[0.9424811113819156, 0.9556770307440547, 0.9346471223146826, 0.9359052711993888, 0.9530939648586708]","{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20'], 'mmdlsconsmappingadapter__gamma': [0.1, 1, 10], 'mmdlsconsmappingadapter__max_iter': [100], 'mmdlsconsmappingadapter__reg_k': [1e-10, 1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-10, 1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}"
Phishing,ip_adress$\rightarrow$no_ip_adress,Train Src,circular_validation,NO DA,0.9438290209656504,0.00967216531288343,"[0.941952506596306, 0.9551451187335092, 0.934036939313984, 0.9354413702239788, 0.9525691699604744]",0.9443609000997425,0.009665789898198524,"[0.9424811113819156, 0.9556770307440547, 0.9346471223146826, 0.9359052711993888, 0.9530939648586708]",0.9437878829859849,0.009680987239187306,"[0.9419157195754432, 0.9551166923992062, 0.9339749094087696, 0.9354021340563036, 0.9525299594902024]",0.9443609000997425,0.009665789898198524,"[0.9424811113819156, 0.9556770307440547, 0.9346471223146826, 0.9359052711993888, 0.9530939648586708]",{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20']}
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20']}
Phishing,ip_adress$\rightarrow$no_ip_adress,Train Tgt,circular_validation,NO DA,0.9654527377711959,0.009845300183936846,"[0.9630606860158312, 0.9762532981530344, 0.9538258575197888, 0.9591567852437418, 0.9749670619235836]",0.9655149234931605,0.009905518032481046,"[0.9632185508861112, 0.9763309076982, 0.9538769541450508, 0.9590145148968678, 0.9751336898395722]",0.9654522166022407,0.0098465162784908,"[0.9630627433862292, 0.9762546208587942, 0.9538280276481425, 0.9591478470197008, 0.9749678440983368]",0.9655149234931605,0.009905518032481046,"[0.9632185508861112, 0.9763309076982, 0.9538769541450508, 0.9590145148968678, 0.9751336898395722]",{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20']}
Phishing,ip_adress$\rightarrow$no_ip_adress,OTLabelProp,circular_validation,Other,0.8591807718112638,0.009732012166315798,"[0.862796833773087, 0.8548812664907651, 0.8733509234828496, 0.847167325428195, 0.857707509881423]",0.8606411992045173,0.009665013916045106,"[0.8641412207095853, 0.8563072316423523, 0.8746979561992967, 0.848663101604278, 0.8593964858670742]",0.8579950617926425,0.010007328246121073,"[0.8619414261018756, 0.8538497852967045, 0.8725613164017313, 0.8456906812294336, 0.8559320999334672]",0.8606411992045173,0.009665013916045084,"[0.8641412207095853, 0.8563072316423522, 0.8746979561992967, 0.8486631016042782, 0.8593964858670742]","{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__reg': [None, 0.1, 1.0]}"
Phishing,ip_adress$\rightarrow$no_ip_adress,JPCA,circular_validation,Subspace,0.919302581858507,0.01020015730810904,"[0.9182058047493404, 0.9287598944591028, 0.9063324538258576, 0.9130434782608696, 0.930171277997365]",0.9199920943273726,0.010198100026915987,"[0.9188120190801156, 0.9294523171198774, 0.9070819261167786, 0.9137127578304048, 0.9309014514896868]",0.9191847330164039,0.010214291795749422,"[0.9181288876668742, 0.9286670718578196, 0.9061814926954742, 0.9129074802530892, 0.9300387326087624]",0.9199920943273726,0.010198100026916053,"[0.9188120190801156, 0.9294523171198774, 0.9070819261167784, 0.913712757830405, 0.9309014514896868]","{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}"
Phishing,ip_adress$\rightarrow$no_ip_adress,MMDTarS,circular_validation,Reweighting,0.9409290797153593,0.00870750964151767,"[0.941952506596306, 0.949868073878628, 0.934036939313984, 0.930171277997365, 0.9486166007905138]",0.9414008606123414,0.008632039230664934,"[0.9425228926569408, 0.9502315378990982, 0.9346471223146826, 0.9306340718105424, 0.9489686783804432]",0.9408945331121421,0.008726159056523622,"[0.9419072255327569, 0.9498586500593866, 0.9339749094087696, 0.9301288388772264, 0.9486030416825711]",0.9414008606123414,0.008632039230664934,"[0.9425228926569408, 0.9502315378990982, 0.9346471223146826, 0.9306340718105424, 0.9489686783804432]","{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}"
