dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params,cv_score
Phishing,ip_adress$\rightarrow$no_ip_adress,CORAL,circular_validation,Mapping,0.9343352070666514,0.010766498208136932,"[0.9261213720316622, 0.9432717678100264, 0.9327176781002638, 0.922266139657444, 0.9472990777338604]",0.9346970140725069,0.010497770047332412,"[0.9269802583475506, 0.9431948748302637, 0.9327217018906028, 0.9229564553093964, 0.9476317799847211]",0.9342738246300584,0.010829527452010178,"[0.9259591044477804, 0.943267323099762, 0.932718966488391, 0.9221361790668172, 0.9472875500475416]",0.9346970140725069,0.010497770047332412,"[0.9269802583475506, 0.9431948748302637, 0.9327217018906028, 0.9229564553093964, 0.9476317799847211]","{'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20']}","[0.90318885, 0.89970367, 0.89557282, 0.90710856, 0.89919825]"
Phishing,ip_adress$\rightarrow$no_ip_adress,KLIEP,circular_validation,Reweighting,0.9430381595002452,0.006877333209186706,"[0.9379947229551452, 0.9538258575197888, 0.9379947229551452, 0.9393939393939394, 0.9459815546772068]",0.9435685509885163,0.006816441327682769,"[0.9387521325859128, 0.954294766895303, 0.9385850074858118, 0.939763177998472, 0.9464476699770816]",0.9429931059209853,0.0068964901119424205,"[0.9378947909392576, 0.9538055211973904, 0.9379414930538206, 0.939375, 0.9459487244144582]",0.9435685509885163,0.006816441327682828,"[0.9387521325859128, 0.9542947668953032, 0.9385850074858118, 0.9397631779984722, 0.9464476699770816]","{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}","[0.91895626, 0.91060507, 0.90534437, 0.91431144, 0.91528469]"
Phishing,ip_adress$\rightarrow$no_ip_adress,KMM,circular_validation,Reweighting,0.9398750612700366,0.007534414421002356,"[0.9406332453825856, 0.949868073878628, 0.9353562005277044, 0.930171277997365, 0.9433465085639]",0.9404862807906491,0.00747315039254544,"[0.9411824100832143, 0.950356881724174, 0.9359876048884092, 0.9308632543926662, 0.9440412528647822]",0.9398061075051004,0.007561692674276089,"[0.9405913824138163, 0.949842938969114, 0.9352898908813092, 0.9300545337379884, 0.9432517915232737]",0.9404862807906491,0.007473150392545486,"[0.9411824100832142, 0.950356881724174, 0.9359876048884092, 0.930863254392666, 0.9440412528647822]","{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}","[0.90057703, 0.9038287, 0.89614771, 0.90270537, 0.90142771]"
Phishing,ip_adress$\rightarrow$no_ip_adress,Train Src,circular_validation,NO DA,0.9438290209656504,0.00967216531288343,"[0.941952506596306, 0.9551451187335092, 0.934036939313984, 0.9354413702239788, 0.9525691699604744]",0.9443609000997425,0.009665789898198524,"[0.9424811113819156, 0.9556770307440547, 0.9346471223146826, 0.9359052711993888, 0.9530939648586708]",0.9437878829859849,0.009680987239187306,"[0.9419157195754432, 0.9551166923992062, 0.9339749094087696, 0.9354021340563036, 0.9525299594902024]",0.9443609000997425,0.009665789898198524,"[0.9424811113819156, 0.9556770307440547, 0.9346471223146826, 0.9359052711993888, 0.9530939648586708]",{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20']},"[0.91403846, 0.90684931, 0.90456968, 0.90060453, 0.91124164]"
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20']},"[NaN, NaN, NaN, NaN, NaN]"
Phishing,ip_adress$\rightarrow$no_ip_adress,Train Tgt,circular_validation,NO DA,0.9654527377711959,0.009845300183936846,"[0.9630606860158312, 0.9762532981530344, 0.9538258575197888, 0.9591567852437418, 0.9749670619235836]",0.9655149234931605,0.009905518032481046,"[0.9632185508861112, 0.9763309076982, 0.9538769541450508, 0.9590145148968678, 0.9751336898395722]",0.9654522166022407,0.0098465162784908,"[0.9630627433862292, 0.9762546208587942, 0.9538280276481425, 0.9591478470197008, 0.9749678440983368]",0.9655149234931605,0.009905518032481046,"[0.9632185508861112, 0.9763309076982, 0.9538769541450508, 0.9590145148968678, 0.9751336898395722]",{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20']},"[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
Phishing,ip_adress$\rightarrow$no_ip_adress,JPCA,circular_validation,Subspace,0.919302581858507,0.01020015730810904,"[0.9182058047493404, 0.9287598944591028, 0.9063324538258576, 0.9130434782608696, 0.930171277997365]",0.9199920943273726,0.010198100026915987,"[0.9188120190801156, 0.9294523171198774, 0.9070819261167786, 0.9137127578304048, 0.9309014514896868]",0.9191847330164039,0.010214291795749422,"[0.9181288876668742, 0.9286670718578196, 0.9061814926954742, 0.9129074802530892, 0.9300387326087624]",0.9199920943273726,0.010198100026916053,"[0.9188120190801156, 0.9294523171198774, 0.9070819261167784, 0.913712757830405, 0.9309014514896868]","{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}","[0.89652524, 0.89015184, 0.88799969, 0.89663437, 0.89323444]"
Phishing,ip_adress$\rightarrow$no_ip_adress,MMDTarS,circular_validation,Reweighting,0.9409290797153593,0.00870750964151767,"[0.941952506596306, 0.949868073878628, 0.934036939313984, 0.930171277997365, 0.9486166007905138]",0.9414008606123414,0.008632039230664934,"[0.9425228926569408, 0.9502315378990982, 0.9346471223146826, 0.9306340718105424, 0.9489686783804432]",0.9408945331121421,0.008726159056523622,"[0.9419072255327569, 0.9498586500593866, 0.9339749094087696, 0.9301288388772264, 0.9486030416825711]",0.9414008606123414,0.008632039230664934,"[0.9425228926569408, 0.9502315378990982, 0.9346471223146826, 0.9306340718105424, 0.9489686783804432]","{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}","[0.91782548, 0.91755734, 0.90861901, 0.91385268, 0.91335105]"
Phishing,ip_adress$\rightarrow$no_ip_adress,Dens. RW,circular_validation,Reweighting,0.9406645322097885,0.012438499963587556,"[0.9366754617414248, 0.9551451187335092, 0.9300791556728232, 0.9288537549407114, 0.9525691699604744]",0.9411807511208237,0.012451413269949944,"[0.9373280874621356, 0.9556352494690296, 0.930625674593503, 0.9292207792207792, 0.9530939648586708]",0.9406237674767128,0.012444015000430419,"[0.9366048761517928, 0.955122629603944, 0.9300298503984948, 0.9288315217391304, 0.9525299594902024]",0.9411807511208237,0.012451413269949944,"[0.9373280874621356, 0.9556352494690296, 0.930625674593503, 0.9292207792207792, 0.9530939648586708]","{'densityreweightadapter__weight_estimator__bandwidth': [0.01, 0.1, 1.0, 10.0, 100.0, 'scott', 'silverman'], 'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20']}","[0.9138074, 0.90715851, 0.90282295, 0.90475047, 0.91095009]"
Phishing,ip_adress$\rightarrow$no_ip_adress,Disc. RW,circular_validation,Reweighting,0.9393477044159617,0.009451412942094886,"[0.9353562005277044, 0.9551451187335092, 0.934036939313984, 0.9314888010540184, 0.9407114624505928]",0.9398354964700968,0.009395472612340526,"[0.935945823613384, 0.9555516869189792, 0.9346471223146826, 0.9319327731092436, 0.941100076394194]",0.9393099545442171,0.00946771132785412,"[0.935300705524196, 0.9551326265124428, 0.9339749094087696, 0.9314516851507708, 0.940689846124906]",0.9398354964700968,0.009395472612340526,"[0.935945823613384, 0.9555516869189792, 0.9346471223146826, 0.9319327731092436, 0.941100076394194]","{'discriminatorreweightadapter__domain_classifier__estimator_name': ['LR', 'SVC', 'KNN', 'XGB'], 'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20']}","[0.91473255, 0.91309768, 0.90456968, 0.90774738, 0.91324387]"
