dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params,cv_score
Phishing,ip_adress$\rightarrow$no_ip_adress,CORAL,circular_validation,Mapping,0.931173151730683,0.008695539857277647,"[0.924802110817942, 0.9445910290237468, 0.9327176781002638, 0.922266139657444, 0.9314888010540184]",0.9317073795152963,0.00849476138455021,"[0.9255979944987988, 0.944869607604192, 0.9327217018906028, 0.9229564553093964, 0.9323911382734912]",0.931076936024674,0.008751505428960166,"[0.9246641210172, 0.9445883287814963, 0.932718966488391, 0.9221361790668172, 0.9312770847694654]",0.9317073795152963,0.00849476138455021,"[0.9255979944987988, 0.944869607604192, 0.9327217018906028, 0.9229564553093964, 0.9323911382734912]","{'coraladapter__assume_centered': [False, True], 'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20']}","[0.90550463, 0.9044281, 0.89557282, 0.90710856, 0.91401561]"
Phishing,ip_adress$\rightarrow$no_ip_adress,KLIEP,circular_validation,Reweighting,0.9430381595002452,0.006877333209186706,"[0.9379947229551452, 0.9538258575197888, 0.9379947229551452, 0.9393939393939394, 0.9459815546772068]",0.9435685509885163,0.006816441327682769,"[0.9387521325859128, 0.954294766895303, 0.9385850074858118, 0.939763177998472, 0.9464476699770816]",0.9429931059209853,0.0068964901119424205,"[0.9378947909392576, 0.9538055211973904, 0.9379414930538206, 0.939375, 0.9459487244144582]",0.9435685509885163,0.006816441327682828,"[0.9387521325859128, 0.9542947668953032, 0.9385850074858118, 0.9397631779984722, 0.9464476699770816]","{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}","[0.91895626, 0.91060507, 0.90534437, 0.91431144, 0.91528469]"
Phishing,ip_adress$\rightarrow$no_ip_adress,KMM,circular_validation,Reweighting,0.9398750612700366,0.007534414421002356,"[0.9406332453825856, 0.949868073878628, 0.9353562005277044, 0.930171277997365, 0.9433465085639]",0.9404862807906491,0.00747315039254544,"[0.9411824100832143, 0.950356881724174, 0.9359876048884092, 0.9308632543926662, 0.9440412528647822]",0.9398061075051004,0.007561692674276089,"[0.9405913824138163, 0.949842938969114, 0.9352898908813092, 0.9300545337379884, 0.9432517915232737]",0.9404862807906491,0.007473150392545486,"[0.9411824100832142, 0.950356881724174, 0.9359876048884092, 0.930863254392666, 0.9440412528647822]","{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}","[0.90057703, 0.90540106, 0.89794132, 0.90270537, 0.90142771]"
Phishing,ip_adress$\rightarrow$no_ip_adress,Train Src,circular_validation,NO DA,0.9438290209656504,0.00967216531288343,"[0.941952506596306, 0.9551451187335092, 0.934036939313984, 0.9354413702239788, 0.9525691699604744]",0.9443609000997425,0.009665789898198524,"[0.9424811113819156, 0.9556770307440547, 0.9346471223146826, 0.9359052711993888, 0.9530939648586708]",0.9437878829859849,0.009680987239187306,"[0.9419157195754432, 0.9551166923992062, 0.9339749094087696, 0.9354021340563036, 0.9525299594902024]",0.9443609000997425,0.009665789898198524,"[0.9424811113819156, 0.9556770307440547, 0.9346471223146826, 0.9359052711993888, 0.9530939648586708]",{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20']},"[0.91403846, 0.90684931, 0.90456968, 0.90060453, 0.91124164]"
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20']},"[NaN, NaN, NaN, NaN, NaN]"
Phishing,ip_adress$\rightarrow$no_ip_adress,Train Tgt,circular_validation,NO DA,0.9654527377711959,0.009845300183936846,"[0.9630606860158312, 0.9762532981530344, 0.9538258575197888, 0.9591567852437418, 0.9749670619235836]",0.9655149234931605,0.009905518032481046,"[0.9632185508861112, 0.9763309076982, 0.9538769541450508, 0.9590145148968678, 0.9751336898395722]",0.9654522166022407,0.0098465162784908,"[0.9630627433862292, 0.9762546208587942, 0.9538280276481425, 0.9591478470197008, 0.9749678440983368]",0.9655149234931605,0.009905518032481046,"[0.9632185508861112, 0.9763309076982, 0.9538769541450508, 0.9590145148968678, 0.9751336898395722]",{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20']},"[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
Phishing,ip_adress$\rightarrow$no_ip_adress,JPCA,circular_validation,Subspace,0.9190352533016293,0.011177870074972132,"[0.9221635883905012, 0.9142480211081794, 0.9023746701846964, 0.924901185770751, 0.9314888010540184]",0.9197051347958144,0.0112065172676999,"[0.9228752480763204, 0.9149159151840116, 0.9030186971205738, 0.9254392666157372, 0.9322765469824292]",0.9189263194807886,0.01116977090286856,"[0.9220544342250832, 0.9141445134602154, 0.9022658507340138, 0.9248330987461424, 0.9313337002384884]",0.9197051347958144,0.011206517267699842,"[0.9228752480763204, 0.9149159151840118, 0.9030186971205738, 0.925439266615737, 0.9322765469824292]","{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}","[0.89461488, 0.89492408, 0.88857948, 0.89199108, 0.89164809]"
Phishing,ip_adress$\rightarrow$no_ip_adress,MMDTarS,circular_validation,Reweighting,0.9430395500258986,0.009828944991319574,"[0.941952506596306, 0.9564643799472295, 0.9366754617414248, 0.9314888010540184, 0.9486166007905138]",0.9434787826902635,0.009814016328141563,"[0.9425228926569408, 0.9568921694927056, 0.9370773998119842, 0.9319327731092436, 0.9489686783804432]",0.943013967026164,0.009837149535013282,"[0.9419072255327569, 0.956450057100096, 0.9366578256646252, 0.9314516851507708, 0.9486030416825711]",0.9434787826902635,0.009814016328141622,"[0.9425228926569408, 0.9568921694927056, 0.937077399811984, 0.9319327731092436, 0.9489686783804432]","{'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}","[0.91853765, 0.91634352, 0.90667984, 0.91445292, 0.91335105]"
Phishing,ip_adress$\rightarrow$no_ip_adress,Dens. RW,circular_validation,Reweighting,0.9406645322097885,0.012438499963587556,"[0.9366754617414248, 0.9551451187335092, 0.9300791556728232, 0.9288537549407114, 0.9525691699604744]",0.9411807511208237,0.012451413269949944,"[0.9373280874621356, 0.9556352494690296, 0.930625674593503, 0.9292207792207792, 0.9530939648586708]",0.9406237674767128,0.012444015000430419,"[0.9366048761517928, 0.955122629603944, 0.9300298503984948, 0.9288315217391304, 0.9525299594902024]",0.9411807511208237,0.012451413269949944,"[0.9373280874621356, 0.9556352494690296, 0.930625674593503, 0.9292207792207792, 0.9530939648586708]","{'densityreweightadapter__weight_estimator__bandwidth': [0.01, 0.1, 1.0, 10.0, 100.0, 'scott', 'silverman'], 'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20']}","[0.9138074, 0.90715851, 0.90282295, 0.90475047, 0.91095009]"
Phishing,ip_adress$\rightarrow$no_ip_adress,Disc. RW,circular_validation,Reweighting,0.9398754089014499,0.009244226871828083,"[0.9379947229551452, 0.9551451187335092, 0.934036939313984, 0.9314888010540184, 0.9407114624505928]",0.9403633332445823,0.009212936996515096,"[0.9387521325859128, 0.9555516869189792, 0.9344799972145816, 0.9319327731092436, 0.941100076394194]",0.9398361252905115,0.009256127617113662,"[0.9378947909392576, 0.9551326265124428, 0.9340116777251798, 0.9314516851507708, 0.940689846124906]",0.9403633332445823,0.009212936996515096,"[0.9387521325859128, 0.9555516869189792, 0.9344799972145816, 0.9319327731092436, 0.941100076394194]","{'discriminatorreweightadapter__domain_classifier__estimator_name': ['LR', 'SVC', 'KNN', 'XGB'], 'finalestimator__estimator_name': ['XGB_subsample0.8_colsample0.65_maxdepth20']}","[0.91559764, 0.91309768, 0.90509186, 0.9062425, 0.91324387]"
