dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params,cv_score
Simulated,concept_drift,CORAL,circular_validation,Mapping,0.6635,0.0295187087567642,"[0.63125, 0.64375, 0.7, 0.65, 0.6625, 0.69375, 0.69375, 0.71875, 0.63125, 0.7, 0.60625, 0.7, 0.65, 0.66875, 0.68125, 0.6625, 0.625, 0.65625, 0.65, 0.69375, 0.6625, 0.6125, 0.65, 0.66875, 0.675]",0.6635,0.029518708756764208,"[0.63125, 0.64375, 0.7, 0.65, 0.6625000000000001, 0.69375, 0.69375, 0.71875, 0.63125, 0.7, 0.60625, 0.7, 0.65, 0.66875, 0.68125, 0.6625, 0.625, 0.65625, 0.65, 0.69375, 0.6625, 0.6125, 0.65, 0.66875, 0.675]",0.6258118382491888,0.039308370751956756,"[0.5818383167220377, 0.5960132890365448, 0.6754563894523326, 0.6011396011396011, 0.6226415094339622, 0.6620543988965041, 0.6699086354258769, 0.6968548692686625, 0.5818383167220377, 0.6729688298415943, 0.5534883720930233, 0.6799999999999999, 0.6050079351084465, 0.6312883168833427, 0.6511478773887391, 0.6291208791208792, 0.5767942161876213, 0.6173746684638463, 0.6121212121212121, 0.6674443266171792, 0.625974025974026, 0.5584045584045583, 0.6086652690426275, 0.6279233030582247, 0.6398268398268397]",0.6635,0.02951870875676423,"[0.63125, 0.64375, 0.7000000000000001, 0.65, 0.6625, 0.69375, 0.69375, 0.71875, 0.63125, 0.7000000000000001, 0.60625, 0.7, 0.65, 0.6687500000000001, 0.68125, 0.6625000000000001, 0.625, 0.65625, 0.65, 0.69375, 0.6625000000000001, 0.6124999999999999, 0.6499999999999999, 0.66875, 0.6750000000000002]","{'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['SVC']}","[0.8796875, 0.8765625, 0.846875, 0.8453125, 0.859375, 0.846875, 0.89375, 0.865625, 0.86875, 0.8453125, 0.8234375, 0.8390625, 0.86875, 0.7875, 0.8203125, 0.871875, 0.865625, 0.878125, 0.85625, 0.85625, 0.8296875, 0.8734375, 0.8890625, 0.8734375, 0.859375]"
Simulated,concept_drift,DASVM,circular_validation,Other,0.6475,0.028298078556679408,"[0.64375, 0.6375, 0.7, 0.6, 0.64375, 0.6625, 0.6875, 0.7125, 0.6625, 0.675, 0.61875, 0.63125, 0.6375, 0.60625, 0.66875, 0.6125, 0.63125, 0.64375, 0.65625, 0.6375, 0.675, 0.61875, 0.65625, 0.63125, 0.6375]",0.6475,0.028298078556679415,"[0.64375, 0.6375, 0.7, 0.6, 0.64375, 0.6625000000000001, 0.6875, 0.7125, 0.6625, 0.675, 0.6187499999999999, 0.63125, 0.6375, 0.6062500000000001, 0.66875, 0.6125, 0.63125, 0.64375, 0.65625, 0.6375, 0.675, 0.61875, 0.65625, 0.63125, 0.6375]",0.6036535108170613,0.03974019861494921,"[0.5998420429116756, 0.586894586894587, 0.6729688298415943, 0.5293252436109579, 0.5960132890365448, 0.6226415094339622, 0.6643732169827152, 0.6889790398918187, 0.6291208791208792, 0.6428571428571429, 0.5717607827651265, 0.5895473716248533, 0.586894586894587, 0.5392842451665981, 0.6344670028880556, 0.5584045584045583, 0.5818383167220377, 0.5998420429116756, 0.6173746684638463, 0.5909010756480338, 0.6428571428571429, 0.5676633444075304, 0.6173746684638463, 0.5732175957321759, 0.586894586894587]",0.6475,0.0282980785566794,"[0.6437499999999999, 0.6375000000000001, 0.7000000000000001, 0.6, 0.64375, 0.6625, 0.6875, 0.7125, 0.6625000000000001, 0.6749999999999999, 0.61875, 0.63125, 0.6375000000000001, 0.6062500000000002, 0.66875, 0.6124999999999999, 0.63125, 0.6437499999999999, 0.65625, 0.6375000000000001, 0.6749999999999999, 0.6187499999999999, 0.65625, 0.63125, 0.6375000000000001]","{'dasvmclassifier__base_estimator__estimator_name': ['SVC'], 'dasvmclassifier__max_iter': [200]}","[0.7921875, 0.7890625, 0.784375, 0.715625, 0.7578125, 0.865625, 0.85, 0.8453125, 0.8640625, 0.8640625, 0.75, 0.75625, 0.8203125, 0.6609375, 0.7328125, 0.7328125, 0.7828125, 0.8125, 0.784375, 0.7515625, 0.8, 0.8234375, 0.80625, 0.7546875, 0.7265625]"
Simulated,concept_drift,JDOT,circular_validation,Other,0.81575,0.03385592944128598,"[0.76875, 0.7875, 0.8375, 0.8, 0.83125, 0.825, 0.80625, 0.85, 0.83125, 0.83125, 0.83125, 0.78125, 0.8375, 0.925, 0.81875, 0.79375, 0.78125, 0.8, 0.7875, 0.80625, 0.85, 0.76875, 0.78125, 0.83125, 0.83125]",0.81575,0.033855929441285966,"[0.76875, 0.7875000000000001, 0.8375, 0.8, 0.83125, 0.825, 0.8062499999999999, 0.85, 0.83125, 0.83125, 0.83125, 0.78125, 0.8375, 0.925, 0.81875, 0.79375, 0.78125, 0.8, 0.7875, 0.8062499999999999, 0.85, 0.76875, 0.78125, 0.83125, 0.83125]",0.8154740951061052,0.03402452914799192,"[0.7687409664440018, 0.7869674185463659, 0.8372711625723674, 0.7994987468671679, 0.8312434079456228, 0.825, 0.8061818608104412, 0.85, 0.8311906529639327, 0.8312434079456228, 0.8311906529639327, 0.7802111542839201, 0.8375, 0.9249882794186592, 0.8181746933657275, 0.7923793794974637, 0.7811730686569497, 0.7988686360779385, 0.7875, 0.8058784392000312, 0.849906191369606, 0.7680159880873074, 0.7812414547443259, 0.8312434079456228, 0.8312434079456228]",0.81575,0.03385592944128595,"[0.76875, 0.7875000000000001, 0.8375, 0.8, 0.8312499999999999, 0.825, 0.8062499999999999, 0.85, 0.8312499999999999, 0.8312499999999999, 0.83125, 0.7812500000000001, 0.8374999999999999, 0.925, 0.81875, 0.79375, 0.78125, 0.8, 0.7875, 0.80625, 0.85, 0.7687499999999999, 0.78125, 0.8312499999999999, 0.8312499999999999]","{'jdotclassifier__alpha': [0.1, 0.3, 0.5, 0.7, 0.9], 'jdotclassifier__base_estimator__estimator_name': ['SVC'], 'jdotclassifier__n_iter_max': [100], 'jdotclassifier__thr_weights': [1e-07], 'jdotclassifier__tol': [1e-06]}","[0.8703125, 0.85, 0.865625, 0.8640625, 0.834375, 0.825, 0.884375, 0.871875, 0.8546875, 0.8578125, 0.8359375, 0.846875, 0.871875, 0.834375, 0.85, 0.86875, 0.8671875, 0.878125, 0.8796875, 0.8796875, 0.8484375, 0.890625, 0.865625, 0.8796875, 0.8703125]"
Simulated,concept_drift,KLIEP,circular_validation,Reweighting,0.65875,0.0240712916839403,"[0.6625, 0.65625, 0.7, 0.64375, 0.66875, 0.65625, 0.68125, 0.69375, 0.65, 0.66875, 0.6125, 0.64375, 0.63125, 0.68125, 0.66875, 0.69375, 0.65, 0.65625, 0.68125, 0.675, 0.64375, 0.6, 0.64375, 0.6625, 0.64375]",0.65875,0.024071291683940295,"[0.6625, 0.65625, 0.7, 0.64375, 0.66875, 0.65625, 0.6812499999999999, 0.6937500000000001, 0.65, 0.66875, 0.6125, 0.64375, 0.6312500000000001, 0.68125, 0.66875, 0.69375, 0.65, 0.65625, 0.68125, 0.675, 0.64375, 0.6, 0.64375, 0.6625, 0.64375]",0.6190079853612792,0.03372563767632428,"[0.625974025974026, 0.6138826729849501, 0.6754563894523326, 0.5960132890365448, 0.6312883168833427, 0.6101882613510521, 0.656435518504484, 0.6648283527852593, 0.6121212121212121, 0.6312883168833427, 0.5584045584045583, 0.6034610200443498, 0.5776475325488792, 0.6482607008922798, 0.6344670028880556, 0.6699086354258769, 0.6086652690426275, 0.6173746684638463, 0.6511478773887391, 0.6428571428571429, 0.5998420429116756, 0.5345454545454545, 0.5960132890365448, 0.6191147945688591, 0.5960132890365448]",0.65875,0.024071291683940316,"[0.6625000000000001, 0.65625, 0.7000000000000001, 0.64375, 0.6687500000000001, 0.65625, 0.6812499999999999, 0.69375, 0.65, 0.6687500000000001, 0.6124999999999999, 0.64375, 0.63125, 0.68125, 0.66875, 0.69375, 0.6499999999999999, 0.65625, 0.68125, 0.6749999999999999, 0.6437499999999999, 0.6, 0.64375, 0.6625, 0.64375]","{'finalestimator__estimator_name': ['SVC'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}","[0.8859375, 0.8765625, 0.8765625, 0.86875, 0.8515625, 0.875, 0.896875, 0.8953125, 0.8734375, 0.85625, 0.8265625, 0.85625, 0.865625, 0.8125, 0.821875, 0.8875, 0.8734375, 0.89375, 0.8828125, 0.875, 0.840625, 0.8890625, 0.8796875, 0.8765625, 0.8671875]"
Simulated,concept_drift,KMM,circular_validation,Reweighting,0.645,0.040824829046386304,"[0.6625, 0.625, 0.7125, 0.6375, 0.6375, 0.6375, 0.69375, 0.70625, 0.625, 0.6875, 0.625, 0.6, 0.64375, 0.75625, 0.6875, 0.61875, 0.61875, 0.65, 0.63125, 0.63125, 0.6, 0.6125, 0.625, 0.5875, 0.6125]",0.645,0.04082482904638628,"[0.6625, 0.625, 0.7124999999999999, 0.6375, 0.6375, 0.6375, 0.69375, 0.70625, 0.625, 0.6875, 0.625, 0.6, 0.64375, 0.7562500000000001, 0.6875, 0.61875, 0.61875, 0.65, 0.6312500000000001, 0.63125, 0.6, 0.6125, 0.625, 0.5875, 0.6125]",0.5988968353871046,0.056472307416608504,"[0.625974025974026, 0.5726495726495726, 0.6953137936744495, 0.586894586894587, 0.586894586894587, 0.586894586894587, 0.6699086354258769, 0.6785088281817793, 0.5726495726495726, 0.6593425310849941, 0.5844155844155845, 0.5441595441595442, 0.5998420429116756, 0.7424786430605423, 0.6593425310849941, 0.5676633444075304, 0.563330499753926, 0.6086652690426275, 0.5776475325488792, 0.5818383167220377, 0.5293252436109579, 0.5584045584045583, 0.5682676740420939, 0.5029184710977217, 0.5490909090909091]",0.645,0.04082482904638631,"[0.6625000000000001, 0.6249999999999999, 0.7125, 0.6375000000000001, 0.6375000000000001, 0.6375000000000001, 0.69375, 0.70625, 0.6249999999999999, 0.6875, 0.625, 0.6, 0.6437499999999999, 0.75625, 0.6875, 0.6187499999999999, 0.61875, 0.6499999999999999, 0.63125, 0.63125, 0.6, 0.6124999999999999, 0.625, 0.5875, 0.6125]","{'finalestimator__estimator_name': ['SVC'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}","[0.8765625, 0.878125, 0.8703125, 0.8640625, 0.853125, 0.8765625, 0.89375, 0.890625, 0.875, 0.8625, 0.834375, 0.865625, 0.8515625, 0.8359375, 0.834375, 0.86875, 0.88125, 0.8703125, 0.878125, 0.8671875, 0.84375, 0.878125, 0.8484375, 0.8859375, 0.840625]"
Simulated,concept_drift,MMD-LS,circular_validation,Mapping,0.7745000000000001,0.06507507683437645,"[0.775, 0.8, 0.8375, 0.65, 0.6875, 0.8125, 0.775, 0.73125, 0.83125, 0.74375, 0.65, 0.7875, 0.74375, 0.90625, 0.80625, 0.80625, 0.8, 0.79375, 0.79375, 0.81875, 0.84375, 0.75625, 0.70625, 0.84375, 0.6625]",0.7745000000000001,0.06507507683437645,"[0.7749999999999999, 0.8, 0.8374999999999999, 0.65, 0.6875, 0.8125, 0.775, 0.73125, 0.83125, 0.7437499999999999, 0.65, 0.7875, 0.7437499999999999, 0.90625, 0.8062499999999999, 0.80625, 0.8, 0.79375, 0.79375, 0.8187500000000001, 0.84375, 0.7562500000000001, 0.70625, 0.84375, 0.6625]",0.7664708579170323,0.07656237009073312,"[0.7749648382559775, 0.7994987468671679, 0.837092731829574, 0.6086652690426275, 0.6565934065934066, 0.8122359568142701, 0.7698209718670077, 0.7123625569630837, 0.8310850439882698, 0.7292724196277496, 0.624098003020641, 0.7873671044402751, 0.7362389932049375, 0.906217029424407, 0.8061818608104412, 0.805329879508615, 0.7999687451164245, 0.7927705168962675, 0.7937419430446502, 0.818686256887187, 0.843743896245947, 0.7546301757697298, 0.6914871794871795, 0.843743896245947, 0.625974025974026]",0.7745000000000001,0.06507507683437644,"[0.775, 0.8, 0.8374999999999999, 0.6499999999999999, 0.6875, 0.8124999999999999, 0.775, 0.7312500000000001, 0.8312500000000002, 0.7437499999999999, 0.65, 0.7874999999999999, 0.7437499999999999, 0.90625, 0.8062499999999999, 0.80625, 0.7999999999999999, 0.7937500000000001, 0.79375, 0.81875, 0.8437500000000001, 0.75625, 0.70625, 0.84375, 0.6625000000000001]","{'finalestimator__estimator_name': ['SVC'], 'mmdlsconsmappingadapter__gamma': [0.1, 1, 10], 'mmdlsconsmappingadapter__max_iter': [100], 'mmdlsconsmappingadapter__reg_k': [1e-10, 1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-10, 1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}","[0.871875, 0.8640625, 0.85625, 0.8640625, 0.8421875, 0.853125, 0.8625, 0.8875, 0.85, 0.8109375, 0.821875, 0.8453125, 0.84375, 0.8109375, 0.8359375, 0.8578125, 0.85625, 0.8625, 0.875, 0.8734375, 0.8546875, 0.875, 0.878125, 0.871875, 0.875]"
Simulated,concept_drift,Train Src,circular_validation,NO DA,0.66175,0.0238211653087473,"[0.6625, 0.65625, 0.7, 0.65, 0.66875, 0.6625, 0.7, 0.69375, 0.65625, 0.66875, 0.6125, 0.64375, 0.63125, 0.68125, 0.675, 0.69375, 0.65, 0.65625, 0.66875, 0.68125, 0.6625, 0.6125, 0.6375, 0.675, 0.64375]",0.66175,0.023821165308747297,"[0.6625, 0.65625, 0.7, 0.65, 0.66875, 0.6625000000000001, 0.7, 0.6937500000000001, 0.65625, 0.66875, 0.6125, 0.64375, 0.6312500000000001, 0.68125, 0.675, 0.69375, 0.65, 0.65625, 0.66875, 0.68125, 0.6625, 0.6125, 0.6375, 0.675, 0.64375]",0.624267149182694,0.0325497333707863,"[0.625974025974026, 0.6173746684638463, 0.6777982883034066, 0.6050079351084465, 0.6312883168833427, 0.6226415094339622, 0.6799999999999999, 0.6648283527852593, 0.6206733048838312, 0.6312883168833427, 0.5626873567272086, 0.6101064511991792, 0.5776475325488792, 0.6482607008922798, 0.6428571428571429, 0.6699086354258769, 0.6086652690426275, 0.6206733048838312, 0.6344670028880556, 0.6511478773887391, 0.625974025974026, 0.5538765965101637, 0.5909010756480338, 0.636617749825297, 0.5960132890365448]",0.66175,0.023821165308747314,"[0.6625000000000001, 0.65625, 0.7, 0.65, 0.6687500000000001, 0.6625, 0.7, 0.69375, 0.6562500000000001, 0.6687500000000001, 0.6124999999999999, 0.64375, 0.63125, 0.68125, 0.6749999999999999, 0.69375, 0.6499999999999999, 0.6562500000000001, 0.66875, 0.68125, 0.6625000000000001, 0.6125, 0.6375000000000001, 0.675, 0.64375]",{'finalestimator__estimator_name': ['SVC']},"[0.8859375, 0.8640625, 0.85625, 0.8609375, 0.8484375, 0.84375, 0.8953125, 0.8875, 0.86875, 0.8515625, 0.8234375, 0.8375, 0.865625, 0.8125, 0.8203125, 0.8875, 0.871875, 0.884375, 0.865625, 0.8734375, 0.8296875, 0.875, 0.8515625, 0.86875, 0.8578125]"
Simulated,concept_drift,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['SVC']},"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
Simulated,concept_drift,Train Tgt,circular_validation,NO DA,0.8170000000000001,0.026853188823676044,"[0.78125, 0.8, 0.83125, 0.8125, 0.81875, 0.81875, 0.8125, 0.8625, 0.825, 0.84375, 0.825, 0.775, 0.8125, 0.8875, 0.83125, 0.8125, 0.79375, 0.7875, 0.78125, 0.80625, 0.84375, 0.7875, 0.8, 0.83125, 0.84375]",0.8170000000000001,0.026853188823676037,"[0.78125, 0.8, 0.83125, 0.8125, 0.8187500000000001, 0.81875, 0.8125, 0.8625, 0.825, 0.84375, 0.825, 0.7749999999999999, 0.8125, 0.8875, 0.83125, 0.8125, 0.79375, 0.7875000000000001, 0.78125, 0.80625, 0.84375, 0.7875, 0.8, 0.83125, 0.84375]",0.8165039371484406,0.02705591986401915,"[0.7805556644069125, 0.7979797979797979, 0.8304486047333098, 0.8100965342617503, 0.8184024108645452, 0.8187429196452987, 0.8124706985466478, 0.8624140087554721, 0.8249726519768714, 0.8436950490406783, 0.8249726519768714, 0.7737272155876808, 0.81203007518797, 0.8874296435272045, 0.8304486047333098, 0.8114393463230674, 0.7937419430446502, 0.7862979258328096, 0.7812414547443259, 0.806060606060606, 0.8432540460049376, 0.7873671044402751, 0.7998749218261413, 0.8311906529639327, 0.843743896245947]",0.8170000000000001,0.026853188823676065,"[0.78125, 0.7999999999999999, 0.8312499999999998, 0.8125, 0.8187500000000001, 0.8187499999999999, 0.8125, 0.8625, 0.825, 0.84375, 0.825, 0.7749999999999999, 0.8125, 0.8875000000000001, 0.8312499999999998, 0.8125, 0.79375, 0.7875000000000001, 0.78125, 0.80625, 0.8437499999999999, 0.7874999999999999, 0.7999999999999999, 0.83125, 0.84375]",{'finalestimator__estimator_name': ['SVC']},"[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
Simulated,concept_drift,OTLabelProp,circular_validation,Other,0.8077500000000001,0.039375,"[0.76875, 0.78125, 0.8375, 0.80625, 0.7625, 0.825, 0.8125, 0.85, 0.73125, 0.83125, 0.83125, 0.76875, 0.825, 0.925, 0.81875, 0.8, 0.78125, 0.79375, 0.76875, 0.80625, 0.85, 0.76875, 0.7875, 0.83125, 0.83125]",0.8077500000000001,0.039375,"[0.76875, 0.78125, 0.8375, 0.80625, 0.7625, 0.825, 0.8125, 0.85, 0.73125, 0.83125, 0.83125, 0.76875, 0.825, 0.925, 0.81875, 0.8, 0.78125, 0.79375, 0.76875, 0.8062499999999999, 0.85, 0.76875, 0.7875, 0.83125, 0.83125]",0.8071334714370224,0.04016585294206681,"[0.7687409664440018, 0.7805556644069125, 0.8372711625723674, 0.806060606060606, 0.7621655452980753, 0.825, 0.8124706985466478, 0.85, 0.7233726026295686, 0.8312434079456228, 0.8311906529639327, 0.7680159880873074, 0.825, 0.9249882794186592, 0.8181746933657275, 0.7984569359156038, 0.7811730686569497, 0.7927705168962675, 0.7680159880873074, 0.8058784392000312, 0.849788765451416, 0.7680159880873074, 0.7875, 0.8312434079456228, 0.8312434079456228]",0.80775,0.039375000000000014,"[0.76875, 0.78125, 0.8375, 0.80625, 0.7625000000000001, 0.825, 0.8124999999999999, 0.85, 0.73125, 0.8312499999999999, 0.83125, 0.7687499999999999, 0.825, 0.925, 0.81875, 0.8, 0.78125, 0.7937500000000001, 0.7687499999999999, 0.80625, 0.8499999999999999, 0.7687499999999999, 0.7875, 0.8312499999999999, 0.8312499999999999]","{'finalestimator__estimator_name': ['SVC'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__reg': [None, 0.1, 1.0]}","[0.8703125, 0.859375, 0.8765625, 0.865625, 0.840625, 0.834375, 0.8890625, 0.871875, 0.8625, 0.859375, 0.8359375, 0.8609375, 0.878125, 0.834375, 0.85, 0.8703125, 0.8671875, 0.8828125, 0.8859375, 0.8796875, 0.8515625, 0.890625, 0.8671875, 0.8796875, 0.871875]"
