dataset,shift,estimator,scorer,type,target_accuracy-test-mean,target_accuracy-test-std,target_accuracy-test-identity,target_balanced_accuracy-test-mean,target_balanced_accuracy-test-std,target_balanced_accuracy-test-identity,target_f1_score-test-mean,target_f1_score-test-std,target_f1_score-test-identity,target_roc_auc_score-test-mean,target_roc_auc_score-test-std,target_roc_auc_score-test-identity,params,cv_score
Simulated,concept_drift,CORAL,circular_validation,Mapping,0.74075,0.0764852927038918,"[0.64375, 0.675, 0.81875, 0.79375, 0.66875, 0.8125, 0.8125, 0.8, 0.7875, 0.70625, 0.6, 0.76875, 0.76875, 0.86875, 0.66875, 0.675, 0.625, 0.675, 0.775, 0.80625, 0.83125, 0.63125, 0.7375, 0.80625, 0.7625]",0.74075,0.0764852927038918,"[0.64375, 0.675, 0.8187500000000001, 0.79375, 0.66875, 0.8125, 0.8125, 0.8, 0.7875, 0.70625, 0.6, 0.76875, 0.76875, 0.8687499999999999, 0.66875, 0.675, 0.625, 0.675, 0.775, 0.80625, 0.83125, 0.63125, 0.7375, 0.80625, 0.7625]",0.7256199344959707,0.09490960730542261,"[0.5998420429116756, 0.6398268398268397, 0.8175455153159531, 0.7937419430446502, 0.6344670028880556, 0.8123827392120073, 0.8124706985466478, 0.7988686360779385, 0.7873671044402751, 0.6833817523472696, 0.548580497266796, 0.768668672580204, 0.7676517916715726, 0.8687038411941698, 0.6429624015830913, 0.6457162323283938, 0.5767942161876213, 0.6398268398268397, 0.7741176470588235, 0.8062424313449743, 0.8311906529639327, 0.5858014128384011, 0.7371303395399782, 0.806060606060606, 0.7611565053425519]",0.74075,0.0764852927038918,"[0.6437499999999999, 0.6750000000000002, 0.8187500000000001, 0.79375, 0.66875, 0.8125, 0.8124999999999999, 0.8, 0.7874999999999999, 0.70625, 0.6, 0.76875, 0.76875, 0.86875, 0.66875, 0.675, 0.625, 0.6750000000000002, 0.7749999999999999, 0.8062500000000001, 0.83125, 0.63125, 0.7374999999999999, 0.80625, 0.7625000000000001]","{'coraladapter__assume_centered': [False, True], 'coraladapter__reg': ['auto'], 'finalestimator__estimator_name': ['XGB']}","[0.8609375, 0.853125, 0.8703125, 0.8671875, 0.8375, 0.8546875, 0.8734375, 0.853125, 0.878125, 0.8453125, 0.8140625, 0.8453125, 0.8515625, 0.8171875, 0.8359375, 0.8734375, 0.8671875, 0.8546875, 0.8703125, 0.859375, 0.8296875, 0.8640625, 0.85, 0.8796875, 0.8578125]"
Simulated,concept_drift,KLIEP,circular_validation,Reweighting,0.66825,0.026450129961873518,"[0.68125, 0.675, 0.73125, 0.6875, 0.7125, 0.675, 0.70625, 0.69375, 0.675, 0.66875, 0.64375, 0.63125, 0.64375, 0.66875, 0.66875, 0.65625, 0.65, 0.6625, 0.64375, 0.68125, 0.68125, 0.65, 0.625, 0.625, 0.66875]",0.66825,0.026450129961873518,"[0.68125, 0.675, 0.73125, 0.6875, 0.7125, 0.675, 0.70625, 0.6937500000000001, 0.675, 0.66875, 0.64375, 0.63125, 0.64375, 0.66875, 0.66875, 0.65625, 0.65, 0.6625, 0.64375, 0.68125, 0.68125, 0.65, 0.625, 0.625, 0.66875]",0.6348876661316273,0.034116860230915674,"[0.6538706256627783, 0.6484110885733604, 0.7123625569630837, 0.6536796536796536, 0.6912233596240981, 0.6484110885733604, 0.6856055855177892, 0.6648283527852593, 0.6484110885733604, 0.6374674019922193, 0.606879606879607, 0.5930859088753826, 0.5960132890365448, 0.6344670028880556, 0.6374674019922193, 0.6237869265956992, 0.6086652690426275, 0.6291208791208792, 0.6101064511991792, 0.6511478773887391, 0.6511478773887391, 0.6086652690426275, 0.5767942161876213, 0.5726495726495726, 0.6279233030582247]",0.66825,0.02645012996187357,"[0.6812499999999999, 0.6749999999999999, 0.7312500000000001, 0.6875, 0.7124999999999999, 0.6749999999999999, 0.7062499999999999, 0.69375, 0.6749999999999999, 0.6687500000000001, 0.6437499999999999, 0.63125, 0.64375, 0.66875, 0.6687500000000001, 0.65625, 0.6499999999999999, 0.6625000000000001, 0.64375, 0.68125, 0.68125, 0.6499999999999999, 0.625, 0.6249999999999999, 0.66875]","{'finalestimator__estimator_name': ['XGB'], 'kliepreweightadapter__cv': [5], 'kliepreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 'auto', 'scale'], 'kliepreweightadapter__max_iter': [1000], 'kliepreweightadapter__n_centers': [100], 'kliepreweightadapter__random_state': [0], 'kliepreweightadapter__tol': [1e-06]}","[0.865625, 0.8640625, 0.8453125, 0.871875, 0.8328125, 0.8515625, 0.8421875, 0.890625, 0.871875, 0.871875, 0.8140625, 0.84375, 0.8515625, 0.81875, 0.8390625, 0.8703125, 0.85625, 0.86875, 0.8640625, 0.834375, 0.8125, 0.834375, 0.8359375, 0.8640625, 0.83125]"
Simulated,concept_drift,KMM,circular_validation,Reweighting,0.6672499999999999,0.035961495612205394,"[0.725, 0.725, 0.725, 0.63125, 0.73125, 0.65, 0.69375, 0.675, 0.6625, 0.65625, 0.63125, 0.61875, 0.65, 0.6875, 0.675, 0.68125, 0.69375, 0.675, 0.64375, 0.69375, 0.65625, 0.625, 0.60625, 0.63125, 0.6375]",0.6672499999999999,0.0359614956122054,"[0.725, 0.725, 0.725, 0.63125, 0.73125, 0.65, 0.69375, 0.675, 0.6625, 0.65625, 0.6312500000000001, 0.6187499999999999, 0.65, 0.6875, 0.675, 0.68125, 0.6937500000000001, 0.675, 0.64375, 0.6937500000000001, 0.65625, 0.625, 0.60625, 0.63125, 0.6375]",0.6327461563029189,0.04764297680571075,"[0.7119947635411552, 0.7066666666666667, 0.7085610200364298, 0.5732175957321759, 0.7160661961949568, 0.6086652690426275, 0.672227099795142, 0.6457162323283938, 0.625974025974026, 0.6173746684638463, 0.5964259758026591, 0.5717607827651265, 0.6086652690426275, 0.6619337390128466, 0.6457162323283938, 0.6511478773887391, 0.6648283527852593, 0.6428571428571429, 0.5998420429116756, 0.6648283527852593, 0.6173746684638463, 0.5767942161876213, 0.5534883720930233, 0.5818383167220377, 0.5946890286512928]",0.6672499999999999,0.03596149561220547,"[0.725, 0.7250000000000001, 0.7250000000000001, 0.63125, 0.7312500000000001, 0.6499999999999999, 0.69375, 0.675, 0.6625000000000001, 0.65625, 0.63125, 0.61875, 0.6499999999999999, 0.6875, 0.675, 0.68125, 0.69375, 0.6749999999999999, 0.6437499999999999, 0.69375, 0.65625, 0.625, 0.60625, 0.63125, 0.6375000000000001]","{'finalestimator__estimator_name': ['XGB'], 'kmmreweightadapter__B': [1000.0], 'kmmreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'kmmreweightadapter__max_iter': [1000], 'kmmreweightadapter__smooth_weights': [False], 'kmmreweightadapter__tol': [1e-06]}","[0.8671875, 0.8609375, 0.8640625, 0.8765625, 0.8265625, 0.859375, 0.8765625, 0.8796875, 0.875, 0.8609375, 0.8265625, 0.859375, 0.846875, 0.8234375, 0.8421875, 0.8734375, 0.8609375, 0.86875, 0.8859375, 0.85, 0.834375, 0.83125, 0.834375, 0.84375, 0.8515625]"
Simulated,concept_drift,MMD-LS,circular_validation,Mapping,0.7547499999999999,0.06960360233733116,"[0.79375, 0.74375, 0.825, 0.7875, 0.675, 0.8, 0.79375, 0.66875, 0.74375, 0.8125, 0.6, 0.65, 0.83125, 0.6375, 0.85, 0.73125, 0.7625, 0.725, 0.76875, 0.79375, 0.81875, 0.7625, 0.66875, 0.85, 0.775]",0.7547499999999999,0.06960360233733118,"[0.79375, 0.7437499999999999, 0.825, 0.7875, 0.675, 0.8, 0.79375, 0.66875, 0.74375, 0.8125, 0.6, 0.65, 0.83125, 0.6375, 0.8500000000000001, 0.73125, 0.7625, 0.7250000000000001, 0.76875, 0.79375, 0.81875, 0.7625, 0.66875, 0.8500000000000001, 0.7749999999999999]",0.7470386669932465,0.08102407167021382,"[0.7935483870967742, 0.7420471078604851, 0.824313725490196, 0.7873671044402751, 0.6484110885733604, 0.7979797979797979, 0.7933544675355172, 0.6454701283498474, 0.7429366354480974, 0.8122359568142701, 0.5604395604395604, 0.624098003020641, 0.8307143696853323, 0.6106729316999496, 0.8499765588373183, 0.7274059986528785, 0.7621655452980753, 0.7197005892658066, 0.768668672580204, 0.7937419430446502, 0.8187429196452987, 0.7611565053425519, 0.6374674019922193, 0.849624060150376, 0.7737272155876808]",0.7547499999999999,0.06960360233733115,"[0.79375, 0.7437499999999999, 0.825, 0.7874999999999999, 0.6749999999999999, 0.8, 0.79375, 0.6687500000000001, 0.74375, 0.8124999999999999, 0.6000000000000001, 0.65, 0.8312499999999999, 0.6375000000000001, 0.85, 0.73125, 0.7625000000000001, 0.725, 0.76875, 0.7937500000000001, 0.8187499999999999, 0.7625000000000001, 0.6687500000000001, 0.8500000000000001, 0.7749999999999999]","{'finalestimator__estimator_name': ['XGB'], 'mmdlsconsmappingadapter__gamma': [0.1, 1, 10], 'mmdlsconsmappingadapter__max_iter': [100], 'mmdlsconsmappingadapter__reg_k': [1e-10, 1e-08], 'mmdlsconsmappingadapter__reg_m': [1e-10, 1e-08], 'mmdlsconsmappingadapter__tol': [1e-05]}","[0.8640625, 0.846875, 0.8421875, 0.840625, 0.809375, 0.8359375, 0.834375, 0.8734375, 0.853125, 0.8, 0.7984375, 0.834375, 0.815625, 0.7765625, 0.8171875, 0.8625, 0.8484375, 0.8578125, 0.85625, 0.85625, 0.8390625, 0.875, 0.8515625, 0.86875, 0.853125]"
Simulated,concept_drift,Train Src,circular_validation,NO DA,0.6622499999999999,0.02685076426596953,"[0.68125, 0.68125, 0.73125, 0.65625, 0.6875, 0.6875, 0.66875, 0.69375, 0.65625, 0.675, 0.60625, 0.6625, 0.64375, 0.66875, 0.65625, 0.66875, 0.65, 0.6875, 0.6375, 0.675, 0.65, 0.64375, 0.61875, 0.625, 0.64375]",0.6622499999999999,0.026850764265969534,"[0.68125, 0.6812499999999999, 0.73125, 0.65625, 0.6875, 0.6875, 0.66875, 0.6937500000000001, 0.65625, 0.675, 0.60625, 0.6625, 0.64375, 0.66875, 0.65625, 0.66875, 0.65, 0.6875, 0.6375, 0.675, 0.65, 0.64375, 0.61875, 0.625, 0.64375]",0.6270702376496099,0.035421839538082624,"[0.6538706256627783, 0.656435518504484, 0.7142738485817517, 0.6138826729849501, 0.6619337390128466, 0.6619337390128466, 0.6374674019922193, 0.6648283527852593, 0.6206733048838312, 0.6457162323283938, 0.5654985128669339, 0.6291208791208792, 0.5998420429116756, 0.6344670028880556, 0.6237869265956992, 0.6374674019922193, 0.6121212121212121, 0.6619337390128466, 0.5946890286512928, 0.6428571428571429, 0.6121212121212121, 0.5998420429116756, 0.563330499753926, 0.5726495726495726, 0.5960132890365448]",0.6622499999999999,0.026850764265969565,"[0.6812499999999999, 0.6812499999999999, 0.7312500000000001, 0.65625, 0.6875, 0.6875, 0.6687500000000001, 0.69375, 0.6562500000000001, 0.675, 0.6062500000000001, 0.6625000000000001, 0.6437499999999999, 0.66875, 0.65625, 0.6687500000000001, 0.65, 0.6875, 0.6375000000000001, 0.6749999999999999, 0.65, 0.6437499999999999, 0.61875, 0.6249999999999999, 0.64375]",{'finalestimator__estimator_name': ['XGB']},"[0.8375, 0.840625, 0.8203125, 0.8375, 0.8140625, 0.853125, 0.828125, 0.8875, 0.846875, 0.8421875, 0.7890625, 0.784375, 0.85625, 0.796875, 0.8109375, 0.871875, 0.83125, 0.815625, 0.84375, 0.8453125, 0.8, 0.809375, 0.8109375, 0.8625, 0.8078125]"
Simulated,concept_drift,NO_DA_SOURCE_ONLY_BASE_ESTIM,circular_validation,Unknown,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",{'finalestimator__estimator_name': ['XGB']},"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
Simulated,concept_drift,Train Tgt,circular_validation,NO DA,0.77275,0.02669269563007826,"[0.78125, 0.775, 0.7625, 0.7625, 0.76875, 0.8, 0.75625, 0.7875, 0.74375, 0.80625, 0.78125, 0.75625, 0.75, 0.8625, 0.7875, 0.775, 0.7625, 0.79375, 0.74375, 0.74375, 0.79375, 0.74375, 0.74375, 0.7625, 0.775]",0.77275,0.02669269563007826,"[0.78125, 0.7749999999999999, 0.7625, 0.7625, 0.76875, 0.8, 0.7562500000000001, 0.7875, 0.74375, 0.80625, 0.78125, 0.7562500000000001, 0.75, 0.8625, 0.7875, 0.775, 0.7625, 0.79375, 0.74375, 0.74375, 0.79375, 0.74375, 0.7437499999999999, 0.7625, 0.775]",0.7724590665329333,0.02676725082114316,"[0.7812414547443259, 0.7749648382559775, 0.762462884825754, 0.7619047619047619, 0.768306524206489, 0.7999687451164245, 0.7561642765034583, 0.7866666666666667, 0.7429366354480974, 0.806060606060606, 0.7812414547443259, 0.7561642765034583, 0.75, 0.8624785122675418, 0.7872007510561728, 0.7748592870544091, 0.762462884825754, 0.7937419430446502, 0.7437399898433532, 0.7437399898433532, 0.7930953407265176, 0.7425330664468778, 0.7432585808774608, 0.7621655452980753, 0.7741176470588235]",0.77275,0.02669269563007826,"[0.78125, 0.775, 0.7625, 0.7625000000000001, 0.76875, 0.8, 0.7562500000000001, 0.7875, 0.74375, 0.80625, 0.7812500000000001, 0.75625, 0.75, 0.8625, 0.7875, 0.775, 0.7625, 0.79375, 0.74375, 0.74375, 0.7937500000000001, 0.7437500000000001, 0.7437499999999999, 0.7625000000000001, 0.7749999999999999]",{'finalestimator__estimator_name': ['XGB']},"[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity, -Infinity]"
Simulated,concept_drift,OTLabelProp,circular_validation,Other,0.81,0.03648808310028542,"[0.7625, 0.775, 0.825, 0.7875, 0.7375, 0.83125, 0.825, 0.84375, 0.83125, 0.8375, 0.83125, 0.76875, 0.8375, 0.9, 0.825, 0.8, 0.7875, 0.78125, 0.80625, 0.8, 0.85625, 0.76875, 0.775, 0.85, 0.80625]",0.81,0.03648808310028543,"[0.7625, 0.7749999999999999, 0.825, 0.7875000000000001, 0.7375, 0.83125, 0.825, 0.84375, 0.83125, 0.8375, 0.83125, 0.76875, 0.8375, 0.9, 0.825, 0.8, 0.7875, 0.78125, 0.80625, 0.8, 0.85625, 0.76875, 0.775, 0.8500000000000001, 0.80625]",0.8097292887356089,0.03667143273074873,"[0.762462884825754, 0.7744360902255639, 0.8248905565978737, 0.7862979258328096, 0.7373358348968105, 0.8312434079456228, 0.825, 0.843743896245947, 0.8310850439882698, 0.8375, 0.8311906529639327, 0.7676517916715726, 0.8375, 0.8999374609130708, 0.8248905565978737, 0.7992156862745098, 0.7875, 0.7802111542839201, 0.8062424313449743, 0.7998749218261413, 0.8561094819159335, 0.7680159880873074, 0.7748592870544091, 0.8499765588373183, 0.806060606060606]",0.81,0.03648808310028543,"[0.7625, 0.7749999999999999, 0.8250000000000001, 0.7875000000000001, 0.7374999999999999, 0.8312499999999999, 0.825, 0.84375, 0.8312500000000002, 0.8374999999999999, 0.83125, 0.7687499999999999, 0.8374999999999999, 0.9, 0.8250000000000001, 0.8, 0.7875, 0.7812500000000001, 0.8062500000000001, 0.7999999999999999, 0.85625, 0.7687499999999999, 0.7750000000000001, 0.85, 0.80625]","{'finalestimator__estimator_name': ['XGB'], 'otlabelpropadapter__metric': ['sqeuclidean', 'cosine', 'cityblock'], 'otlabelpropadapter__reg': [None, 0.1, 1.0]}","[0.8609375, 0.8578125, 0.8609375, 0.865625, 0.840625, 0.8359375, 0.8734375, 0.871875, 0.8609375, 0.85, 0.8125, 0.853125, 0.8546875, 0.834375, 0.8484375, 0.86875, 0.865625, 0.86875, 0.8859375, 0.875, 0.8453125, 0.8796875, 0.8703125, 0.8671875, 0.8625]"
Simulated,concept_drift,JPCA,circular_validation,Subspace,0.6665000000000001,0.02505722616997606,"[0.66875, 0.66875, 0.6875, 0.63125, 0.6875, 0.66875, 0.6875, 0.7, 0.6625, 0.7, 0.64375, 0.6125, 0.65, 0.6875, 0.69375, 0.65625, 0.6375, 0.675, 0.64375, 0.65625, 0.70625, 0.65625, 0.625, 0.68125, 0.675]",0.6665000000000001,0.02505722616997606,"[0.66875, 0.66875, 0.6875, 0.63125, 0.6875, 0.66875, 0.6875, 0.7, 0.6625, 0.7, 0.64375, 0.6125, 0.65, 0.6875, 0.69375, 0.65625, 0.6375, 0.675, 0.64375, 0.65625, 0.70625, 0.65625, 0.625, 0.68125, 0.675]",0.6328028408619711,0.031975185748163486,"[0.6402969247083774, 0.6402969247083774, 0.6619337390128466, 0.5818383167220377, 0.6643732169827152, 0.6374674019922193, 0.6593425310849941, 0.6703296703296703, 0.625974025974026, 0.6754563894523326, 0.6160161677403057, 0.5705627705627705, 0.6086652690426275, 0.6565934065934066, 0.6699086354258769, 0.6206733048838312, 0.5946890286512928, 0.6457162323283938, 0.6034610200443498, 0.6173746684638463, 0.6810180275715801, 0.6173746684638463, 0.5726495726495726, 0.6452019653028392, 0.6428571428571429]",0.6665000000000001,0.02505722616997607,"[0.66875, 0.66875, 0.6875, 0.63125, 0.6875, 0.6687500000000001, 0.6875, 0.7, 0.6625000000000001, 0.7000000000000001, 0.6437499999999999, 0.6125, 0.6499999999999999, 0.6875, 0.69375, 0.6562500000000001, 0.6375000000000001, 0.675, 0.64375, 0.65625, 0.70625, 0.65625, 0.6249999999999999, 0.68125, 0.6749999999999999]","{'finalestimator__estimator_name': ['XGB'], 'pca__n_components': [1, 2, 5, 10, 20, 50, 100]}","[0.846875, 0.8375, 0.8546875, 0.8078125, 0.83125, 0.828125, 0.8625, 0.871875, 0.8515625, 0.8265625, 0.7953125, 0.8078125, 0.8296875, 0.7578125, 0.8046875, 0.8453125, 0.765625, 0.815625, 0.8125, 0.8328125, 0.8046875, 0.828125, 0.83125, 0.8453125, 0.828125]"
Simulated,concept_drift,MMDTarS,circular_validation,Reweighting,0.62525,0.031013689853568414,"[0.59375, 0.61875, 0.6625, 0.61875, 0.63125, 0.64375, 0.625, 0.68125, 0.625, 0.6125, 0.575, 0.63125, 0.64375, 0.65625, 0.65625, 0.65, 0.65, 0.6, 0.6375, 0.59375, 0.54375, 0.64375, 0.58125, 0.61875, 0.6375]",0.62525,0.031013689853568414,"[0.59375, 0.61875, 0.6625, 0.61875, 0.6312500000000001, 0.64375, 0.625, 0.68125, 0.625, 0.6125, 0.575, 0.63125, 0.64375, 0.65625, 0.65625, 0.6499999999999999, 0.65, 0.6, 0.6375, 0.59375, 0.54375, 0.64375, 0.58125, 0.61875, 0.6375]",0.5689273301107337,0.05032199526599411,"[0.52465834818776, 0.5539101421454362, 0.6191147945688591, 0.5539101421454362, 0.5776475325488792, 0.5998420429116756, 0.5726495726495726, 0.6452019653028392, 0.5726495726495726, 0.5538765965101637, 0.4940476190476189, 0.5858014128384011, 0.5960132890365448, 0.6173746684638463, 0.6237869265956992, 0.6153846153846153, 0.6086652690426275, 0.5293252436109579, 0.5982683982683983, 0.5192085432943461, 0.423807409599921, 0.5998420429116756, 0.492207853725546, 0.563330499753926, 0.5826587515740241]",0.62525,0.0310136898535684,"[0.59375, 0.61875, 0.6625, 0.61875, 0.63125, 0.6437499999999999, 0.6249999999999999, 0.68125, 0.6249999999999999, 0.6125, 0.5750000000000001, 0.63125, 0.64375, 0.65625, 0.65625, 0.65, 0.6499999999999999, 0.6, 0.6375, 0.59375, 0.54375, 0.6437499999999999, 0.58125, 0.61875, 0.6375]","{'finalestimator__estimator_name': ['XGB'], 'mmdtarsreweightadapter__gamma': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, None], 'mmdtarsreweightadapter__max_iter': [1000], 'mmdtarsreweightadapter__reg': [1e-06], 'mmdtarsreweightadapter__tol': [1e-06]}","[0.8609375, 0.878125, 0.8484375, 0.8703125, 0.8265625, 0.8609375, 0.8546875, 0.903125, 0.8625, 0.884375, 0.8109375, 0.8, 0.8515625, 0.8171875, 0.8140625, 0.8828125, 0.865625, 0.8515625, 0.865625, 0.8390625, 0.8109375, 0.8296875, 0.8296875, 0.865625, 0.80625]"
